time,open,high,low,close,volume,open_interest
2004-08-01 00:00:00+05:30,35.5,35.75,30.25,31.85,20627810,0
2004-09-01 00:00:00+05:30,32.45,33.5,29.6,30.55,19732922,0
2004-10-01 00:00:00+05:30,31.0,31.2,27.55,30.35,18929266,0
2004-11-01 00:00:00+05:30,31.0,33.95,29.05,30.35,18130158,0
2004-12-01 00:00:00+05:30,30.7,42.7,30.05,38.45,34342462,0
2005-01-01 00:00:00+05:30,38.9,39.5,35.0,37.65,17101598,0
2005-02-01 00:00:00+05:30,37.65,40.95,35.05,38.25,18887026,0
2005-03-01 00:00:00+05:30,38.85,39.65,29.25,29.9,21748618,0
2005-04-01 00:00:00+05:30,30.5,33.0,27.0,29.7,19270548,0
2005-05-01 00:00:00+05:30,29.6,34.0,29.5,31.95,21484978,0
2005-06-01 00:00:00+05:30,32.7,33.75,31.0,31.25,21612066,0
2005-07-01 00:00:00+05:30,31.9,33.95,30.9,32.2,19091992,0
2005-08-01 00:00:00+05:30,32.1,37.35,31.0,35.85,22719452,0
2005-09-01 00:00:00+05:30,36.1,37.25,30.8,31.5,22697406,0
2005-10-01 00:00:00+05:30,32.2,34.2,28.0,29.15,18255696,0
2005-11-01 00:00:00+05:30,29.25,33.15,29.15,31.7,17301422,0
2005-12-01 00:00:00+05:30,31.05,32.75,29.2,29.45,19981238,0
2006-01-01 00:00:00+05:30,29.8,30.95,29.0,30.0,16946170,0
2006-02-01 00:00:00+05:30,30.0,32.0,28.5,28.8,16607948,0
2006-03-01 00:00:00+05:30,28.55,31.0,24.3,29.9,20028360,0
2006-04-01 00:00:00+05:30,30.0,33.0,29.25,30.35,15615366,0
2006-05-01 00:00:00+05:30,31.0,99.55,30.3,90.4,59191272,0
2006-06-01 00:00:00+05:30,94.9,99.65,55.35,64.95,16164740,0
2006-07-01 00:00:00+05:30,65.45,65.45,50.0,57.5,7052274,0
2006-08-01 00:00:00+05:30,56.05,73.2,54.35,59.95,15142854,0
2006-09-01 00:00:00+05:30,57.6,67.45,57.6,67.3,12363796,0
2006-10-01 00:00:00+05:30,69.7,76.9,66.0,67.6,11844532,0
2006-11-01 00:00:00+05:30,68.2,113.85,66.6,106.95,51480112,0
2006-12-01 00:00:00+05:30,108.45,125.5,100.25,114.1,46130304,0
2007-01-01 00:00:00+05:30,115.0,119.0,107.0,115.2,13162896,0
2007-02-01 00:00:00+05:30,116.75,127.85,98.0,105.25,18208980,0
2007-03-01 00:00:00+05:30,106.0,107.0,88.4,105.0,13267928,0
2007-04-01 00:00:00+05:30,104.5,116.25,100.0,111.45,7312616,0
2007-05-01 00:00:00+05:30,112.45,127.0,95.75,117.4,9640552,0
2007-06-01 00:00:00+05:30,121.0,141.25,114.25,137.15,6150884,0
2007-07-01 00:00:00+05:30,138.0,167.0,134.0,165.85,6572088,0
2007-08-01 00:00:00+05:30,162.5,184.95,156.1,171.05,10454412,0
2007-09-01 00:00:00+05:30,179.0,291.95,170.5,278.15,20552820,0
2007-10-01 00:00:00+05:30,283.7,434.9,282.5,397.85,29951702,0
2007-11-01 00:00:00+05:30,405.0,442.3,380.65,399.8,10964182,0
2007-12-01 00:00:00+05:30,404.85,574.65,385.0,574.65,10267514,0
2008-01-01 00:00:00+05:30,599.45,665.3,422.9,438.5,9619602,0
2008-02-01 00:00:00+05:30,449.95,455.0,325.3,343.4,4485322,0
2008-03-01 00:00:00+05:30,340.0,364.0,247.5,299.85,7436828,0
2008-04-01 00:00:00+05:30,315.0,440.0,285.0,422.75,3091302,0
2008-05-01 00:00:00+05:30,432.2,448.7,385.5,395.8,3471662,0
2008-06-01 00:00:00+05:30,407.5,434.5,300.0,306.8,2915946,0
2008-07-01 00:00:00+05:30,305.0,368.95,268.25,318.6,2764734,0
2008-08-01 00:00:00+05:30,316.55,364.95,276.1,294.25,3900290,0
2008-09-01 00:00:00+05:30,290.5,351.85,223.0,234.15,6606022,0
2008-10-01 00:00:00+05:30,234.0,250.25,126.0,185.95,2870092,0
2008-11-01 00:00:00+05:30,190.0,217.0,147.0,150.4,1416118,0
2008-12-01 00:00:00+05:30,149.0,166.5,131.5,151.05,1746634,0
2009-01-01 00:00:00+05:30,153.5,191.25,137.5,141.6,3176974,0
2009-02-01 00:00:00+05:30,138.55,143.45,121.5,122.35,2393708,0
2009-03-01 00:00:00+05:30,121.0,143.95,119.05,133.8,3296650,0
2009-04-01 00:00:00+05:30,133.95,231.7,133.55,210.5,13128884,0
