time,open,high,low,close,volume,open_interest
2004-08-01 00:00:00+05:30,32.0,33.0,30.8,31.68,2918398,0
2004-09-01 00:00:00+05:30,31.0,34.0,30.8,32.35,2824968,0
2004-10-01 00:00:00+05:30,31.9,32.5,29.2,29.54,7133101,0
2004-11-01 00:00:00+05:30,29.2,30.9,28.8,30.06,11525160,0
2004-12-01 00:00:00+05:30,30.29,33.5,29.66,32.01,10210727,0
2005-01-01 00:00:00+05:30,32.01,36.0,30.25,35.98,5782301,0
2005-02-01 00:00:00+05:30,36.5,36.9,33.01,35.55,3978530,0
2005-03-01 00:00:00+05:30,35.6,39.5,35.1,39.2,6985878,0
2005-04-01 00:00:00+05:30,39.5,39.9,36.2,37.2,3949700,0
2005-05-01 00:00:00+05:30,37.0,40.6,37.0,38.41,3008068,0
2005-06-01 00:00:00+05:30,38.7,41.6,38.49,41.1,3997767,0
2005-07-01 00:00:00+05:30,41.55,46.8,41.01,45.55,5003270,0
2005-08-01 00:00:00+05:30,45.85,48.75,45.1,48.46,8384558,0
2005-09-01 00:00:00+05:30,48.5,52.9,45.8,50.47,9265509,0
2005-10-01 00:00:00+05:30,50.2,54.84,42.55,48.4,14765130,0
2005-11-01 00:00:00+05:30,49.5,54.6,48.74,52.52,7572331,0
2005-12-01 00:00:00+05:30,53.0,58.2,52.63,57.88,15192318,0
2006-01-01 00:00:00+05:30,58.39,62.49,56.7,61.44,4561910,0
2006-02-01 00:00:00+05:30,62.0,80.0,61.01,66.95,5395461,0
2006-03-01 00:00:00+05:30,68.0,70.0,63.0,64.61,4949288,0
2006-04-01 00:00:00+05:30,66.4,66.5,59.99,63.61,5510203,0
2006-05-01 00:00:00+05:30,64.9,69.36,51.0,57.06,8292098,0
2006-06-01 00:00:00+05:30,57.2,63.7,50.0,59.2,10853298,0
2006-07-01 00:00:00+05:30,59.2,61.48,54.14,61.02,6406009,0
2006-08-01 00:00:00+05:30,59.5,66.0,59.5,63.59,7197148,0
2006-09-01 00:00:00+05:30,63.51,68.6,63.2,67.61,4304389,0
2006-10-01 00:00:00+05:30,68.0,80.0,56.53,66.88,7906221,0
2006-11-01 00:00:00+05:30,67.71,73.4,67.0,71.31,5613398,0
2006-12-01 00:00:00+05:30,76.5,76.5,67.43,73.65,4992460,0
2007-01-01 00:00:00+05:30,74.4,84.79,70.0,79.59,3947760,0
2007-02-01 00:00:00+05:30,78.5,82.5,69.4,73.7,7381921,0
2007-03-01 00:00:00+05:30,75.1,78.0,55.1,76.26,9884699,0
2007-04-01 00:00:00+05:30,75.0,84.87,72.46,79.09,3691290,0
2007-05-01 00:00:00+05:30,79.4,89.87,73.63,83.02,8651979,0
2007-06-01 00:00:00+05:30,84.0,95.16,79.9,81.02,6785269,0
2007-07-01 00:00:00+05:30,82.87,90.1,81.14,88.59,7239868,0
2007-08-01 00:00:00+05:30,86.3,99.5,86.02,94.3,3544338,0
2007-09-01 00:00:00+05:30,94.5,100.1,92.5,98.83,13610780,0
2007-10-01 00:00:00+05:30,96.0,111.1,91.05,103.23,17709538,0
2007-11-01 00:00:00+05:30,104.5,112.5,95.0,99.0,11387278,0
2007-12-01 00:00:00+05:30,99.1,118.0,98.0,109.95,5740561,0
2008-01-01 00:00:00+05:30,113.9,132.0,90.3,124.61,10311717,0
2008-02-01 00:00:00+05:30,126.0,126.0,104.0,111.5,7361189,0
2008-03-01 00:00:00+05:30,110.0,120.8,105.2,119.99,24296032,0
2008-04-01 00:00:00+05:30,120.0,128.5,112.69,128.03,2127730,0
2008-05-01 00:00:00+05:30,128.0,133.4,119.5,128.59,1904000,0
2008-06-01 00:00:00+05:30,129.0,131.97,110.56,114.92,6225599,0
2008-07-01 00:00:00+05:30,115.21,123.0,100.0,120.44,4047557,0
2008-08-01 00:00:00+05:30,120.0,129.99,118.0,122.92,3028350,0
2008-09-01 00:00:00+05:30,121.1,124.9,113.0,118.72,3709179,0
2008-10-01 00:00:00+05:30,118.0,118.5,82.55,95.48,8928410,0
2008-11-01 00:00:00+05:30,98.0,99.5,86.5,88.95,7109702,0
2008-12-01 00:00:00+05:30,91.0,91.5,83.02,89.5,5786279,0
2009-01-01 00:00:00+05:30,88.11,94.4,70.0,78.88,12199100,0
2009-02-01 00:00:00+05:30,78.11,84.1,70.21,78.64,5156371,0
2009-03-01 00:00:00+05:30,78.5,80.99,70.0,78.64,8594940,0
2009-04-01 00:00:00+05:30,79.3,94.8,76.5,88.83,4560653,0
2009-05-01 00:00:00+05:30,90.0,117.48,88.0,108.0,7232370,0
2009-06-01 00:00:00+05:30,108.8,119.63,104.96,118.78,3208878,0
2009-07-01 00:00:00+05:30,117.57,142.2,110.2,141.14,7319177,0
2009-08-01 00:00:00+05:30,141.1,144.79,110.0,140.03,5878779,0
2009-09-01 00:00:00+05:30,141.5,143.0,133.5,140.57,8121830,0
2009-10-01 00:00:00+05:30,140.57,172.29,138.0,164.22,7596161,0
2009-11-01 00:00:00+05:30,165.9,173.97,161.5,167.97,9868240,0
2009-12-01 00:00:00+05:30,166.5,182.0,156.0,179.72,5465639,0
2010-01-01 00:00:00+05:30,179.1,192.8,171.16,185.22,6485341,0
2010-02-01 00:00:00+05:30,187.0,203.1,171.22,181.0,10428641,0
2010-03-01 00:00:00+05:30,175.6,209.6,175.6,203.88,12792449,0
2010-04-01 00:00:00+05:30,206.9,211.8,200.6,207.88,7137300,0
2010-05-01 00:00:00+05:30,207.0,221.3,201.03,208.61,5811169,0
2010-06-01 00:00:00+05:30,209.5,246.88,202.3,230.18,13685728,0
2010-07-01 00:00:00+05:30,233.0,270.4,227.53,260.33,25067988,0
2010-08-01 00:00:00+05:30,260.6,282.73,258.01,276.26,20232298,0
2010-09-01 00:00:00+05:30,279.31,291.49,265.0,266.32,30600429,0
2010-10-01 00:00:00+05:30,269.8,295.5,249.0,268.77,20203109,0
2010-11-01 00:00:00+05:30,270.1,282.2,245.0,264.89,16812679,0
2010-12-01 00:00:00+05:30,263.54,302.73,261.05,287.87,11965157,0
2011-01-01 00:00:00+05:30,289.8,293.74,248.21,257.75,19013490,0
2011-02-01 00:00:00+05:30,257.5,262.5,236.4,240.07,20141660,0
2011-03-01 00:00:00+05:30,242.47,264.3,241.0,252.58,13838218,0
2011-04-01 00:00:00+05:30,256.89,278.0,251.1,277.46,12397852,0
2011-05-01 00:00:00+05:30,277.5,338.7,263.71,313.34,50741878,0
2011-06-01 00:00:00+05:30,314.51,323.0,290.1,318.51,19603618,0
2011-07-01 00:00:00+05:30,318.5,336.88,306.0,313.4,16941129,0
2011-08-01 00:00:00+05:30,314.19,333.3,298.8,328.61,13769069,0
2011-09-01 00:00:00+05:30,326.0,332.79,300.13,315.75,11699029,0
2011-10-01 00:00:00+05:30,313.35,321.5,262.69,315.95,10674492,0
2011-11-01 00:00:00+05:30,312.0,327.0,282.62,287.94,11450170,0
2011-12-01 00:00:00+05:30,290.04,298.0,255.0,259.24,15041139,0
2012-01-01 00:00:00+05:30,256.0,304.0,256.0,299.53,19241659,0
2012-02-01 00:00:00+05:30,303.0,320.0,290.0,317.06,21020460,0
2012-03-01 00:00:00+05:30,317.0,334.0,300.1,324.2,21299319,0
