time,open,high,low,close,volume,open_interest
2004-08-01 00:00:00+05:30,25.4,25.96,21.85,23.76,8010168,0
2004-09-01 00:00:00+05:30,24.18,28.08,23.66,25.93,20754258,0
2004-10-01 00:00:00+05:30,25.89,33.8,25.71,30.56,30517286,0
2004-11-01 00:00:00+05:30,30.8,34.76,29.02,33.24,17177930,0
2004-12-01 00:00:00+05:30,33.56,41.88,30.0,37.04,59344362,0
2005-01-01 00:00:00+05:30,37.0,42.0,34.0,41.21,37305986,0
2005-02-01 00:00:00+05:30,41.8,51.3,39.52,48.42,33474945,0
2005-03-01 00:00:00+05:30,47.8,53.95,44.6,47.52,39556768,0
2005-04-01 00:00:00+05:30,47.4,49.99,43.2,46.02,16772065,0
2005-05-01 00:00:00+05:30,46.57,52.6,43.26,47.95,37216988,0
2005-06-01 00:00:00+05:30,48.0,50.0,45.22,49.35,41235007,0
2005-07-01 00:00:00+05:30,48.98,54.69,46.0,52.58,34685525,0
2005-08-01 00:00:00+05:30,52.98,57.0,48.0,49.93,59411968,0
2005-09-01 00:00:00+05:30,50.02,58.49,49.43,53.16,37762384,0
2005-10-01 00:00:00+05:30,53.14,53.6,43.87,47.85,35610095,0
2005-11-01 00:00:00+05:30,48.01,54.95,46.02,54.25,27699776,0
2005-12-01 00:00:00+05:30,54.1,62.18,53.81,57.39,30473028,0
2006-01-01 00:00:00+05:30,58.4,74.98,57.3,67.41,36124000,0
2006-02-01 00:00:00+05:30,67.4,72.8,63.0,65.51,38939951,0
2006-03-01 00:00:00+05:30,65.5,85.1,65.01,71.21,82467573,0
2006-04-01 00:00:00+05:30,71.6,74.4,58.05,69.13,36742073,0
2006-05-01 00:00:00+05:30,70.1,76.0,56.2,57.05,44084733,0
2006-06-01 00:00:00+05:30,59.65,62.6,44.03,53.59,51649638,0
2006-07-01 00:00:00+05:30,54.8,63.4,49.9,59.53,30424834,0
2006-08-01 00:00:00+05:30,60.0,71.8,59.0,68.26,43519358,0
2006-09-01 00:00:00+05:30,68.0,79.8,65.2,75.84,50072404,0
2006-10-01 00:00:00+05:30,75.0,87.69,74.42,87.18,51116971,0
2006-11-01 00:00:00+05:30,87.76,102.96,83.63,94.86,61326843,0
2006-12-01 00:00:00+05:30,95.8,100.96,83.0,93.92,38687540,0
2007-01-01 00:00:00+05:30,94.36,112.98,91.04,106.92,71311540,0
2007-02-01 00:00:00+05:30,107.1,123.0,83.0,92.14,101095306,0
2007-03-01 00:00:00+05:30,93.39,108.8,79.25,98.08,87631214,0
2007-04-01 00:00:00+05:30,93.99,101.0,87.0,93.64,107774050,0
2007-05-01 00:00:00+05:30,94.0,118.38,93.98,114.99,134277629,0
2007-06-01 00:00:00+05:30,116.0,125.7,110.26,121.1,58650099,0
2007-07-01 00:00:00+05:30,124.94,135.76,119.21,125.18,64023108,0
2007-08-01 00:00:00+05:30,124.74,128.6,106.8,127.0,105983168,0
2007-09-01 00:00:00+05:30,127.0,155.2,122.53,152.92,67716055,0
2007-10-01 00:00:00+05:30,153.38,191.38,137.8,183.47,78859248,0
2007-11-01 00:00:00+05:30,185.0,205.0,174.07,186.13,62314508,0
2007-12-01 00:00:00+05:30,187.23,202.66,180.45,194.09,52122136,0
2008-01-01 00:00:00+05:30,194.06,258.3,169.71,224.16,93220362,0
2008-02-01 00:00:00+05:30,228.0,230.0,180.2,204.51,60393194,0
2008-03-01 00:00:00+05:30,193.0,199.6,142.5,157.97,102853272,0
2008-04-01 00:00:00+05:30,161.8,189.98,139.0,184.71,139999025,0
2008-05-01 00:00:00+05:30,187.0,193.98,146.05,158.65,134141795,0
2008-06-01 00:00:00+05:30,155.0,161.45,117.24,121.01,194424999,0
2008-07-01 00:00:00+05:30,122.0,160.4,112.44,130.78,359693557,0
2008-08-01 00:00:00+05:30,130.0,160.36,125.0,144.68,317899485,0
2008-09-01 00:00:00+05:30,144.01,154.32,107.6,144.05,406522239,0
2008-10-01 00:00:00+05:30,144.4,154.8,95.0,112.59,388430450,0
2008-11-01 00:00:00+05:30,116.46,134.96,70.5,81.7,336984687,0
2008-12-01 00:00:00+05:30,82.5,112.4,77.65,100.94,359263164,0
2009-01-01 00:00:00+05:30,101.7,115.4,76.02,86.74,258150665,0
2009-02-01 00:00:00+05:30,86.6,88.88,67.35,69.58,218190021,0
2009-03-01 00:00:00+05:30,68.6,86.98,55.65,82.99,553637705,0
2009-04-01 00:00:00+05:30,84.0,114.0,80.02,111.46,535545663,0
2009-05-01 00:00:00+05:30,115.0,163.6,114.42,155.79,417637210,0
2009-06-01 00:00:00+05:30,158.2,180.0,132.43,166.45,403883543,0
2009-07-01 00:00:00+05:30,167.6,194.88,141.42,183.43,396100437,0
2009-08-01 00:00:00+05:30,184.1,187.78,159.38,181.06,305945304,0
2009-09-01 00:00:00+05:30,182.8,199.28,176.2,197.03,211827260,0
2009-10-01 00:00:00+05:30,195.99,208.4,179.99,181.48,241515241,0
2009-11-01 00:00:00+05:30,181.4,207.59,177.52,199.88,196977715,0
2009-12-01 00:00:00+05:30,202.0,212.8,183.16,197.84,154928109,0
2010-01-01 00:00:00+05:30,198.78,235.54,193.03,205.14,179299261,0
2010-02-01 00:00:00+05:30,205.2,227.4,199.02,224.9,186327801,0
2010-03-01 00:00:00+05:30,226.2,243.0,209.0,233.65,176446729,0
2010-04-01 00:00:00+05:30,233.6,257.4,225.64,254.0,184611950,0
2010-05-01 00:00:00+05:30,253.6,264.0,229.43,246.47,204653724,0
2010-06-01 00:00:00+05:30,247.0,255.53,233.7,248.48,153944318,0
2010-07-01 00:00:00+05:30,248.4,279.35,243.01,268.69,146941338,0
2010-08-01 00:00:00+05:30,270.02,277.14,230.0,266.13,117892208,0
2010-09-01 00:00:00+05:30,266.13,316.51,266.13,307.32,142794024,0
2010-10-01 00:00:00+05:30,307.6,321.7,285.4,294.21,139575299,0
2010-11-01 00:00:00+05:30,297.78,316.8,259.4,273.37,143497869,0
2010-12-01 00:00:00+05:30,274.01,292.2,245.94,270.02,187455552,0
2011-01-01 00:00:00+05:30,273.0,275.32,239.0,248.44,212465995,0
2011-02-01 00:00:00+05:30,250.73,269.77,230.0,243.71,149813435,0
2011-03-01 00:00:00+05:30,247.0,288.71,246.69,280.77,155434428,0
