time,open,high,low,close,volume,open_interest
2004-08-01 00:00:00+05:30,7.72,8.47,7.65,8.03,2051131,0
2004-09-01 00:00:00+05:30,7.99,9.36,7.99,9.29,5711545,0
2004-10-01 00:00:00+05:30,9.23,10.91,9.1,9.88,4256478,0
2004-11-01 00:00:00+05:30,9.85,11.96,9.49,11.55,10444647,0
2004-12-01 00:00:00+05:30,11.45,12.16,10.65,11.47,3905282,0
2005-01-01 00:00:00+05:30,11.49,12.24,10.48,11.98,3184677,0
2005-02-01 00:00:00+05:30,12.11,15.26,11.81,14.0,4615301,0
2005-03-01 00:00:00+05:30,13.31,15.68,13.31,14.82,1985101,0
2005-04-01 00:00:00+05:30,14.95,16.77,14.56,16.41,1612990,0
2005-05-01 00:00:00+05:30,16.77,21.21,15.97,20.41,3780592,0
2005-06-01 00:00:00+05:30,20.5,25.02,20.06,24.87,5433994,0
2005-07-01 00:00:00+05:30,25.02,27.86,24.0,26.65,2359460,0
2005-08-01 00:00:00+05:30,25.91,28.57,25.73,27.02,1510738,0
2005-09-01 00:00:00+05:30,26.62,36.2,24.76,32.29,4538769,0
2005-10-01 00:00:00+05:30,31.4,37.26,25.73,26.04,5117704,0
2005-11-01 00:00:00+05:30,26.28,32.56,25.75,31.64,2090441,0
2005-12-01 00:00:00+05:30,31.59,42.29,31.34,39.22,10049125,0
2006-01-01 00:00:00+05:30,38.61,48.35,35.67,45.54,5541857,0
2006-02-01 00:00:00+05:30,42.41,51.02,41.68,48.81,1802122,0
2006-03-01 00:00:00+05:30,48.01,51.91,44.19,47.49,2725055,0
2006-04-01 00:00:00+05:30,46.59,49.69,42.15,42.57,1219590,0
2006-05-01 00:00:00+05:30,43.48,47.92,31.33,40.24,2068937,0
2006-06-01 00:00:00+05:30,38.69,40.19,24.71,36.58,2306724,0
2006-07-01 00:00:00+05:30,36.82,37.18,30.36,35.65,1511763,0
2006-08-01 00:00:00+05:30,35.67,37.18,32.83,34.65,459521,0
2006-09-01 00:00:00+05:30,34.62,36.2,34.34,34.61,855547,0
2006-10-01 00:00:00+05:30,34.66,41.26,34.61,38.25,2954801,0
2006-11-01 00:00:00+05:30,39.31,43.48,33.53,34.4,2683918,0
2006-12-01 00:00:00+05:30,33.52,37.89,33.03,35.57,1736195,0
2007-01-01 00:00:00+05:30,35.85,40.22,34.98,36.12,4098283,0
2007-02-01 00:00:00+05:30,35.95,43.72,34.61,39.18,5409749,0
2007-03-01 00:00:00+05:30,38.86,42.26,35.22,41.3,1322159,0
2007-04-01 00:00:00+05:30,39.35,42.75,39.06,41.0,797756,0
2007-05-01 00:00:00+05:30,41.29,54.41,36.05,37.98,5295862,0
2007-06-01 00:00:00+05:30,39.83,40.32,34.5,36.77,3999547,0
2007-07-01 00:00:00+05:30,36.93,37.89,34.49,36.01,1891341,0
2007-08-01 00:00:00+05:30,35.56,38.38,32.66,36.57,2224168,0
2007-09-01 00:00:00+05:30,36.43,36.92,33.81,35.41,2246381,0
2007-10-01 00:00:00+05:30,33.52,35.9,31.09,32.4,1575394,0
2007-11-01 00:00:00+05:30,32.65,34.01,29.42,32.1,1359344,0
2007-12-01 00:00:00+05:30,31.58,43.92,31.19,42.67,10520327,0
2008-01-01 00:00:00+05:30,42.26,53.33,27.31,39.35,7968648,0
2008-02-01 00:00:00+05:30,39.45,43.53,33.03,41.11,3935407,0
2008-03-01 00:00:00+05:30,40.41,40.42,29.24,32.45,2303484,0
2008-04-01 00:00:00+05:30,32.98,33.91,29.83,31.12,1165034,0
2008-05-01 00:00:00+05:30,31.97,32.24,24.39,25.64,1651238,0
2008-06-01 00:00:00+05:30,26.33,26.43,13.41,13.53,3606569,0
2008-07-01 00:00:00+05:30,13.79,14.57,10.78,11.0,3573417,0
2008-08-01 00:00:00+05:30,10.98,14.57,10.81,13.35,27053681,0
2008-09-01 00:00:00+05:30,13.31,14.09,9.91,10.6,7551690,0
2008-10-01 00:00:00+05:30,10.61,11.3,5.84,7.08,1610854,0
2008-11-01 00:00:00+05:30,7.77,7.77,6.3,7.12,1511047,0
2008-12-01 00:00:00+05:30,7.17,7.56,5.64,6.22,4107175,0
2009-01-01 00:00:00+05:30,6.5,7.07,5.39,5.72,6437669,0
2009-02-01 00:00:00+05:30,5.73,6.02,5.25,5.6,7687916,0
2009-03-01 00:00:00+05:30,5.42,8.24,4.4,6.79,4161023,0
2009-04-01 00:00:00+05:30,6.66,9.72,6.66,8.8,3096321,0
2009-05-01 00:00:00+05:30,9.07,13.49,8.65,13.48,3962702,0
2009-06-01 00:00:00+05:30,14.45,18.21,14.19,14.88,14875815,0
2009-07-01 00:00:00+05:30,14.77,19.24,13.22,18.47,3900051,0
2009-08-01 00:00:00+05:30,18.64,21.81,17.8,19.83,1945481,0
2009-09-01 00:00:00+05:30,19.83,23.8,19.49,23.24,7265950,0
2009-10-01 00:00:00+05:30,23.31,32.67,23.31,25.02,37053383,0
2009-11-01 00:00:00+05:30,24.6,31.09,24.6,28.02,4893252,0
2009-12-01 00:00:00+05:30,28.75,32.45,27.59,32.06,3764003,0
2010-01-01 00:00:00+05:30,32.32,36.67,29.54,29.97,6340188,0
2010-02-01 00:00:00+05:30,30.2,33.81,27.47,29.18,5784702,0
2010-03-01 00:00:00+05:30,29.34,32.06,29.34,31.12,3283231,0
2010-04-01 00:00:00+05:30,30.8,43.33,30.8,41.66,9107304,0
2010-05-01 00:00:00+05:30,41.66,49.55,38.46,44.34,28233383,0
2010-06-01 00:00:00+05:30,45.18,47.63,44.21,46.13,9057757,0
2010-07-01 00:00:00+05:30,45.66,56.21,44.56,55.28,23632310,0
2010-08-01 00:00:00+05:30,55.96,64.61,53.65,59.6,11943647,0
2010-09-01 00:00:00+05:30,58.91,79.6,58.91,75.16,57134925,0
2010-10-01 00:00:00+05:30,74.13,78.89,71.88,75.24,6352197,0
2010-11-01 00:00:00+05:30,76.76,81.42,63.15,68.73,6357088,0
2010-12-01 00:00:00+05:30,68.98,72.67,61.4,68.36,3509944,0
2011-01-01 00:00:00+05:30,69.83,71.31,54.56,57.08,6560281,0
2011-02-01 00:00:00+05:30,57.23,65.1,52.08,59.72,6338876,0
2011-03-01 00:00:00+05:30,60.34,70.91,58.43,68.0,4997657,0
2011-04-01 00:00:00+05:30,68.11,70.84,66.07,67.96,1793337,0
2011-05-01 00:00:00+05:30,67.14,68.21,56.84,59.92,1874617,0
2011-06-01 00:00:00+05:30,59.95,63.06,53.81,59.26,3668602,0
2011-07-01 00:00:00+05:30,60.72,75.78,57.82,68.07,23747845,0
2011-08-01 00:00:00+05:30,68.02,70.42,57.71,59.78,8566156,0
2011-09-01 00:00:00+05:30,60.72,64.8,59.07,61.67,3483977,0
2011-10-01 00:00:00+05:30,60.72,69.45,59.87,66.55,3358884,0
2011-11-01 00:00:00+05:30,66.08,69.47,60.07,61.24,2865751,0
2011-12-01 00:00:00+05:30,62.18,66.06,54.41,58.89,2369356,0
2012-01-01 00:00:00+05:30,58.98,73.74,56.85,72.93,6760055,0
2012-02-01 00:00:00+05:30,72.97,81.99,72.39,76.8,6037054,0
2012-03-01 00:00:00+05:30,77.44,80.16,73.35,79.12,4342891,0
2012-04-01 00:00:00+05:30,79.28,87.73,78.5,84.9,2752514,0
2012-05-01 00:00:00+05:30,83.31,88.97,79.77,82.53,3863697,0
2012-06-01 00:00:00+05:30,81.61,89.39,79.77,88.65,1084156,0
2012-07-01 00:00:00+05:30,89.67,105.9,87.3,100.82,4870351,0
