time,open,high,low,close,volume,open_interest
2004-08-01 00:00:00+05:30,16.8,19.0,15.25,18.1,146428800,0
2004-09-01 00:00:00+05:30,18.3,19.95,16.4,18.1,140237160,0
2004-10-01 00:00:00+05:30,18.3,19.7,16.8,17.7,121488936,0
2004-11-01 00:00:00+05:30,17.55,25.3,16.75,21.45,226972824,0
2004-12-01 00:00:00+05:30,22.0,27.5,21.8,26.85,212357952,0
2005-01-01 00:00:00+05:30,27.6,28.1,20.65,24.05,149660568,0
2005-02-01 00:00:00+05:30,24.2,26.9,22.85,24.3,160177824,0
2005-03-01 00:00:00+05:30,24.9,24.9,17.15,18.25,172488132,0
2005-04-01 00:00:00+05:30,18.3,20.55,17.5,17.7,103112880,0
2005-05-01 00:00:00+05:30,18.15,22.2,18.05,21.3,108662520,0
2005-06-01 00:00:00+05:30,21.3,22.0,18.9,19.4,98058108,0
2005-07-01 00:00:00+05:30,19.6,20.0,17.1,19.3,58866624,0
2005-08-01 00:00:00+05:30,18.8,21.55,17.15,18.75,83811156,0
2005-09-01 00:00:00+05:30,18.8,23.8,18.8,22.4,128055324,0
2005-10-01 00:00:00+05:30,22.1,24.4,19.0,19.4,88717200,0
2005-11-01 00:00:00+05:30,19.45,26.5,19.45,25.2,93582696,0
2005-12-01 00:00:00+05:30,25.3,25.95,22.15,24.9,96302016,0
2006-01-01 00:00:00+05:30,24.9,27.8,23.0,23.2,61382904,0
2006-02-01 00:00:00+05:30,23.2,26.9,22.0,24.9,93075420,0
2006-03-01 00:00:00+05:30,24.1,25.45,20.9,24.1,63245568,0
2006-04-01 00:00:00+05:30,24.2,28.05,22.9,25.3,46376136,0
2006-05-01 00:00:00+05:30,25.3,30.6,18.0,21.7,89719572,0
2006-06-01 00:00:00+05:30,21.6,22.4,13.2,16.7,65822904,0
2006-07-01 00:00:00+05:30,17.15,18.8,13.75,14.9,44286300,0
2006-08-01 00:00:00+05:30,14.9,21.6,14.0,18.9,134912844,0
2006-09-01 00:00:00+05:30,20.4,22.0,18.8,19.3,222531516,0
2006-10-01 00:00:00+05:30,19.5,23.7,19.4,22.1,169615512,0
2006-11-01 00:00:00+05:30,22.85,23.5,17.35,17.5,166120716,0
2006-12-01 00:00:00+05:30,17.6,18.05,15.0,17.0,167070576,0
2007-01-01 00:00:00+05:30,17.0,20.0,16.5,18.8,131086716,0
2007-02-01 00:00:00+05:30,18.4,18.8,13.3,14.8,84469992,0
2007-03-01 00:00:00+05:30,15.1,18.7,12.4,14.1,125025360,0
2007-04-01 00:00:00+05:30,14.1,17.8,13.2,16.6,70649568,0
2007-05-01 00:00:00+05:30,16.75,22.0,16.0,18.9,132537804,0
2007-06-01 00:00:00+05:30,18.95,19.6,16.05,17.2,98595312,0
2007-07-01 00:00:00+05:30,17.2,19.6,14.15,15.6,92168292,0
2007-08-01 00:00:00+05:30,15.5,16.0,13.7,14.8,81291000,0
2007-09-01 00:00:00+05:30,14.7,21.95,13.75,18.6,129921528,0
2007-10-01 00:00:00+05:30,18.9,21.1,15.15,17.4,102747516,0
2007-11-01 00:00:00+05:30,17.8,27.3,16.6,20.9,246218316,0
2007-12-01 00:00:00+05:30,21.55,33.9,21.2,32.1,230703024,0
2008-01-01 00:00:00+05:30,32.6,34.8,18.05,18.9,220884084,0
2008-02-01 00:00:00+05:30,19.6,28.8,18.3,27.3,139754952,0
2008-03-01 00:00:00+05:30,26.2,28.2,19.9,22.7,123486252,0
2008-04-01 00:00:00+05:30,22.7,25.3,20.1,22.8,86946396,0
2008-05-01 00:00:00+05:30,22.1,23.65,16.4,18.5,122937204,0
2008-06-01 00:00:00+05:30,19.0,19.7,7.5,7.7,228763404,0
2008-07-01 00:00:00+05:30,8.4,17.1,6.25,16.2,120251772,0
2008-08-01 00:00:00+05:30,15.9,19.3,12.2,14.1,147808872,0
2008-09-01 00:00:00+05:30,13.9,20.0,13.25,18.8,268474560,0
2008-10-01 00:00:00+05:30,18.6,20.9,7.9,12.85,207628068,0
2008-11-01 00:00:00+05:30,13.1,19.6,12.5,18.4,126206124,0
2008-12-01 00:00:00+05:30,18.8,22.0,15.0,20.1,196135032,0
2009-01-01 00:00:00+05:30,20.2,23.9,18.05,21.4,180263292,0
2009-02-01 00:00:00+05:30,20.8,23.8,19.4,20.65,106010352,0
2009-03-01 00:00:00+05:30,19.6,21.4,16.3,20.1,152918568,0
2009-04-01 00:00:00+05:30,20.4,22.0,18.9,21.0,133356996,0
2009-05-01 00:00:00+05:30,20.75,31.5,17.85,27.3,295214556,0
2009-06-01 00:00:00+05:30,28.1,29.5,22.7,24.5,284952720,0
2009-07-01 00:00:00+05:30,23.3,30.1,23.3,28.05,191162688,0
2009-08-01 00:00:00+05:30,28.2,33.8,26.55,30.8,190166400,0
2009-09-01 00:00:00+05:30,31.4,38.4,30.75,36.2,205692600,0
2009-10-01 00:00:00+05:30,35.9,36.35,28.7,31.1,131274828,0
2009-11-01 00:00:00+05:30,30.9,38.0,30.0,37.5,138797580,0
2009-12-01 00:00:00+05:30,37.7,42.0,36.8,41.2,142234392,0
2010-01-01 00:00:00+05:30,41.2,43.0,32.4,33.5,146592600,0
2010-02-01 00:00:00+05:30,34.05,39.4,33.8,35.4,181832232,0
2010-03-01 00:00:00+05:30,35.95,35.95,30.35,31.65,165454092,0
2010-04-01 00:00:00+05:30,31.7,31.95,29.2,31.6,125468700,0
2010-05-01 00:00:00+05:30,31.9,37.45,30.9,36.8,187527552,0
2010-06-01 00:00:00+05:30,36.9,44.2,31.4,43.4,556575552,0
2010-07-01 00:00:00+05:30,43.4,48.0,40.05,41.7,523025760,0
2010-08-01 00:00:00+05:30,41.7,57.8,41.35,51.4,481343724,0
2010-09-01 00:00:00+05:30,51.9,56.0,49.7,50.5,295148664,0
2010-10-01 00:00:00+05:30,50.5,52.6,45.5,48.9,277237860,0
2010-11-01 00:00:00+05:30,49.6,53.35,42.3,44.4,169758840,0
2010-12-01 00:00:00+05:30,44.8,48.2,42.4,43.05,186746616,0
2011-01-01 00:00:00+05:30,43.35,44.0,35.5,39.4,166762752,0
2011-02-01 00:00:00+05:30,38.7,41.9,32.55,34.5,158910372,0
2011-03-01 00:00:00+05:30,34.9,40.2,33.3,39.3,152456796,0
2011-04-01 00:00:00+05:30,38.4,41.4,37.1,40.7,93936492,0
2011-05-01 00:00:00+05:30,40.75,44.85,37.9,41.0,198405348,0
2011-06-01 00:00:00+05:30,40.6,45.35,38.15,42.4,170946744,0
2011-07-01 00:00:00+05:30,42.45,54.3,41.3,43.0,96037332,0
2011-08-01 00:00:00+05:30,43.3,47.6,42.5,44.4,129939000,0
2011-09-01 00:00:00+05:30,44.5,45.6,40.9,42.2,87613548,0
2011-10-01 00:00:00+05:30,42.2,45.95,39.6,40.15,73742916,0
2011-11-01 00:00:00+05:30,39.9,41.7,29.1,33.25,137822628,0
2011-12-01 00:00:00+05:30,33.65,35.6,27.6,28.4,146514564,0
2012-01-01 00:00:00+05:30,28.95,37.5,26.75,36.05,151161096,0
2012-02-01 00:00:00+05:30,35.9,45.2,34.8,43.4,188308776,0
2012-03-01 00:00:00+05:30,43.4,46.75,40.1,46.45,116114784,0
2012-04-01 00:00:00+05:30,45.95,47.15,42.0,44.05,71671308,0
2012-05-01 00:00:00+05:30,43.9,52.1,42.05,46.25,216029136,0
2012-06-01 00:00:00+05:30,46.2,52.55,45.2,50.0,121002252,0
2012-07-01 00:00:00+05:30,49.8,53.7,46.7,48.6,116675154,0
