time,open,high,low,close,volume,open_interest
2004-08-01 00:00:00+05:30,21.1,22.5,18.15,19.25,118760,0
2004-09-01 00:00:00+05:30,21.5,23.1,18.6,19.15,270304,0
2004-10-01 00:00:00+05:30,19.1,22.0,19.0,21.55,341432,0
2004-11-01 00:00:00+05:30,21.6,23.5,21.05,22.75,345432,0
2004-12-01 00:00:00+05:30,21.5,26.1,21.5,25.05,331386,0
2005-01-01 00:00:00+05:30,24.8,28.0,24.0,26.65,291511,0
2005-02-01 00:00:00+05:30,27.25,37.2,24.6,33.45,3218058,0
2005-03-01 00:00:00+05:30,33.6,33.75,29.0,31.0,667516,0
2005-04-01 00:00:00+05:30,32.35,36.1,28.0,31.5,487463,0
2005-05-01 00:00:00+05:30,30.8,39.6,30.8,33.1,1056062,0
2005-06-01 00:00:00+05:30,33.3,34.3,28.2,30.4,219121,0
2005-07-01 00:00:00+05:30,31.8,32.4,29.4,30.35,160684,0
2005-08-01 00:00:00+05:30,30.4,36.2,27.6,30.45,887080,0
2005-09-01 00:00:00+05:30,31.2,31.2,26.75,28.25,234767,0
2005-10-01 00:00:00+05:30,28.8,30.0,23.5,25.2,88728,0
2005-11-01 00:00:00+05:30,25.3,28.0,24.05,25.2,354812,0
2005-12-01 00:00:00+05:30,25.2,26.6,22.5,22.95,248212,0
2006-01-01 00:00:00+05:30,23.95,25.5,21.6,22.1,618209,0
2006-02-01 00:00:00+05:30,22.65,27.5,20.2,25.45,1032033,0
2006-03-01 00:00:00+05:30,24.2,32.0,24.2,30.25,741721,0
2006-04-01 00:00:00+05:30,31.5,35.75,26.8,29.9,450060,0
2006-05-01 00:00:00+05:30,31.3,37.5,24.45,29.6,231135,0
2006-06-01 00:00:00+05:30,29.6,30.5,20.0,23.85,141987,0
2006-07-01 00:00:00+05:30,23.8,28.4,20.0,22.25,823927,0
2006-08-01 00:00:00+05:30,22.0,25.2,17.65,22.55,170151,0
2006-09-01 00:00:00+05:30,22.95,33.75,22.5,29.7,1614117,0
2006-10-01 00:00:00+05:30,29.8,37.0,29.5,36.2,2667070,0
2006-11-01 00:00:00+05:30,36.2,41.5,35.05,38.0,772367,0
2006-12-01 00:00:00+05:30,37.15,41.4,33.55,36.4,170916,0
2007-01-01 00:00:00+05:30,36.2,40.7,31.7,37.55,321516,0
2007-02-01 00:00:00+05:30,38.1,38.85,33.5,34.05,178601,0
2007-03-01 00:00:00+05:30,32.8,35.3,24.4,24.55,397538,0
2007-04-01 00:00:00+05:30,24.2,27.9,22.2,27.05,856647,0
2007-05-01 00:00:00+05:30,27.7,36.9,24.3,33.55,1095392,0
2007-06-01 00:00:00+05:30,34.15,37.35,33.0,35.25,790457,0
2007-07-01 00:00:00+05:30,35.5,39.9,33.3,37.65,1485569,0
2007-08-01 00:00:00+05:30,37.6,39.9,33.0,36.6,765131,0
2007-09-01 00:00:00+05:30,36.1,46.4,34.5,42.1,1034653,0
2007-10-01 00:00:00+05:30,42.0,52.0,40.7,47.2,1414269,0
2007-11-01 00:00:00+05:30,49.3,49.5,37.5,43.0,627288,0
2007-12-01 00:00:00+05:30,44.4,64.4,37.2,40.8,4667531,0
2008-01-01 00:00:00+05:30,41.0,46.2,22.5,27.85,1194949,0
2008-02-01 00:00:00+05:30,28.2,32.0,25.25,28.5,662670,0
2008-03-01 00:00:00+05:30,28.0,29.5,23.2,25.0,371920,0
2008-04-01 00:00:00+05:30,24.8,29.45,24.1,27.5,332746,0
2008-05-01 00:00:00+05:30,27.5,45.55,27.5,30.1,3183347,0
2008-06-01 00:00:00+05:30,30.2,31.45,25.6,27.5,881242,0
2008-07-01 00:00:00+05:30,28.0,29.8,23.1,27.2,438271,0
2008-08-01 00:00:00+05:30,26.5,29.5,26.0,28.55,200399,0
2008-09-01 00:00:00+05:30,27.9,28.6,22.6,26.7,219547,0
2008-10-01 00:00:00+05:30,26.2,26.4,13.55,19.5,247243,0
2008-11-01 00:00:00+05:30,22.95,23.95,20.05,22.0,194305,0
2008-12-01 00:00:00+05:30,21.8,24.4,20.2,23.5,94695,0
2009-01-01 00:00:00+05:30,24.3,24.6,21.0,21.8,192554,0
2009-02-01 00:00:00+05:30,22.0,27.4,20.3,21.85,3070845,0
2009-03-01 00:00:00+05:30,21.35,25.2,20.6,21.75,454145,0
2009-04-01 00:00:00+05:30,21.9,22.8,18.4,20.45,1700995,0
2009-05-01 00:00:00+05:30,20.2,31.35,19.55,28.45,705589,0
2009-06-01 00:00:00+05:30,29.0,37.5,26.85,31.15,486040,0
2009-07-01 00:00:00+05:30,31.35,38.8,29.9,37.75,303118,0
2009-08-01 00:00:00+05:30,38.4,45.2,37.35,44.45,551308,0
2009-09-01 00:00:00+05:30,44.7,61.0,44.0,58.05,595913,0
2009-10-01 00:00:00+05:30,58.0,58.0,48.2,50.05,246537,0
2009-11-01 00:00:00+05:30,50.0,60.7,47.2,58.45,264423,0
2009-12-01 00:00:00+05:30,60.0,67.0,57.25,65.5,881594,0
2010-01-01 00:00:00+05:30,65.8,69.0,53.25,56.8,654873,0
2010-02-01 00:00:00+05:30,57.5,61.95,51.0,58.4,932987,0
2010-03-01 00:00:00+05:30,60.0,67.9,60.0,65.15,378619,0
2010-04-01 00:00:00+05:30,65.15,83.0,64.5,80.1,1676166,0
2010-05-01 00:00:00+05:30,79.0,88.35,77.0,84.85,1285720,0
2010-06-01 00:00:00+05:30,85.0,97.7,78.65,91.7,3251474,0
2010-07-01 00:00:00+05:30,92.5,101.4,89.6,98.4,1571174,0
