time,open,high,low,close,volume,open_interest
2004-08-01 00:00:00+05:30,93.28,101.51,86.67,100.54,40024657,0
2004-09-01 00:00:00+05:30,100.66,116.87,99.13,115.69,37685569,0
2004-10-01 00:00:00+05:30,114.4,120.11,100.15,101.28,35712765,0
2004-11-01 00:00:00+05:30,100.66,112.95,99.82,111.63,30777706,0
2004-12-01 00:00:00+05:30,112.18,125.82,106.55,121.37,46011716,0
2005-01-01 00:00:00+05:30,121.99,127.94,103.91,110.99,42868086,0
2005-02-01 00:00:00+05:30,111.84,121.54,111.35,118.85,39594734,0
2005-03-01 00:00:00+05:30,118.58,124.98,108.09,110.52,32089996,0
2005-04-01 00:00:00+05:30,110.05,121.98,100.58,101.2,18653096,0
2005-05-01 00:00:00+05:30,104.5,105.78,95.97,96.33,30237872,0
2005-06-01 00:00:00+05:30,96.4,105.36,91.02,102.25,32187761,0
2005-07-01 00:00:00+05:30,102.8,112.18,100.41,107.68,31975520,0
2005-08-01 00:00:00+05:30,108.43,124.5,105.91,122.29,35140641,0
2005-09-01 00:00:00+05:30,123.65,140.29,121.35,125.4,67798604,0
2005-10-01 00:00:00+05:30,126.47,131.97,96.1,97.81,51893900,0
2005-11-01 00:00:00+05:30,101.0,119.62,99.17,114.04,62184916,0
2005-12-01 00:00:00+05:30,114.36,133.77,112.0,130.05,65599253,0
2006-01-01 00:00:00+05:30,131.41,150.09,130.96,149.46,81113648,0
2006-02-01 00:00:00+05:30,150.09,154.99,135.49,139.07,64226097,0
2006-03-01 00:00:00+05:30,138.98,169.5,136.94,165.69,98259372,0
2006-04-01 00:00:00+05:30,167.91,201.06,164.96,193.4,133722812,0
2006-05-01 00:00:00+05:30,208.59,227.9,149.55,161.06,218918924,0
2006-06-01 00:00:00+05:30,164.15,166.87,125.74,159.16,169115011,0
2006-07-01 00:00:00+05:30,160.52,167.5,136.94,145.69,85475559,0
2006-08-01 00:00:00+05:30,146.65,161.43,140.61,156.12,109802291,0
2006-09-01 00:00:00+05:30,155.99,169.59,148.73,155.49,90455708,0
2006-10-01 00:00:00+05:30,155.44,174.49,152.45,171.18,86105277,0
2006-11-01 00:00:00+05:30,171.95,174.76,152.4,157.03,86583714,0
2006-12-01 00:00:00+05:30,157.94,167.87,147.01,157.98,64088450,0
2007-01-01 00:00:00+05:30,160.07,165.87,147.82,159.75,74704829,0
2007-02-01 00:00:00+05:30,160.43,169.05,120.62,126.19,122432306,0
2007-03-01 00:00:00+05:30,127.87,136.94,108.83,118.17,64242278,0
2007-04-01 00:00:00+05:30,117.9,137.67,114.72,132.45,53374580,0
2007-05-01 00:00:00+05:30,132.41,136.94,108.83,127.51,47543348,0
2007-06-01 00:00:00+05:30,128.33,156.08,127.06,145.24,127205587,0
2007-07-01 00:00:00+05:30,146.37,174.03,139.25,154.13,100332152,0
2007-08-01 00:00:00+05:30,154.13,154.13,122.48,143.2,59188142,0
2007-09-01 00:00:00+05:30,144.33,157.66,138.12,156.17,56648392,0
2007-10-01 00:00:00+05:30,156.89,188.63,144.24,178.21,100874626,0
2007-11-01 00:00:00+05:30,180.47,217.66,149.64,168.14,124587854,0
2007-12-01 00:00:00+05:30,171.4,200.83,167.87,194.85,74192152,0
2008-01-01 00:00:00+05:30,195.89,200.79,126.97,148.69,69927116,0
2008-02-01 00:00:00+05:30,154.08,185.91,133.22,183.74,80682062,0
2008-03-01 00:00:00+05:30,178.02,191.08,133.81,149.73,81793698,0
2008-04-01 00:00:00+05:30,145.19,182.2,139.84,175.8,41036261,0
2008-05-01 00:00:00+05:30,179.57,187.18,152.0,174.4,81922729,0
2008-06-01 00:00:00+05:30,170.5,174.89,125.56,129.05,49832671,0
2008-07-01 00:00:00+05:30,129.78,145.01,120.25,128.19,60492399,0
2008-08-01 00:00:00+05:30,128.69,133.22,114.5,122.4,65511458,0
2008-09-01 00:00:00+05:30,122.0,128.8,90.0,98.25,64628928,0
2008-10-01 00:00:00+05:30,99.9,100.0,38.0,60.5,246090116,0
2008-11-01 00:00:00+05:30,63.0,68.8,47.0,52.95,173611936,0
2008-12-01 00:00:00+05:30,53.0,58.75,48.1,51.4,147038432,0
2009-01-01 00:00:00+05:30,52.4,60.95,41.85,48.95,108732665,0
2009-02-01 00:00:00+05:30,48.2,49.85,37.0,38.6,80782709,0
2009-03-01 00:00:00+05:30,38.4,55.75,36.75,52.05,148398391,0
2009-04-01 00:00:00+05:30,52.0,66.7,50.9,53.75,187897686,0
2009-05-01 00:00:00+05:30,55.9,86.45,55.9,84.65,223652818,0
2009-06-01 00:00:00+05:30,85.0,106.5,78.65,86.45,316585599,0
2009-07-01 00:00:00+05:30,85.0,102.7,68.15,100.3,186229818,0
2009-08-01 00:00:00+05:30,105.0,116.0,95.25,106.0,268099139,0
2009-09-01 00:00:00+05:30,106.05,139.9,101.05,129.05,278884723,0
2009-10-01 00:00:00+05:30,130.0,144.45,116.7,121.85,188596832,0
2009-11-01 00:00:00+05:30,118.4,140.8,106.3,138.1,174420329,0
2009-12-01 00:00:00+05:30,138.5,163.0,136.25,160.85,237456822,0
2010-01-01 00:00:00+05:30,162.0,179.8,139.8,147.35,235986577,0
2010-02-01 00:00:00+05:30,145.0,164.9,133.55,162.65,267461836,0
2010-03-01 00:00:00+05:30,164.0,186.9,158.15,181.25,198143859,0
2010-04-01 00:00:00+05:30,182.0,193.0,170.0,178.5,114235000,0
2010-05-01 00:00:00+05:30,176.0,178.0,135.65,150.25,218080834,0
2010-06-01 00:00:00+05:30,149.7,154.6,129.35,144.5,352735459,0
2010-07-01 00:00:00+05:30,143.0,162.9,141.0,160.35,168389465,0
2010-08-01 00:00:00+05:30,161.4,189.0,160.05,166.4,145922328,0
2010-09-01 00:00:00+05:30,167.6,199.7,166.5,197.05,148835574,0
2010-10-01 00:00:00+05:30,197.5,223.7,195.8,210.5,156483309,0
2010-11-01 00:00:00+05:30,214.9,239.45,194.0,206.55,158064006,0
2010-12-01 00:00:00+05:30,207.05,247.9,206.9,247.0,159073557,0
2011-01-01 00:00:00+05:30,248.0,252.85,217.4,229.65,188326507,0
2011-02-01 00:00:00+05:30,230.5,251.25,194.5,201.35,217865792,0
2011-03-01 00:00:00+05:30,203.15,215.4,189.35,209.15,175460624,0
2011-04-01 00:00:00+05:30,209.7,224.75,200.0,216.05,108522185,0
2011-05-01 00:00:00+05:30,216.25,219.8,181.25,197.35,125658761,0
2011-06-01 00:00:00+05:30,198.25,198.75,161.7,180.55,135756963,0
2011-07-01 00:00:00+05:30,184.35,196.0,166.2,168.45,132347496,0
2011-08-01 00:00:00+05:30,170.75,171.9,128.2,150.6,179890352,0
2011-09-01 00:00:00+05:30,155.0,163.7,124.5,131.45,161868521,0
2011-10-01 00:00:00+05:30,128.55,144.15,119.3,135.95,203471410,0
2011-11-01 00:00:00+05:30,135.35,141.7,112.8,122.95,153205236,0
2011-12-01 00:00:00+05:30,129.45,140.3,114.75,115.85,188844518,0
2012-01-01 00:00:00+05:30,117.0,148.95,111.2,146.6,206643802,0
2012-02-01 00:00:00+05:30,147.2,164.9,138.6,148.9,261385069,0
2012-03-01 00:00:00+05:30,147.3,155.95,122.65,129.4,254341697,0
2012-04-01 00:00:00+05:30,130.0,133.65,115.55,120.75,158923794,0
2012-05-01 00:00:00+05:30,120.15,121.9,105.4,116.65,218757605,0
2012-06-01 00:00:00+05:30,115.6,127.0,112.7,119.9,141166169,0
2012-07-01 00:00:00+05:30,120.3,127.9,113.0,120.1,125673148,0
2012-08-01 00:00:00+05:30,120.0,124.75,102.3,103.85,123647387,0
2012-09-01 00:00:00+05:30,105.4,121.9,100.0,120.7,163239337,0
2012-10-01 00:00:00+05:30,120.5,126.5,100.0,116.55,118273310,0
2012-11-01 00:00:00+05:30,116.85,118.8,104.8,116.6,100287881,0
2012-12-01 00:00:00+05:30,116.9,133.7,115.05,130.5,150351946,0
2013-01-01 00:00:00+05:30,131.5,137.1,112.7,116.2,149867779,0
2013-02-01 00:00:00+05:30,116.05,117.4,98.0,98.9,160454623,0
2013-03-01 00:00:00+05:30,98.9,102.6,86.9,91.6,170485554,0
2013-04-01 00:00:00+05:30,92.2,99.8,87.55,97.25,111597316,0
2013-05-01 00:00:00+05:30,97.05,112.55,94.8,102.4,172715402,0
2013-06-01 00:00:00+05:30,102.4,105.4,91.0,99.8,142324032,0
2013-07-01 00:00:00+05:30,99.0,106.2,84.5,90.1,131298046,0
2013-08-01 00:00:00+05:30,91.0,109.0,83.1,105.05,216773956,0
2013-09-01 00:00:00+05:30,105.0,119.7,103.75,111.9,155938123,0
2013-10-01 00:00:00+05:30,111.75,123.0,105.0,115.05,207692977,0
2013-11-01 00:00:00+05:30,114.25,125.0,109.1,122.7,143984461,0
2013-12-01 00:00:00+05:30,122.75,126.85,115.65,122.6,115212421,0
2014-01-01 00:00:00+05:30,122.6,125.65,107.0,109.55,117709652,0
2014-02-01 00:00:00+05:30,109.0,109.4,96.7,105.35,171441133,0
2014-03-01 00:00:00+05:30,105.0,142.95,104.7,141.75,231492520,0
2014-04-01 00:00:00+05:30,142.0,147.2,131.6,134.3,125701089,0
2014-05-01 00:00:00+05:30,135.2,163.65,129.85,148.0,227095689,0
2014-06-01 00:00:00+05:30,147.3,173.65,146.35,164.2,243958021,0
2014-07-01 00:00:00+05:30,167.2,198.9,165.0,191.7,248806846,0
2014-08-01 00:00:00+05:30,189.7,196.7,157.7,170.1,192041257,0
2014-09-01 00:00:00+05:30,171.9,178.95,133.05,156.75,211103608,0
2014-10-01 00:00:00+05:30,155.2,164.45,138.15,163.7,170851411,0
2014-11-01 00:00:00+05:30,163.1,176.6,149.6,174.05,172025461,0
2014-12-01 00:00:00+05:30,173.0,175.05,139.0,157.55,163384185,0
2015-01-01 00:00:00+05:30,157.4,161.94,137.75,139.69,147324534,0
2015-02-01 00:00:00+05:30,140.0,161.8,139.5,155.15,130888162,0
2015-03-01 00:00:00+05:30,154.19,160.0,123.1,129.0,152303122,0
2015-04-01 00:00:00+05:30,129.0,141.69,127.05,128.6,126523486,0
2015-05-01 00:00:00+05:30,130.4,145.1,128.55,129.25,110164819,0
2015-06-01 00:00:00+05:30,128.75,129.8,111.0,111.9,103122521,0
2015-07-01 00:00:00+05:30,112.3,114.6,99.05,105.2,110018198,0
2015-08-01 00:00:00+05:30,105.25,112.25,75.25,80.05,159858829,0
2015-09-01 00:00:00+05:30,79.45,79.59,67.5,70.8,169319786,0
2015-10-01 00:00:00+05:30,71.65,92.4,70.25,84.05,217145241,0
2015-11-01 00:00:00+05:30,83.9,84.4,73.2,77.05,187876260,0
2015-12-01 00:00:00+05:30,77.59,86.0,73.0,84.75,178729971,0
2015-12-01 09:15:00+05:30,85.0,85.5,83.2,84.75,8803069,0
2016-01-01 09:15:00+05:30,84.7,85.9,66.35,70.5,144001922,0
2016-02-01 09:15:00+05:30,70.85,72.2,58.8,68.75,222847294,0
2016-03-01 09:15:00+05:30,69.0,92.5,68.6,87.95,298483120,0
2016-04-01 09:15:00+05:30,87.5,104.4,84.35,96.35,255389370,0
2016-05-01 09:15:00+05:30,96.4,107.65,83.5,105.25,310667732,0
2016-06-01 09:15:00+05:30,105.35,124.65,102.2,122.85,294411988,0
2016-07-01 09:15:00+05:30,124.0,141.45,123.15,133.55,234376477,0
2016-08-01 09:15:00+05:30,134.5,164.7,133.6,159.25,239298941,0
2016-09-01 09:15:00+05:30,159.0,163.45,138.55,152.7,200905467,0
2016-10-01 09:15:00+05:30,154.5,162.8,147.4,149.65,150794699,0
2016-11-01 09:15:00+05:30,150.5,184.8,149.7,175.75,336194611,0
2016-12-01 09:15:00+05:30,176.8,183.45,147.85,155.05,184197556,0
2017-01-01 09:15:00+05:30,155.85,195.3,154.2,189.95,242716027,0
2017-01-01 09:56:00+05:30,167.1,175.65,166.45,174.95,24145144,0
2017-02-01 09:15:00+05:30,190.9,200.0,179.1,184.35,220636838,0
2017-03-01 09:15:00+05:30,185.15,202.3,184.6,195.05,327281978,0
2017-04-01 09:15:00+05:30,195.1,203.7,179.35,199.35,227834079,0
2017-05-01 09:15:00+05:30,200.85,210.35,181.6,200.7,314368678,0
2017-06-01 09:15:00+05:30,200.5,204.3,185.1,190.95,175671392,0
2017-07-01 09:15:00+05:30,191.2,223.75,191.2,219.65,198230815,0
2017-08-01 09:15:00+05:30,221.1,244.9,218.0,238.0,236191630,0
2017-09-01 09:15:00+05:30,239.25,255.45,223.3,240.6,184227209,0
2017-10-01 09:15:00+05:30,242.5,278.55,238.2,267.4,167405027,0
2017-11-01 09:15:00+05:30,269.5,277.6,239.5,240.45,166853623,0
2017-12-01 09:15:00+05:30,240.5,278.8,229.4,273.55,171605184,0
2018-01-01 09:15:00+05:30,273.0,284.0,251.1,256.15,179048144,0
2018-02-01 09:15:00+05:30,257.8,261.65,232.5,245.4,173730240,0
2018-03-01 09:15:00+05:30,243.4,247.0,202.6,214.55,192233039,0
2018-04-01 09:15:00+05:30,216.55,267.8,200.0,235.65,372516227,0
2018-05-01 09:15:00+05:30,235.0,248.35,224.35,234.2,213140304,0
2018-06-01 09:15:00+05:30,233.8,255.5,216.15,230.5,161940161,0
2018-07-01 09:15:00+05:30,231.0,231.1,193.6,213.4,253540879,0
2018-07-01 09:51:00+05:30,196.1,198.45,192.35,196.15,13363743,0
2018-08-01 09:15:00+05:30,214.5,243.0,203.25,237.95,242929819,0
2018-09-01 09:15:00+05:30,237.5,250.8,224.0,229.65,183290491,0
2018-10-01 09:15:00+05:30,229.1,259.75,210.7,220.4,228222448,0
2018-11-01 09:15:00+05:30,222.6,245.3,213.25,226.2,183180529,0
2018-12-01 00:00:00+05:30,232.5,237.9,211.45,226.2,153291429,0
2019-01-01 00:00:00+05:30,225.5,225.75,197.45,208.5,181904223,0
2019-02-01 00:00:00+05:30,208.0,212.65,182.2,195.75,164228808,0
2019-03-01 00:00:00+05:30,198.1,211.55,193.6,205.5,148021893,0
2019-04-01 00:00:00+05:30,208.55,219.1,195.75,206.05,143193322,0
2019-05-01 00:00:00+05:30,204.25,207.65,187.25,197.0,172241304,0
2019-06-01 00:00:00+05:30,197.0,210.4,188.1,207.05,124713306,0
2019-07-01 00:00:00+05:30,208.1,210.6,184.8,190.55,133988914,0
