time,open,high,low,close,volume,open_interest
2004-08-01 00:00:00+05:30,48.55,51.4,47.69,49.05,66753982,0
2004-09-01 00:00:00+05:30,49.64,54.13,47.35,52.05,90712331,0
2004-10-01 00:00:00+05:30,52.55,55.07,50.38,54.37,67666932,0
2004-11-01 00:00:00+05:30,54.38,62.86,53.75,61.77,97020593,0
2004-12-01 00:00:00+05:30,61.84,69.05,60.73,67.52,111304929,0
2005-01-01 00:00:00+05:30,68.18,68.91,59.13,65.62,56815222,0
2005-02-01 00:00:00+05:30,66.0,70.36,65.09,69.25,67771760,0
2005-03-01 00:00:00+05:30,69.36,75.96,63.64,71.42,118184037,0
2005-04-01 00:00:00+05:30,71.45,78.09,64.74,65.45,137586188,0
2005-05-01 00:00:00+05:30,66.91,75.42,65.01,71.28,55919083,0
2005-06-01 00:00:00+05:30,71.63,79.55,71.09,77.41,71512071,0
2005-07-01 00:00:00+05:30,77.64,100.89,75.82,97.17,119868988,0
2005-08-01 00:00:00+05:30,96.82,99.98,83.64,87.6,87186606,0
2005-09-01 00:00:00+05:30,87.68,111.81,87.0,109.4,111188459,0
2005-10-01 00:00:00+05:30,109.89,111.64,85.0,90.65,161985681,0
2005-11-01 00:00:00+05:30,91.09,100.91,89.76,97.83,99708689,0
2005-12-01 00:00:00+05:30,98.18,108.0,95.27,106.37,229919382,0
2006-01-01 00:00:00+05:30,106.85,112.98,96.37,110.77,262042025,0
2006-02-01 00:00:00+05:30,112.71,115.45,93.05,111.86,138238010,0
2006-03-01 00:00:00+05:30,109.09,116.36,101.82,107.1,79928608,0
2006-04-01 00:00:00+05:30,108.91,114.18,87.27,104.87,67602327,0
2006-05-01 00:00:00+05:30,109.11,122.73,89.45,97.73,141689119,0
2006-06-01 00:00:00+05:30,98.55,101.27,79.09,88.71,129717077,0
2006-07-01 00:00:00+05:30,90.73,103.27,84.54,100.7,135976403,0
2006-08-01 00:00:00+05:30,100.73,117.82,97.27,108.63,156652126,0
2006-09-01 00:00:00+05:30,108.16,144.57,104.85,127.2,114095542,0
2006-10-01 00:00:00+05:30,127.27,144.52,122.24,141.3,104482695,0
2006-11-01 00:00:00+05:30,142.71,168.18,137.88,158.63,216997362,0
2006-12-01 00:00:00+05:30,160.55,166.18,140.38,162.09,120755715,0
2007-01-01 00:00:00+05:30,162.18,181.82,158.58,171.11,137925814,0
2007-02-01 00:00:00+05:30,172.91,183.64,145.73,150.82,172137276,0
2007-03-01 00:00:00+05:30,152.73,180.0,144.23,155.15,181214926,0
2007-04-01 00:00:00+05:30,149.2,180.85,143.82,157.43,142306353,0
2007-05-01 00:00:00+05:30,163.27,175.27,149.48,167.12,170913723,0
2007-06-01 00:00:00+05:30,168.18,175.77,161.45,173.72,128501120,0
2007-07-01 00:00:00+05:30,178.45,183.64,163.82,168.63,219736582,0
