time,open,high,low,close,volume,open_interest
2004-08-01 00:00:00+05:30,49.1,49.2,36.55,39.85,5628419,0
2004-09-01 00:00:00+05:30,40.2,42.55,38.85,40.15,7738455,0
2004-10-01 00:00:00+05:30,40.7,42.6,36.05,38.2,5950755,0
2004-11-01 00:00:00+05:30,38.6,49.35,37.75,45.75,12881359,0
2004-12-01 00:00:00+05:30,46.45,69.0,42.6,60.6,46492053,0
2005-01-01 00:00:00+05:30,61.5,64.85,52.15,58.2,36201338,0
2005-02-01 00:00:00+05:30,58.6,61.15,53.9,55.0,13727922,0
2005-03-01 00:00:00+05:30,55.75,60.75,49.0,50.15,16460792,0
2005-04-01 00:00:00+05:30,50.9,58.45,50.35,50.75,8454759,0
2005-05-01 00:00:00+05:30,51.35,65.45,49.55,61.65,30795883,0
2005-06-01 00:00:00+05:30,61.9,75.9,61.0,66.85,65602368,0
2005-07-01 00:00:00+05:30,66.55,78.35,66.25,76.75,46126130,0
2005-08-01 00:00:00+05:30,75.9,83.9,72.5,77.9,47011021,0
2005-09-01 00:00:00+05:30,78.7,81.25,67.5,70.85,19896515,0
2005-10-01 00:00:00+05:30,71.9,74.2,48.25,51.75,20799245,0
2005-11-01 00:00:00+05:30,52.0,60.0,50.15,54.35,17147488,0
2005-12-01 00:00:00+05:30,54.85,62.1,53.2,58.35,21816869,0
2006-01-01 00:00:00+05:30,59.35,61.7,50.25,52.45,20004122,0
2006-02-01 00:00:00+05:30,53.45,54.45,49.05,50.6,8568512,0
2006-03-01 00:00:00+05:30,50.0,51.5,42.65,46.8,18509356,0
2006-04-01 00:00:00+05:30,47.45,60.2,47.2,52.5,25614564,0
2006-05-01 00:00:00+05:30,56.15,64.0,39.1,46.05,33088221,0
2006-06-01 00:00:00+05:30,46.95,47.6,27.25,33.95,24088525,0
2006-07-01 00:00:00+05:30,34.1,36.0,29.5,32.85,11730342,0
2006-08-01 00:00:00+05:30,32.85,49.5,32.0,43.3,22215589,0
2006-09-01 00:00:00+05:30,43.05,51.25,41.2,50.55,32929570,0
2006-10-01 00:00:00+05:30,50.9,51.1,43.2,44.15,14492368,0
2006-11-01 00:00:00+05:30,44.15,49.8,41.55,44.4,21072088,0
2006-12-01 00:00:00+05:30,44.9,50.4,37.55,47.35,31470039,0
2007-01-01 00:00:00+05:30,46.2,60.35,46.2,53.25,44155663,0
2007-02-01 00:00:00+05:30,53.5,63.7,43.0,44.1,32567000,0
2007-03-01 00:00:00+05:30,44.0,47.0,36.8,42.0,24208417,0
2007-04-01 00:00:00+05:30,40.0,45.7,38.0,43.0,17164052,0
2007-05-01 00:00:00+05:30,43.75,51.0,43.3,45.5,27504040,0
2007-06-01 00:00:00+05:30,46.3,55.75,42.6,54.5,21731107,0
2007-07-01 00:00:00+05:30,55.3,57.2,49.1,51.15,26098489,0
2007-08-01 00:00:00+05:30,50.2,54.9,45.85,53.35,16122883,0
2007-09-01 00:00:00+05:30,54.7,82.3,53.25,74.75,60951052,0
2007-10-01 00:00:00+05:30,74.1,102.0,58.0,97.3,88484040,0
2007-11-01 00:00:00+05:30,99.8,123.8,85.3,119.35,71568186,0
2007-12-01 00:00:00+05:30,121.0,136.8,116.1,127.5,37072035,0
2008-01-01 00:00:00+05:30,129.65,135.0,75.0,94.7,30938361,0
2008-02-01 00:00:00+05:30,96.0,114.25,85.65,100.05,35432146,0
2008-03-01 00:00:00+05:30,99.7,100.0,69.0,78.65,20607990,0
2008-04-01 00:00:00+05:30,80.0,95.95,73.6,90.4,15426796,0
2008-05-01 00:00:00+05:30,91.0,105.7,75.55,77.25,27437295,0
2008-06-01 00:00:00+05:30,80.25,82.7,52.7,54.05,14284998,0
2008-07-01 00:00:00+05:30,53.0,63.0,48.5,56.55,23845267,0
2008-08-01 00:00:00+05:30,56.0,68.3,55.5,60.2,15979764,0
2008-09-01 00:00:00+05:30,59.2,63.4,48.2,55.45,10706449,0
2008-10-01 00:00:00+05:30,56.0,59.8,30.05,40.6,8634842,0
2008-11-01 00:00:00+05:30,42.0,46.6,31.4,31.9,3275111,0
2008-12-01 00:00:00+05:30,32.9,41.5,28.1,37.55,7203627,0
2009-01-01 00:00:00+05:30,38.0,46.9,32.15,33.35,10438291,0
2009-02-01 00:00:00+05:30,32.75,36.8,29.6,30.2,5198483,0
2009-03-01 00:00:00+05:30,30.0,35.45,26.15,32.1,9216170,0
2009-04-01 00:00:00+05:30,33.0,46.9,32.15,40.65,16932438,0
2009-05-01 00:00:00+05:30,41.75,72.75,41.1,71.45,53279027,0
2009-06-01 00:00:00+05:30,72.5,94.5,66.25,86.0,90177613,0
2009-07-01 00:00:00+05:30,85.4,96.0,72.5,86.8,68916470,0
2009-08-01 00:00:00+05:30,87.25,103.65,79.5,102.35,23361728,0
2009-09-01 00:00:00+05:30,103.8,118.35,97.1,115.6,28169932,0
2009-10-01 00:00:00+05:30,116.0,145.7,108.5,117.05,31667447,0
2009-11-01 00:00:00+05:30,117.7,140.0,109.05,121.65,17456247,0
2009-12-01 00:00:00+05:30,123.2,150.05,122.0,143.45,23782433,0
2010-01-01 00:00:00+05:30,140.5,155.95,135.95,147.9,17141685,0
2010-02-01 00:00:00+05:30,147.7,160.8,143.35,148.9,12758831,0
2010-03-01 00:00:00+05:30,150.6,185.45,149.6,170.1,20594368,0
2010-04-01 00:00:00+05:30,171.0,196.45,171.0,193.9,17963820,0
2010-05-01 00:00:00+05:30,191.55,207.0,174.1,196.1,25497847,0
2010-06-01 00:00:00+05:30,196.2,212.0,179.0,205.25,21219260,0
