time,open,high,low,close,volume,open_interest
2004-08-01 00:00:00+05:30,22.92,23.36,22.1,23.13,198842242,0
2004-09-01 00:00:00+05:30,23.2,26.47,22.57,25.13,429010710,0
2004-10-01 00:00:00+05:30,25.3,25.74,23.56,24.04,280414237,0
2004-11-01 00:00:00+05:30,24.2,29.06,23.42,28.48,368814183,0
2004-12-01 00:00:00+05:30,28.4,29.59,27.62,28.97,347909814,0
2005-01-01 00:00:00+05:30,29.15,31.31,26.78,30.09,509284779,0
2005-02-01 00:00:00+05:30,29.41,30.47,27.4,28.6,346739104,0
2005-03-01 00:00:00+05:30,28.34,30.86,27.71,29.66,363543223,0
2005-04-01 00:00:00+05:30,29.5,32.57,29.22,31.77,292803794,0
2005-05-01 00:00:00+05:30,31.82,35.68,29.88,35.34,401996997,0
2005-06-01 00:00:00+05:30,35.36,37.11,33.7,36.73,402896585,0
2005-07-01 00:00:00+05:30,36.46,39.64,36.04,37.19,354967264,0
2005-08-01 00:00:00+05:30,37.35,39.11,36.57,38.27,295422735,0
2005-09-01 00:00:00+05:30,38.34,49.22,38.02,45.33,568234093,0
2005-10-01 00:00:00+05:30,45.16,45.81,37.92,39.84,593252999,0
2005-11-01 00:00:00+05:30,40.57,46.46,39.78,44.58,494618584,0
2005-12-01 00:00:00+05:30,44.75,48.4,43.92,47.1,455622136,0
2006-01-01 00:00:00+05:30,47.07,52.64,43.76,51.31,373177236,0
2006-02-01 00:00:00+05:30,51.38,58.22,50.04,57.16,385449859,0
2006-03-01 00:00:00+05:30,57.18,67.79,56.05,64.69,480476799,0
2006-04-01 00:00:00+05:30,64.85,69.11,60.33,66.59,369864032,0
2006-05-01 00:00:00+05:30,67.79,70.44,48.06,54.83,525810001,0
2006-06-01 00:00:00+05:30,55.69,60.99,46.57,60.46,631362693,0
2006-07-01 00:00:00+05:30,60.66,61.95,53.45,55.49,405033121,0
2006-08-01 00:00:00+05:30,55.59,63.84,54.93,63.48,284298151,0
2006-09-01 00:00:00+05:30,63.18,63.98,58.34,62.22,287406732,0
2006-10-01 00:00:00+05:30,61.65,65.2,60.33,62.98,233871733,0
2006-11-01 00:00:00+05:30,63.31,63.91,57.68,61.36,253870514,0
2006-12-01 00:00:00+05:30,61.65,63.63,55.19,58.37,246480745,0
2007-01-01 00:00:00+05:30,58.51,60.0,53.07,57.88,312245179,0
2007-02-01 00:00:00+05:30,57.38,59.67,51.41,56.91,280467974,0
2007-03-01 00:00:00+05:30,57.25,58.01,43.09,50.1,592274665,0
2007-04-01 00:00:00+05:30,50.12,54.36,48.41,53.05,293012925,0
2007-05-01 00:00:00+05:30,53.6,57.01,52.67,54.3,258008240,0
2007-06-01 00:00:00+05:30,53.9,54.96,48.06,51.28,293090585,0
2007-07-01 00:00:00+05:30,51.38,59.63,48.06,56.68,486190499,0
2007-08-01 00:00:00+05:30,56.52,57.99,50.3,56.62,360572706,0
2007-09-01 00:00:00+05:30,56.57,64.64,56.35,62.91,306287100,0
2007-10-01 00:00:00+05:30,63.23,63.94,56.43,59.3,338219410,0
2007-11-01 00:00:00+05:30,59.07,71.17,54.69,62.43,392283676,0
2007-12-01 00:00:00+05:30,63.28,70.24,61.12,69.43,313365242,0
2008-01-01 00:00:00+05:30,70.27,79.36,56.02,64.82,651274541,0
2008-02-01 00:00:00+05:30,63.73,70.6,59.33,67.21,297288746,0
2008-03-01 00:00:00+05:30,65.73,69.88,59.78,68.37,405339740,0
2008-04-01 00:00:00+05:30,68.95,73.19,66.03,72.89,254279441,0
2008-05-01 00:00:00+05:30,73.62,77.04,66.81,72.18,309974983,0
2008-06-01 00:00:00+05:30,72.66,74.58,60.0,62.25,331826044,0
2008-07-01 00:00:00+05:30,61.85,66.2,51.93,61.92,396512031,0
2008-08-01 00:00:00+05:30,62.0,65.72,59.6,62.55,219825158,0
2008-09-01 00:00:00+05:30,62.32,69.61,58.67,62.33,318779122,0
2008-10-01 00:00:00+05:30,62.98,65.96,43.77,51.43,559774813,0
2008-11-01 00:00:00+05:30,52.26,58.87,51.15,57.54,275908954,0
2008-12-01 00:00:00+05:30,57.31,61.14,53.7,56.91,276687107,0
2009-01-01 00:00:00+05:30,57.11,60.0,53.7,59.7,292438058,0
2009-02-01 00:00:00+05:30,59.04,62.96,57.89,60.68,162796309,0
2009-03-01 00:00:00+05:30,60.03,62.58,51.71,61.27,284709654,0
2009-04-01 00:00:00+05:30,61.36,64.39,58.84,62.62,278339834,0
