time,open,high,low,close,volume,open_interest
2004-08-01 00:00:00+05:30,41.8,43.76,39.16,41.78,843082104,0
2004-09-01 00:00:00+05:30,42.22,46.93,41.81,44.16,652358726,0
2004-10-01 00:00:00+05:30,44.1,47.05,41.14,42.21,471685099,0
2004-11-01 00:00:00+05:30,42.31,51.7,42.22,49.97,515916880,0
2004-12-01 00:00:00+05:30,50.02,63.02,47.55,61.51,836056976,0
2005-01-01 00:00:00+05:30,61.75,62.54,53.02,60.66,617501218,0
2005-02-01 00:00:00+05:30,60.38,67.85,52.8,67.42,756976313,0
2005-03-01 00:00:00+05:30,67.08,70.85,60.1,61.77,765532945,0
2005-04-01 00:00:00+05:30,61.79,64.72,54.91,55.18,482327067,0
2005-05-01 00:00:00+05:30,55.47,64.79,54.35,63.25,578879322,0
2005-06-01 00:00:00+05:30,63.16,65.63,54.15,64.33,509750958,0
2005-07-01 00:00:00+05:30,64.34,76.36,62.47,75.5,507779802,0
2005-08-01 00:00:00+05:30,75.38,78.11,70.76,75.12,430696717,0
2005-09-01 00:00:00+05:30,75.57,90.57,74.65,88.51,520318409,0
2005-10-01 00:00:00+05:30,88.49,90.57,75.9,79.16,636321858,0
2005-11-01 00:00:00+05:30,82.05,88.68,77.41,84.59,507237407,0
2005-12-01 00:00:00+05:30,85.19,89.33,81.33,85.68,585856111,0
2006-01-01 00:00:00+05:30,86.09,89.62,82.89,83.62,499277452,0
2006-02-01 00:00:00+05:30,83.87,84.73,80.02,82.78,352958341,0
2006-03-01 00:00:00+05:30,82.84,94.19,82.38,91.37,527619308,0
2006-04-01 00:00:00+05:30,91.51,96.23,80.19,83.29,322400591,0
2006-05-01 00:00:00+05:30,86.79,95.07,75.28,78.55,410405655,0
2006-06-01 00:00:00+05:30,79.25,81.75,66.51,68.66,392527582,0
2006-07-01 00:00:00+05:30,69.34,85.38,64.58,76.44,363909071,0
2006-08-01 00:00:00+05:30,75.66,89.03,74.94,87.86,326986540,0
2006-09-01 00:00:00+05:30,87.93,98.49,86.01,97.04,243114900,0
2006-10-01 00:00:00+05:30,97.08,105.16,93.87,103.36,184607886,0
2006-11-01 00:00:00+05:30,118.52,124.89,102.74,124.25,298523200,0
2006-12-01 00:00:00+05:30,124.06,152.59,109.81,117.51,251635990,0
2007-01-01 00:00:00+05:30,117.93,120.97,106.79,107.59,221416796,0
2007-02-01 00:00:00+05:30,109.25,116.04,91.65,98.29,258936212,0
2007-03-01 00:00:00+05:30,98.3,101.36,84.73,93.82,313970389,0
2007-04-01 00:00:00+05:30,92.4,109.98,86.32,103.95,272725929,0
2007-05-01 00:00:00+05:30,104.72,128.68,100.94,127.7,357332362,0
2007-06-01 00:00:00+05:30,128.68,144.5,120.78,143.95,403052824,0
2007-07-01 00:00:00+05:30,144.34,169.72,138.69,153.2,332461833,0
2007-08-01 00:00:00+05:30,151.89,163.66,132.74,150.98,466256052,0
2007-09-01 00:00:00+05:30,152.74,185.09,149.06,183.57,285099347,0
2007-10-01 00:00:00+05:30,184.15,205.19,150.95,195.12,438744640,0
2007-11-01 00:00:00+05:30,204.44,231.14,188.68,217.21,362164570,0
2007-12-01 00:00:00+05:30,219.81,233.59,210.1,223.7,150129085,0
2008-01-01 00:00:00+05:30,224.53,242.83,172.64,216.74,256074563,0
2008-02-01 00:00:00+05:30,224.47,233.97,194.5,211.16,178289659,0
2008-03-01 00:00:00+05:30,200.1,205.24,158.1,160.03,234253862,0
2008-04-01 00:00:00+05:30,160.5,182.1,156.13,177.47,176564810,0
2008-05-01 00:00:00+05:30,180.0,184.0,143.53,144.5,194417790,0
2008-06-01 00:00:00+05:30,142.7,149.8,110.1,111.16,219409109,0
2008-07-01 00:00:00+05:30,111.5,157.4,96.56,141.72,366850197,0
2008-08-01 00:00:00+05:30,139.18,163.9,130.06,140.38,377312940,0
2008-09-01 00:00:00+05:30,139.0,162.0,135.2,146.34,488105879,0
2008-10-01 00:00:00+05:30,148.48,158.98,98.5,110.97,646183630,0
2008-11-01 00:00:00+05:30,116.4,138.0,102.12,108.86,667009612,0
2008-12-01 00:00:00+05:30,109.0,132.4,99.56,128.88,794979409,0
2009-01-01 00:00:00+05:30,132.9,138.87,103.11,115.1,551602670,0
2009-02-01 00:00:00+05:30,113.9,120.59,99.61,102.53,427702511,0
2009-03-01 00:00:00+05:30,101.47,113.4,89.15,106.71,744661690,0
2009-04-01 00:00:00+05:30,107.61,135.5,102.33,127.86,641486143,0
2009-05-01 00:00:00+05:30,132.53,189.22,121.94,186.88,641295480,0
2009-06-01 00:00:00+05:30,203.97,203.97,159.9,174.53,531418178,0
2009-07-01 00:00:00+05:30,173.1,183.99,151.06,181.16,517666597,0
2009-08-01 00:00:00+05:30,182.0,188.8,167.0,174.29,354984589,0
2009-09-01 00:00:00+05:30,176.1,221.9,171.5,219.5,404299920,0
2009-10-01 00:00:00+05:30,219.16,249.9,204.7,219.1,600154281,0
2009-11-01 00:00:00+05:30,218.7,238.45,205.74,223.96,501086370,0
2009-12-01 00:00:00+05:30,224.6,237.5,212.53,226.9,394085779,0
2010-01-01 00:00:00+05:30,227.5,231.5,195.5,205.66,378997321,0
2010-02-01 00:00:00+05:30,214.8,214.8,186.31,197.43,362690971,0
2010-03-01 00:00:00+05:30,199.06,212.19,197.42,207.82,296748209,0
2010-04-01 00:00:00+05:30,208.0,231.89,201.2,230.07,346133100,0
2010-05-01 00:00:00+05:30,229.0,234.9,213.8,226.88,375413929,0
2010-06-01 00:00:00+05:30,225.11,263.01,220.21,230.2,299966718,0
2010-07-01 00:00:00+05:30,229.11,252.2,225.35,250.29,286561728,0
2010-08-01 00:00:00+05:30,252.0,288.48,251.2,276.64,381534858,0
2010-09-01 00:00:00+05:30,277.5,327.47,273.73,324.05,386816139,0
2010-10-01 00:00:00+05:30,323.94,332.49,307.6,315.06,242748269,0
