time,open,high,low,close,volume,open_interest
2004-08-01 00:00:00+05:30,32.11,37.79,31.09,34.54,40941028,0
2004-09-01 00:00:00+05:30,34.75,39.88,33.37,38.16,32202998,0
2004-10-01 00:00:00+05:30,38.36,40.57,36.68,39.43,28771141,0
2004-11-01 00:00:00+05:30,39.87,48.52,39.44,44.29,25722770,0
2004-12-01 00:00:00+05:30,45.24,51.3,43.13,49.57,25403337,0
2005-01-01 00:00:00+05:30,50.59,50.59,38.59,44.33,28488161,0
2005-02-01 00:00:00+05:30,44.33,45.5,41.14,42.51,28278870,0
2005-03-01 00:00:00+05:30,42.99,44.08,41.33,41.62,18852328,0
2005-04-01 00:00:00+05:30,42.38,46.91,33.45,44.55,14814650,0
2005-05-01 00:00:00+05:30,41.23,50.68,41.23,46.85,16409278,0
2005-06-01 00:00:00+05:30,48.36,53.53,46.84,52.02,19983357,0
2005-07-01 00:00:00+05:30,51.49,61.26,51.3,55.45,19958280,0
2005-08-01 00:00:00+05:30,56.39,57.52,53.09,55.92,19959928,0
2005-09-01 00:00:00+05:30,57.1,61.38,56.03,59.69,21461719,0
2005-10-01 00:00:00+05:30,59.33,59.77,49.25,53.51,17284550,0
2005-11-01 00:00:00+05:30,53.53,61.87,52.64,59.17,22881031,0
2005-12-01 00:00:00+05:30,59.17,64.66,56.77,60.81,20535288,0
2006-01-01 00:00:00+05:30,60.14,62.37,56.66,62.08,24415760,0
2006-02-01 00:00:00+05:30,62.45,73.69,62.01,69.4,42184941,0
2006-03-01 00:00:00+05:30,69.59,83.42,62.81,76.69,36789228,0
2006-04-01 00:00:00+05:30,77.62,84.53,69.59,77.93,30549453,0
2006-05-01 00:00:00+05:30,77.0,82.92,67.9,71.86,47161648,0
2006-06-01 00:00:00+05:30,71.64,80.03,56.8,70.28,38965798,0
2006-07-01 00:00:00+05:30,70.28,74.5,64.24,72.84,25480309,0
2006-08-01 00:00:00+05:30,71.48,81.73,69.16,81.12,33741798,0
2006-09-01 00:00:00+05:30,80.48,85.11,79.41,83.1,24025119,0
2006-10-01 00:00:00+05:30,82.98,84.67,79.42,80.81,19385391,0
2006-11-01 00:00:00+05:30,82.35,94.93,79.05,90.57,49278208,0
2006-12-01 00:00:00+05:30,91.45,94.12,80.75,87.65,40512650,0
2007-01-01 00:00:00+05:30,87.79,96.43,85.83,91.95,44286040,0
2007-02-01 00:00:00+05:30,92.33,95.45,80.3,82.91,40590271,0
2007-03-01 00:00:00+05:30,82.08,94.98,80.21,94.26,41574949,0
2007-04-01 00:00:00+05:30,93.33,111.1,90.56,102.62,68973790,0
2007-05-01 00:00:00+05:30,104.8,113.5,91.0,111.93,39615839,0
2007-06-01 00:00:00+05:30,112.9,112.9,100.2,102.55,34201479,0
2007-07-01 00:00:00+05:30,102.61,105.3,90.8,93.17,45622688,0
2007-08-01 00:00:00+05:30,90.0,98.25,85.5,92.94,44864968,0
2007-09-01 00:00:00+05:30,92.3,103.8,91.62,96.48,37243680,0
2007-10-01 00:00:00+05:30,97.5,107.9,86.0,105.5,42112618,0
2007-11-01 00:00:00+05:30,105.5,116.97,99.0,110.26,44739928,0
2007-12-01 00:00:00+05:30,111.2,127.39,106.5,120.38,25769721,0
2008-01-01 00:00:00+05:30,122.69,122.69,87.0,113.28,49854217,0
2008-02-01 00:00:00+05:30,113.3,128.0,105.06,122.7,36320459,0
2008-03-01 00:00:00+05:30,120.8,138.5,117.71,122.94,72018892,0
2008-04-01 00:00:00+05:30,124.8,147.5,118.1,144.78,71452600,0
2008-05-01 00:00:00+05:30,146.5,152.01,128.49,140.27,44565300,0
2008-06-01 00:00:00+05:30,142.95,151.0,127.22,140.09,77900259,0
2008-07-01 00:00:00+05:30,141.0,148.69,127.5,141.1,61779417,0
2008-08-01 00:00:00+05:30,141.98,152.98,139.8,147.23,44267690,0
2008-09-01 00:00:00+05:30,146.6,155.69,133.11,148.34,57280799,0
2008-10-01 00:00:00+05:30,148.05,150.0,100.47,111.83,89410950,0
2008-11-01 00:00:00+05:30,112.4,129.1,98.25,108.22,85663312,0
