time,open,high,low,close,volume,open_interest
2004-08-01 00:00:00+05:30,42.19,42.9,38.06,41.37,71165838,0
2004-09-01 00:00:00+05:30,41.54,45.0,41.05,42.24,72184728,0
2004-10-01 00:00:00+05:30,42.4,43.59,40.52,40.99,33651981,0
2004-11-01 00:00:00+05:30,41.4,45.67,41.02,44.38,36849950,0
2004-12-01 00:00:00+05:30,44.4,48.85,43.64,47.32,38773067,0
2005-01-01 00:00:00+05:30,47.58,52.74,44.52,48.95,45122311,0
2005-02-01 00:00:00+05:30,49.24,56.6,48.23,54.55,53914950,0
2005-03-01 00:00:00+05:30,54.6,56.74,50.12,52.25,35354278,0
2005-04-01 00:00:00+05:30,54.0,54.6,50.0,51.26,20150370,0
2005-05-01 00:00:00+05:30,51.5,57.69,50.66,57.26,34992118,0
2005-06-01 00:00:00+05:30,57.7,64.34,57.02,62.01,43122987,0
2005-07-01 00:00:00+05:30,62.1,69.9,61.7,67.94,28588690,0
2005-08-01 00:00:00+05:30,68.0,86.0,66.76,81.94,45193608,0
2005-09-01 00:00:00+05:30,82.28,87.99,81.0,84.1,30783579,0
2005-10-01 00:00:00+05:30,85.1,86.5,71.0,74.69,28965030,0
2005-11-01 00:00:00+05:30,75.4,90.5,74.12,87.11,23672371,0
2005-12-01 00:00:00+05:30,88.5,96.88,80.56,94.92,34249008,0
2006-01-01 00:00:00+05:30,95.5,97.05,90.16,93.21,14758560,0
2006-02-01 00:00:00+05:30,93.52,107.8,87.32,92.94,105225731,0
2006-03-01 00:00:00+05:30,93.43,93.5,85.4,86.69,82436418,0
2006-04-01 00:00:00+05:30,87.5,92.0,72.6,83.33,42905733,0
2006-05-01 00:00:00+05:30,84.01,88.48,56.5,71.62,53867178,0
2006-06-01 00:00:00+05:30,73.2,78.6,55.53,76.59,40107498,0
2006-07-01 00:00:00+05:30,75.0,84.2,69.7,83.3,25183619,0
2006-08-01 00:00:00+05:30,82.11,98.9,79.47,79.92,60853198,0
2006-09-01 00:00:00+05:30,80.7,82.5,73.0,75.03,81847929,0
2006-10-01 00:00:00+05:30,75.2,77.8,72.8,76.58,41505931,0
2006-11-01 00:00:00+05:30,77.5,77.84,69.51,71.75,41042398,0
2006-12-01 00:00:00+05:30,72.88,83.0,67.5,72.12,25072550,0
2007-01-01 00:00:00+05:30,72.5,73.7,71.01,71.36,14353480,0
2007-02-01 00:00:00+05:30,71.53,73.4,60.6,61.8,14883461,0
2007-03-01 00:00:00+05:30,60.63,67.24,55.53,60.73,15091129,0
2007-04-01 00:00:00+05:30,60.0,82.5,57.3,77.61,38170570,0
2007-05-01 00:00:00+05:30,78.0,102.15,70.53,92.03,88626159,0
2007-06-01 00:00:00+05:30,94.0,97.49,79.82,85.72,53231929,0
2007-07-01 00:00:00+05:30,85.91,88.2,72.1,77.09,42805308,0
2007-08-01 00:00:00+05:30,77.09,77.1,64.41,75.31,38800628,0
2007-09-01 00:00:00+05:30,75.5,81.9,75.0,80.58,23014500,0
2007-10-01 00:00:00+05:30,80.0,88.55,75.63,82.09,29685468,0
2007-11-01 00:00:00+05:30,82.35,84.2,73.01,75.95,22518198,0
2007-12-01 00:00:00+05:30,79.0,96.9,76.12,90.75,58376251,0
2008-01-01 00:00:00+05:30,91.0,101.49,54.5,82.61,48419177,0
2008-02-01 00:00:00+05:30,83.01,85.39,71.85,82.16,14794399,0
2008-03-01 00:00:00+05:30,80.0,88.0,75.2,82.67,15592862,0
2008-04-01 00:00:00+05:30,84.98,92.2,81.45,91.36,19881660,0
2008-05-01 00:00:00+05:30,91.7,96.5,81.5,86.25,34605250,0
2008-06-01 00:00:00+05:30,88.0,89.0,68.52,74.64,23051379,0
2008-07-01 00:00:00+05:30,74.5,80.7,69.85,75.99,15695967,0
2008-08-01 00:00:00+05:30,73.3,79.0,65.53,70.89,22619050,0
2008-09-01 00:00:00+05:30,71.0,73.5,65.5,66.89,12916219,0
2008-10-01 00:00:00+05:30,67.11,69.55,47.0,50.77,13130430,0
2008-11-01 00:00:00+05:30,53.0,54.49,43.3,52.91,15839652,0
2008-12-01 00:00:00+05:30,51.6,62.2,49.51,60.01,14016969,0
2009-01-01 00:00:00+05:30,60.51,64.4,59.12,60.59,10754490,0
2009-02-01 00:00:00+05:30,60.6,63.0,51.02,57.98,24409181,0
2009-03-01 00:00:00+05:30,57.1,59.47,50.8,58.45,13240950,0
2009-04-01 00:00:00+05:30,59.35,70.9,57.21,67.85,18227423,0
2009-05-01 00:00:00+05:30,69.5,74.9,62.0,69.31,34915550,0
2009-06-01 00:00:00+05:30,70.4,84.49,68.6,72.11,46771888,0
2009-07-01 00:00:00+05:30,73.0,85.5,70.0,85.09,30158817,0
2009-08-01 00:00:00+05:30,85.5,101.79,83.7,94.48,41788799,0
2009-09-01 00:00:00+05:30,95.06,97.03,89.5,89.7,49039110,0
2009-10-01 00:00:00+05:30,90.1,96.22,82.1,85.67,46033001,0
2009-11-01 00:00:00+05:30,85.4,97.0,83.2,90.18,35848100,0
