time,open,high,low,close,volume,open_interest
2004-08-01 00:00:00+05:30,81.52,84.09,71.03,74.84,666119458,0
2004-09-01 00:00:00+05:30,75.2,80.4,72.91,77.26,494764906,0
2004-10-01 00:00:00+05:30,77.21,84.18,74.93,79.85,319742825,0
2004-11-01 00:00:00+05:30,80.08,94.84,78.05,92.65,252939063,0
2004-12-01 00:00:00+05:30,93.13,99.21,90.45,96.8,290837005,0
2005-01-01 00:00:00+05:30,97.69,100.77,87.17,96.64,240807532,0
2005-02-01 00:00:00+05:30,96.75,98.25,79.4,91.19,232976635,0
2005-03-01 00:00:00+05:30,91.29,94.44,77.21,79.26,252537696,0
2005-04-01 00:00:00+05:30,79.7,85.83,76.66,79.22,233825308,0
2005-05-01 00:00:00+05:30,79.7,87.06,78.74,82.97,189346307,0
2005-06-01 00:00:00+05:30,83.92,85.55,79.1,81.51,170924251,0
2005-07-01 00:00:00+05:30,82.0,94.17,80.97,92.14,149646929,0
2005-08-01 00:00:00+05:30,92.67,101.81,86.47,88.41,237221101,0
2005-09-01 00:00:00+05:30,89.13,105.28,88.71,102.36,198617939,0
2005-10-01 00:00:00+05:30,102.5,110.45,87.43,90.43,247772082,0
2005-11-01 00:00:00+05:30,91.2,112.96,84.49,106.49,203736770,0
2005-12-01 00:00:00+05:30,104.99,127.5,104.51,125.19,300177803,0
2006-01-01 00:00:00+05:30,125.88,136.34,116.54,135.73,149265787,0
2006-02-01 00:00:00+05:30,135.65,157.56,133.73,156.38,243410271,0
2006-03-01 00:00:00+05:30,156.34,181.44,155.2,178.53,311026969,0
2006-04-01 00:00:00+05:30,179.52,188.7,148.48,177.69,148063880,0
2006-05-01 00:00:00+05:30,182.97,191.17,131.81,150.98,246900586,0
2006-06-01 00:00:00+05:30,151.74,157.26,124.58,152.29,253766209,0
2006-07-01 00:00:00+05:30,153.66,155.3,124.94,142.17,215239550,0
2006-08-01 00:00:00+05:30,140.82,166.88,137.95,162.06,173657194,0
2006-09-01 00:00:00+05:30,161.7,173.54,155.43,165.09,145868694,0
2006-10-01 00:00:00+05:30,165.09,176.38,157.87,158.59,118548246,0
2006-11-01 00:00:00+05:30,159.05,161.8,151.02,155.03,170027028,0
2006-12-01 00:00:00+05:30,173.01,177.21,144.65,172.55,147755293,0
2007-01-01 00:00:00+05:30,172.83,189.37,166.3,168.27,142961976,0
2007-02-01 00:00:00+05:30,170.29,178.18,144.72,149.94,115712776,0
2007-03-01 00:00:00+05:30,153.46,155.94,133.85,139.52,184916512,0
2007-04-01 00:00:00+05:30,136.22,151.33,126.65,144.03,183378433,0
2007-05-01 00:00:00+05:30,149.44,149.44,124.13,144.79,154458656,0
2007-06-01 00:00:00+05:30,144.33,145.55,110.16,128.4,184827756,0
2007-07-01 00:00:00+05:30,128.27,159.02,127.64,134.0,175994417,0
2007-08-01 00:00:00+05:30,133.92,136.22,117.45,134.45,186880451,0
2007-09-01 00:00:00+05:30,134.88,157.49,130.47,148.85,115554291,0
2007-10-01 00:00:00+05:30,154.61,161.3,141.97,145.2,173369270,0
2007-11-01 00:00:00+05:30,147.52,147.89,128.96,140.33,100408396,0
2007-12-01 00:00:00+05:30,141.01,150.94,130.51,142.14,89783410,0
2008-01-01 00:00:00+05:30,142.16,157.89,101.64,134.01,157867578,0
2008-02-01 00:00:00+05:30,135.65,150.94,131.24,134.18,82848230,0
2008-03-01 00:00:00+05:30,134.18,136.4,114.38,119.3,112154949,0
2008-04-01 00:00:00+05:30,119.74,128.17,115.4,127.31,74160076,0
2008-05-01 00:00:00+05:30,128.0,134.11,109.61,110.3,86028198,0
2008-06-01 00:00:00+05:30,111.12,114.76,77.61,81.63,93343855,0
2008-07-01 00:00:00+05:30,81.23,86.54,71.56,77.31,78828504,0
2008-08-01 00:00:00+05:30,77.02,87.56,74.58,84.38,81576572,0
2008-09-01 00:00:00+05:30,83.34,86.27,67.14,68.05,111382178,0
2008-10-01 00:00:00+05:30,68.27,70.97,25.92,33.55,166738701,0
