time,open,high,low,close,volume,open_interest
2004-08-01 00:00:00+05:30,5.55,7.72,5.47,7.35,164021978,0
2004-09-01 00:00:00+05:30,7.33,7.42,6.75,7.07,55809138,0
2004-10-01 00:00:00+05:30,7.14,8.88,6.98,8.52,118314981,0
2004-11-01 00:00:00+05:30,8.6,9.41,8.19,8.73,93337060,0
2004-12-01 00:00:00+05:30,8.82,9.54,8.25,9.36,64360297,0
2005-01-01 00:00:00+05:30,9.4,9.94,7.8,8.93,50224821,0
2005-02-01 00:00:00+05:30,9.15,11.97,8.62,10.38,238567560,0
2005-03-01 00:00:00+05:30,10.35,13.79,10.1,11.59,312832498,0
2005-04-01 00:00:00+05:30,11.68,13.94,10.87,12.19,282660160,0
2005-05-01 00:00:00+05:30,12.35,15.49,11.61,15.06,422710998,0
2005-06-01 00:00:00+05:30,15.1,19.3,15.05,18.95,427482997,0
2005-07-01 00:00:00+05:30,19.12,28.6,18.88,24.39,1004767640,0
2005-08-01 00:00:00+05:30,24.45,27.41,22.25,24.78,539250538,0
2005-09-01 00:00:00+05:30,21.28,27.25,21.28,24.47,309944219,0
2005-10-01 00:00:00+05:30,24.55,26.3,19.56,24.84,384902700,0
2005-11-01 00:00:00+05:30,25.0,34.67,24.63,33.05,1322552301,0
2005-12-01 00:00:00+05:30,33.25,43.14,33.03,41.13,1483339678,0
2006-01-01 00:00:00+05:30,41.25,42.76,34.45,36.1,640021480,0
2006-02-01 00:00:00+05:30,36.35,42.09,33.25,39.39,731184221,0
2006-03-01 00:00:00+05:30,39.5,44.75,37.56,41.82,483648378,0
2006-04-01 00:00:00+05:30,42.4,43.56,34.72,37.34,227350043,0
2006-05-01 00:00:00+05:30,40.25,41.37,22.5,34.84,283489498,0
2006-06-01 00:00:00+05:30,34.75,35.6,24.3,29.74,366016598,0
2006-07-01 00:00:00+05:30,29.88,32.74,26.65,30.09,238408499,0
2006-08-01 00:00:00+05:30,30.05,40.42,29.6,39.17,369506818,0
2006-09-01 00:00:00+05:30,39.45,42.5,37.62,40.34,190116299,0
2006-10-01 00:00:00+05:30,40.52,42.49,37.89,38.32,110019641,0
2006-11-01 00:00:00+05:30,39.0,40.4,35.85,37.98,108370958,0
2006-12-01 00:00:00+05:30,38.5,43.48,32.86,43.0,151793340,0
2007-01-01 00:00:00+05:30,43.25,48.47,41.67,47.94,204769720,0
2007-02-01 00:00:00+05:30,48.05,52.69,39.85,41.37,145213161,0
2007-03-01 00:00:00+05:30,41.4,45.8,37.83,42.14,143078419,0
2007-04-01 00:00:00+05:30,42.03,52.15,40.41,49.62,143347300,0
2007-05-01 00:00:00+05:30,51.19,56.99,48.14,56.25,89547159,0
2007-06-01 00:00:00+05:30,56.95,68.2,49.52,67.08,137105499,0
2007-07-01 00:00:00+05:30,67.25,68.75,54.15,57.64,131523958,0
2007-08-01 00:00:00+05:30,57.05,63.24,51.4,62.08,107078238,0
2007-09-01 00:00:00+05:30,62.59,77.0,62.02,73.44,83019740,0
2007-10-01 00:00:00+05:30,74.75,89.5,70.0,86.19,57078578,0
2007-11-01 00:00:00+05:30,87.9,88.44,67.56,76.71,36167358,0
2007-12-01 00:00:00+05:30,76.75,81.5,67.8,78.12,43035081,0
2008-01-01 00:00:00+05:30,78.75,86.72,34.6,56.85,41723237,0
2008-02-01 00:00:00+05:30,58.25,65.25,48.35,54.98,32525379,0
2008-03-01 00:00:00+05:30,53.35,56.9,44.55,52.85,43650342,0
2008-04-01 00:00:00+05:30,54.05,67.25,48.3,62.12,44401260,0
2008-05-01 00:00:00+05:30,62.1,66.14,52.5,58.97,88669680,0
2008-06-01 00:00:00+05:30,59.75,60.74,49.05,49.62,44561199,0
2008-07-01 00:00:00+05:30,50.0,59.94,47.2,56.33,23744137,0
2008-08-01 00:00:00+05:30,56.95,65.8,55.56,63.53,32913060,0
2008-09-01 00:00:00+05:30,63.4,64.92,51.63,55.58,29994759,0
2008-10-01 00:00:00+05:30,56.0,57.44,35.25,50.41,58929340,0
2008-11-01 00:00:00+05:30,51.5,53.25,40.0,46.76,33292202,0
2008-12-01 00:00:00+05:30,47.0,51.0,40.27,46.31,63627419,0
2009-01-01 00:00:00+05:30,46.4,48.95,41.83,45.92,39289760,0
2009-02-01 00:00:00+05:30,44.49,45.45,37.15,37.67,63666781,0
2009-03-01 00:00:00+05:30,36.25,42.0,33.33,39.09,61609820,0
2009-04-01 00:00:00+05:30,39.0,46.9,36.0,37.34,75185703,0
2009-05-01 00:00:00+05:30,38.75,56.44,37.8,53.65,60049860,0
2009-06-01 00:00:00+05:30,54.25,63.98,53.6,58.69,26951278,0
2009-07-01 00:00:00+05:30,59.5,68.6,53.55,61.2,21519117,0
2009-08-01 00:00:00+05:30,61.31,64.4,56.01,61.48,23962239,0
2009-09-01 00:00:00+05:30,61.4,67.5,60.25,62.55,14361100,0
2009-10-01 00:00:00+05:30,62.6,74.42,60.5,62.8,35531961,0
2009-11-01 00:00:00+05:30,62.45,71.89,62.08,66.92,15009960,0
2009-12-01 00:00:00+05:30,67.25,79.0,63.11,71.17,16692319,0
2010-01-01 00:00:00+05:30,71.25,79.0,70.36,75.05,19377021,0
2010-02-01 00:00:00+05:30,76.25,92.68,76.24,87.31,54674461,0
2010-03-01 00:00:00+05:30,88.4,95.1,88.0,92.03,31139119,0
2010-04-01 00:00:00+05:30,92.0,107.9,91.9,106.46,33824660,0
2010-05-01 00:00:00+05:30,107.25,116.9,104.8,111.1,36255499,0
2010-06-01 00:00:00+05:30,110.8,119.25,108.25,118.51,20547378,0
2010-07-01 00:00:00+05:30,118.0,144.4,115.08,140.29,48944498,0
2010-08-01 00:00:00+05:30,140.06,153.94,137.1,146.58,67374118,0
2010-09-01 00:00:00+05:30,147.8,171.0,146.6,163.7,75031019,0
2010-10-01 00:00:00+05:30,164.55,181.99,158.15,177.61,66218839,0
2010-11-01 00:00:00+05:30,178.85,212.1,169.64,184.65,151650319,0
2010-12-01 00:00:00+05:30,185.0,193.31,160.5,179.75,120773497,0
2011-01-01 00:00:00+05:30,180.85,187.4,163.31,180.06,136229780,0
2011-02-01 00:00:00+05:30,180.55,183.12,147.15,166.39,172120900,0
2011-03-01 00:00:00+05:30,167.5,197.54,140.0,190.57,113525338,0
2011-04-01 00:00:00+05:30,190.05,209.95,187.51,201.48,114926682,0
2011-05-01 00:00:00+05:30,222.45,223.75,185.91,220.4,157167338,0
2011-06-01 00:00:00+05:30,219.0,237.75,205.0,214.3,199307271,0
2011-07-01 00:00:00+05:30,215.3,236.6,211.2,228.25,76299386,0
2011-08-01 00:00:00+05:30,228.5,230.9,192.0,205.7,59586409,0
2011-09-01 00:00:00+05:30,206.3,237.45,200.4,208.95,83016578,0
2011-10-01 00:00:00+05:30,206.0,227.8,193.55,217.3,66159631,0
2011-11-01 00:00:00+05:30,214.1,224.3,174.55,177.65,75578397,0
2011-12-01 00:00:00+05:30,183.0,192.8,154.2,171.0,109854402,0
2012-01-01 00:00:00+05:30,171.6,209.5,170.1,203.0,72703180,0
2012-02-01 00:00:00+05:30,208.0,255.0,192.1,228.4,83929994,0
2012-03-01 00:00:00+05:30,227.25,252.5,215.3,228.55,59054207,0
2012-04-01 00:00:00+05:30,235.3,265.0,228.05,233.0,46049128,0
2012-05-01 00:00:00+05:30,236.0,253.7,217.15,222.7,57926074,0
2012-06-01 00:00:00+05:30,221.0,226.4,204.15,223.4,57490446,0
2012-07-01 00:00:00+05:30,225.0,239.25,214.95,221.95,42029189,0
2012-08-01 00:00:00+05:30,219.5,231.0,214.75,220.35,34107226,0
2012-09-01 00:00:00+05:30,220.15,262.7,219.55,261.15,27164971,0
2012-10-01 00:00:00+05:30,263.0,282.5,256.1,259.3,27780086,0
2012-11-01 00:00:00+05:30,259.8,313.35,259.8,311.7,37876969,0
2012-12-01 00:00:00+05:30,296.5,313.15,278.0,284.35,27865610,0
2013-01-01 00:00:00+05:30,285.0,290.65,262.5,279.35,40914614,0
2013-02-01 00:00:00+05:30,281.0,290.0,248.35,260.9,41398794,0
2013-03-01 00:00:00+05:30,264.85,277.0,225.0,256.4,64519925,0
2013-04-01 00:00:00+05:30,252.5,279.8,232.8,270.7,51430404,0
2013-05-01 00:00:00+05:30,268.0,302.0,264.2,293.55,33490573,0
2013-06-01 00:00:00+05:30,293.0,295.7,201.0,223.5,117483659,0
2013-07-01 00:00:00+05:30,225.0,276.65,218.6,263.4,69151343,0
2013-08-01 00:00:00+05:30,266.0,288.9,205.4,224.65,65137112,0
2013-09-01 00:00:00+05:30,228.15,249.0,211.0,232.1,43584722,0
2013-10-01 00:00:00+05:30,235.0,272.0,230.15,267.2,37071230,0
2013-11-01 00:00:00+05:30,258.5,265.0,221.3,229.05,35787580,0
2013-12-01 00:00:00+05:30,229.4,237.5,218.2,229.5,24531506,0
2014-01-01 00:00:00+05:30,230.0,235.95,202.45,221.55,27300483,0
2014-02-01 00:00:00+05:30,220.15,247.3,217.1,242.5,22098992,0
2014-03-01 00:00:00+05:30,242.5,268.35,239.5,262.7,26630448,0
2014-04-01 00:00:00+05:30,266.45,274.3,251.5,254.85,16224714,0
2014-05-01 00:00:00+05:30,258.0,353.1,255.0,310.0,41860699,0
2014-06-01 00:00:00+05:30,307.1,360.8,302.75,353.05,35722380,0
2014-07-01 00:00:00+05:30,352.9,362.7,318.1,341.05,19435310,0
2014-08-01 00:00:00+05:30,340.0,370.4,321.0,363.4,16754712,0
2014-09-01 00:00:00+05:30,365.1,409.95,363.25,407.95,22268604,0
2014-10-01 00:00:00+05:30,410.0,425.0,365.2,393.5,19599845,0
2014-11-01 00:00:00+05:30,394.9,395.75,353.5,370.85,19918053,0
2014-12-01 00:00:00+05:30,400.5,400.5,345.0,381.65,17856128,0
2015-01-01 00:00:00+05:30,381.3,444.0,368.75,430.6,24464619,0
2015-02-01 00:00:00+05:30,430.0,448.4,409.1,435.35,20568019,0
2015-03-01 00:00:00+05:30,420.7,424.7,385.0,391.6,13200146,0
2015-04-01 00:00:00+05:30,391.4,422.6,379.95,382.8,16375750,0
2015-05-01 00:00:00+05:30,384.8,394.25,334.35,378.3,19792628,0
2015-06-01 00:00:00+05:30,375.1,379.6,337.5,366.3,13259198,0
2015-07-01 00:00:00+05:30,365.0,366.95,320.35,323.64,18605482,0
2015-08-01 00:00:00+05:30,323.0,353.1,314.5,337.8,22346735,0
2015-09-01 00:00:00+05:30,335.75,339.3,311.2,317.85,12614187,0
2015-10-01 00:00:00+05:30,314.0,357.95,302.75,349.95,13526587,0
2015-11-01 00:00:00+05:30,335.0,392.4,329.35,381.8,17362013,0
2015-12-01 00:00:00+05:30,382.15,383.95,339.8,347.15,24906130,0
2015-12-01 09:15:00+05:30,350.2,354.85,339.8,347.15,4706175,0
2016-01-01 09:15:00+05:30,347.15,366.7,326.95,363.7,24028653,0
2016-02-01 09:15:00+05:30,364.5,376.0,301.7,316.8,26554981,0
2016-03-01 09:15:00+05:30,312.5,361.0,310.0,339.1,28410643,0
2016-04-01 09:15:00+05:30,339.0,384.6,333.8,355.9,22028996,0
2016-05-01 09:15:00+05:30,357.7,384.85,353.2,360.5,62677943,0
2016-06-01 09:15:00+05:30,359.0,410.15,351.7,406.25,24681258,0
2016-07-01 09:15:00+05:30,413.8,435.0,391.5,421.4,15984734,0
2016-08-01 09:15:00+05:30,423.1,429.0,392.0,418.5,24085222,0
2016-09-01 09:15:00+05:30,419.0,444.5,383.2,395.1,20844563,0
2016-10-01 09:15:00+05:30,398.0,408.9,361.1,373.55,28198624,0
2016-11-01 09:15:00+05:30,379.5,384.3,296.15,323.5,56028081,0
2016-12-01 09:15:00+05:30,323.0,335.5,307.1,326.8,27208630,0
2017-01-01 09:15:00+05:30,328.95,378.45,325.5,362.05,21853573,0
2017-01-01 09:56:00+05:30,363.5,365.45,359.1,360.75,1059399,0
2017-02-01 09:15:00+05:30,363.75,458.5,359.0,437.2,40796493,0
2017-03-01 09:15:00+05:30,438.1,470.6,428.0,462.75,22557729,0
2017-04-01 09:15:00+05:30,459.5,495.55,455.8,470.25,24211295,0
2017-05-01 09:15:00+05:30,471.45,506.15,460.1,474.9,33195773,0
2017-06-01 09:15:00+05:30,475.95,569.2,465.3,524.45,68634406,0
2017-07-01 09:15:00+05:30,536.05,546.95,523.2,544.25,23028634,0
2017-08-01 09:15:00+05:30,546.5,638.3,538.1,617.1,51793689,0
2017-09-01 09:15:00+05:30,618.9,654.2,563.65,584.55,30295413,0
2017-10-01 09:15:00+05:30,588.0,639.5,582.1,635.25,23947738,0
2017-11-01 09:15:00+05:30,640.0,838.9,634.5,818.9,76087328,0
2017-12-01 09:15:00+05:30,821.0,872.0,770.0,858.15,35759926,0
2018-01-01 09:15:00+05:30,857.7,938.5,840.6,869.55,42978877,0
2018-02-01 09:15:00+05:30,877.5,879.1,752.7,816.15,54522250,0
2018-03-01 09:15:00+05:30,814.0,964.0,799.05,942.3,52105184,0
2018-04-01 09:15:00+05:30,943.1,999.7,902.0,981.8,56361140,0
2018-05-01 09:15:00+05:30,981.95,995.6,890.15,900.1,52312595,0
2018-06-01 09:15:00+05:30,907.5,926.8,826.05,878.5,52328686,0
2018-07-01 09:15:00+05:30,883.1,914.0,799.65,912.35,64916086,0
2018-07-01 09:51:00+05:30,859.0,866.0,845.2,858.75,1334621,0
2018-08-01 09:15:00+05:30,915.0,945.0,871.55,891.9,55627415,0
2018-09-01 09:15:00+05:30,896.85,928.4,773.35,805.6,69166779,0
2018-10-01 09:15:00+05:30,800.0,847.9,732.3,844.6,75644140,0
2018-11-01 09:15:00+05:30,844.6,933.9,834.4,927.1,59531050,0
2018-12-01 00:00:00+05:30,932.55,961.25,868.2,931.0,58491929,0
2019-01-01 00:00:00+05:30,931.75,1000.0,920.2,995.8,45082287,0
2019-02-01 00:00:00+05:30,1003.0,1076.85,985.1,1025.2,53688856,0
2019-03-01 00:00:00+05:30,1031.9,1152.0,1016.2,1141.85,42365805,0
2019-04-01 00:00:00+05:30,1140.0,1165.0,1083.5,1158.55,33903652,0
2019-05-01 00:00:00+05:30,1159.0,1262.8,1067.85,1235.75,53743581,0
2019-06-01 00:00:00+05:30,1239.0,1337.05,1227.5,1334.7,31882139,0
2019-07-01 00:00:00+05:30,1330.1,1340.9,1041.0,1056.35,81957467,0
2019-08-01 00:00:00+05:30,1052.1,1131.5,998.0,1105.1,49979264,0
2019-09-01 00:00:00+05:30,1098.0,1345.0,1025.5,1273.05,51483228,0
2019-10-01 00:00:00+05:30,1282.0,1389.95,1177.05,1331.2,41587285,0
