time,open,high,low,close,volume,open_interest
2004-08-01 00:00:00+05:30,54.32,57.98,52.23,57.34,212896952,0
2004-09-01 00:00:00+05:30,57.19,60.64,53.23,59.15,130516428,0
2004-10-01 00:00:00+05:30,59.47,72.16,58.78,65.17,130419890,0
2004-11-01 00:00:00+05:30,65.41,76.32,64.28,75.96,92923580,0
2004-12-01 00:00:00+05:30,75.92,76.8,72.65,74.22,92705206,0
2005-01-01 00:00:00+05:30,74.83,75.32,60.5,69.91,105007898,0
2005-02-01 00:00:00+05:30,70.37,72.16,65.6,69.33,73415250,0
2005-03-01 00:00:00+05:30,69.38,72.84,61.86,66.5,79600214,0
2005-04-01 00:00:00+05:30,66.8,68.98,56.5,62.52,108668956,0
2005-05-01 00:00:00+05:30,63.33,72.75,53.92,70.94,71504114,0
2005-06-01 00:00:00+05:30,71.07,76.91,67.65,75.95,98869598,0
2005-07-01 00:00:00+05:30,74.34,75.82,68.43,72.98,75359558,0
2005-08-01 00:00:00+05:30,72.35,75.43,69.42,72.29,64658488,0
2005-09-01 00:00:00+05:30,73.14,76.31,69.58,73.63,75120668,0
2005-10-01 00:00:00+05:30,74.38,82.03,70.37,72.27,85917326,0
2005-11-01 00:00:00+05:30,73.14,89.2,70.86,83.9,75162936,0
2005-12-01 00:00:00+05:30,84.21,93.17,76.32,91.85,94240526,0
2006-01-01 00:00:00+05:30,91.58,108.63,76.32,105.0,80828714,0
2006-02-01 00:00:00+05:30,105.06,108.11,96.78,103.17,74395388,0
2006-03-01 00:00:00+05:30,103.08,116.14,95.87,110.95,81890912,0
2006-04-01 00:00:00+05:30,112.0,118.74,91.38,106.47,82691362,0
2006-05-01 00:00:00+05:30,106.33,110.05,79.29,89.14,82699042,0
2006-06-01 00:00:00+05:30,89.6,102.88,75.57,101.76,96022574,0
2006-07-01 00:00:00+05:30,102.56,102.88,87.68,97.29,117368580,0
2006-08-01 00:00:00+05:30,97.13,105.78,95.98,102.81,73707010,0
2006-09-01 00:00:00+05:30,102.88,105.04,96.93,104.05,54148080,0
2006-10-01 00:00:00+05:30,104.05,117.89,100.13,106.71,78070274,0
2006-11-01 00:00:00+05:30,107.24,132.81,89.11,118.92,66166006,0
2006-12-01 00:00:00+05:30,119.92,121.69,103.41,120.11,58180560,0
2007-01-01 00:00:00+05:30,119.53,133.8,111.27,121.56,58927482,0
2007-02-01 00:00:00+05:30,123.85,136.98,108.98,111.48,55507958,0
2007-03-01 00:00:00+05:30,114.52,120.82,104.5,110.89,79109656,0
2007-04-01 00:00:00+05:30,110.92,119.89,102.09,113.31,83717266,0
2007-05-01 00:00:00+05:30,114.38,125.87,103.89,107.77,76435684,0
2007-06-01 00:00:00+05:30,108.71,124.35,100.11,102.77,56752530,0
2007-07-01 00:00:00+05:30,102.09,105.46,96.38,98.59,67675232,0
2007-08-01 00:00:00+05:30,97.35,101.08,86.23,95.62,77861010,0
2007-09-01 00:00:00+05:30,96.34,96.69,84.25,91.23,71670776,0
2007-10-01 00:00:00+05:30,91.58,102.36,88.32,100.53,97963460,0
2007-11-01 00:00:00+05:30,101.08,101.69,84.47,91.32,46878942,0
2007-12-01 00:00:00+05:30,92.17,109.42,89.2,104.2,51595148,0
2008-01-01 00:00:00+05:30,104.87,104.87,64.23,83.8,63763348,0
2008-02-01 00:00:00+05:30,85.25,93.96,74.34,86.63,41088678,0
2008-03-01 00:00:00+05:30,85.21,91.08,68.98,85.65,54374282,0
2008-04-01 00:00:00+05:30,85.24,97.62,79.51,96.88,76026362,0
2008-05-01 00:00:00+05:30,97.13,103.08,93.2,100.95,92540786,0
2008-06-01 00:00:00+05:30,100.95,106.05,85.44,87.21,56983218,0
2008-07-01 00:00:00+05:30,86.83,89.01,65.88,82.35,90134486,0
2008-08-01 00:00:00+05:30,81.27,92.17,80.68,85.71,52183918,0
2008-09-01 00:00:00+05:30,85.24,90.79,63.45,67.38,94095164,0
2008-10-01 00:00:00+05:30,63.75,72.23,35.76,54.05,134133304,0
2008-11-01 00:00:00+05:30,56.3,56.69,40.99,48.1,113339906,0
2008-12-01 00:00:00+05:30,46.69,52.53,42.42,46.27,107382538,0
2009-01-01 00:00:00+05:30,46.27,50.55,39.84,45.9,165900582,0
2009-02-01 00:00:00+05:30,45.4,45.99,40.45,41.14,68446990,0
2009-03-01 00:00:00+05:30,40.54,52.29,38.95,48.74,89751296,0
2009-04-01 00:00:00+05:30,48.77,66.1,47.6,65.59,125081194,0
2009-05-01 00:00:00+05:30,65.46,91.17,65.46,75.77,130981772,0
2009-06-01 00:00:00+05:30,76.34,90.2,72.71,74.92,118477210,0
2009-07-01 00:00:00+05:30,74.93,98.32,72.45,97.16,114530178,0
2009-08-01 00:00:00+05:30,98.11,114.12,94.53,109.02,86843936,0
2009-09-01 00:00:00+05:30,109.23,120.11,106.67,119.35,79621974,0
2009-10-01 00:00:00+05:30,119.73,126.74,108.63,120.11,97067292,0
2009-11-01 00:00:00+05:30,119.53,131.76,114.0,124.69,73167472,0
2009-12-01 00:00:00+05:30,125.13,138.74,124.88,134.8,85432748,0
2010-01-01 00:00:00+05:30,135.78,149.83,125.18,128.44,112111190,0
2010-02-01 00:00:00+05:30,127.61,137.57,124.91,134.3,53125168,0
2010-03-01 00:00:00+05:30,133.8,148.67,133.8,140.14,61384568,0
2010-04-01 00:00:00+05:30,140.94,145.58,132.81,133.11,73766170,0
2010-05-01 00:00:00+05:30,132.59,137.31,124.17,132.74,66101812,0
2010-06-01 00:00:00+05:30,133.59,139.55,123.26,127.03,59242502,0
2010-07-01 00:00:00+05:30,126.86,142.21,122.93,136.21,55465330,0
2010-08-01 00:00:00+05:30,137.11,145.23,129.86,132.23,45973808,0
2010-09-01 00:00:00+05:30,132.23,150.12,131.57,148.49,59595692,0
2010-10-01 00:00:00+05:30,148.01,165.19,137.11,138.68,79509356,0
2010-11-01 00:00:00+05:30,141.4,145.99,131.32,138.62,45744918,0
2010-12-01 00:00:00+05:30,139.09,163.95,136.17,162.29,80695504,0
2011-01-01 00:00:00+05:30,164.13,164.13,140.28,144.74,71571926,0
2011-02-01 00:00:00+05:30,144.9,151.97,134.63,144.77,59448292,0
2011-03-01 00:00:00+05:30,145.37,160.14,142.53,158.65,52214530,0
2011-04-01 00:00:00+05:30,157.59,161.89,145.2,148.77,52406086,0
2011-05-01 00:00:00+05:30,148.67,149.95,141.4,147.48,35628778,0
2011-06-01 00:00:00+05:30,147.05,148.97,126.02,137.96,40533424,0
2011-07-01 00:00:00+05:30,140.02,143.71,115.63,128.62,51451482,0
2011-08-01 00:00:00+05:30,129.35,131.23,102.58,110.76,64316022,0
2011-09-01 00:00:00+05:30,114.02,118.92,103.18,112.59,72904822,0
2011-10-01 00:00:00+05:30,110.68,128.85,106.91,121.11,49506342,0
2011-11-01 00:00:00+05:30,121.5,128.66,118.95,124.62,69736288,0
2011-12-01 00:00:00+05:30,126.86,139.05,125.23,131.72,82260180,0
2012-01-01 00:00:00+05:30,131.82,140.41,126.37,136.74,60526040,0
2012-02-01 00:00:00+05:30,136.44,149.66,135.45,142.83,50327300,0
2012-03-01 00:00:00+05:30,143.05,148.02,137.52,145.4,56194484,0
2012-04-01 00:00:00+05:30,144.57,149.23,131.65,133.82,65202280,0
2012-05-01 00:00:00+05:30,134.2,138.92,125.11,135.45,48710802,0
2012-06-01 00:00:00+05:30,133.6,137.08,127.86,132.12,42090156,0
2012-07-01 00:00:00+05:30,132.55,133.64,107.47,112.35,82629616,0
2012-08-01 00:00:00+05:30,112.39,123.07,110.89,119.8,44558800,0
2012-09-01 00:00:00+05:30,119.89,130.81,118.17,125.89,50724890,0
2012-10-01 00:00:00+05:30,125.21,127.94,105.89,115.85,72248202,0
2012-11-01 00:00:00+05:30,114.97,130.83,97.46,129.92,63737200,0
2012-12-01 00:00:00+05:30,129.87,132.14,121.05,130.33,44784508,0
2013-01-01 00:00:00+05:30,130.84,145.23,129.23,135.96,91422692,0
2013-02-01 00:00:00+05:30,135.45,140.68,127.23,137.57,55082946,0
2013-03-01 00:00:00+05:30,138.76,150.65,138.14,144.42,58817818,0
2013-04-01 00:00:00+05:30,144.47,157.14,123.01,130.96,105592120,0
