time,open,high,low,close,volume,open_interest
2004-07-25 00:00:00+05:30,361.0,377.5,34.0,34.9,2530248,0
2004-08-01 00:00:00+05:30,35.5,35.5,33.25,33.6,4428856,0
2004-08-08 00:00:00+05:30,34.0,35.75,30.75,31.35,5399066,0
2004-08-15 00:00:00+05:30,31.85,31.95,30.75,31.1,4637902,0
2004-08-22 00:00:00+05:30,32.5,32.5,30.25,30.85,3990328,0
2004-08-29 00:00:00+05:30,31.9,33.5,30.6,30.9,5076638,0
2004-09-05 00:00:00+05:30,31.15,31.6,30.55,30.9,3755872,0
2004-09-12 00:00:00+05:30,31.5,33.5,30.05,30.4,4213436,0
2004-09-19 00:00:00+05:30,31.5,31.5,29.6,30.15,5067782,0
2004-09-26 00:00:00+05:30,30.45,31.0,30.0,30.5,4843558,0
2004-10-03 00:00:00+05:30,30.85,31.0,30.25,30.6,5629884,0
2004-10-10 00:00:00+05:30,31.2,31.2,27.55,30.5,3648524,0
2004-10-17 00:00:00+05:30,30.0,30.75,30.0,30.35,3978842,0
2004-10-24 00:00:00+05:30,30.5,30.85,29.7,30.35,4619310,0
2004-10-31 00:00:00+05:30,31.0,33.95,29.05,30.35,4623404,0
2004-11-07 00:00:00+05:30,30.6,31.3,30.0,30.7,4663708,0
2004-11-14 00:00:00+05:30,31.3,31.45,29.55,30.3,3144292,0
2004-11-21 00:00:00+05:30,30.05,32.0,29.75,30.05,3720714,0
2004-11-28 00:00:00+05:30,30.7,42.7,30.0,41.25,11461702,0
2004-12-05 00:00:00+05:30,41.9,42.5,36.5,36.75,7170274,0
2004-12-12 00:00:00+05:30,37.25,39.75,36.75,37.25,6226146,0
2004-12-19 00:00:00+05:30,37.0,41.4,36.0,37.8,5385800,0
2004-12-26 00:00:00+05:30,38.5,40.75,37.65,38.45,6076580,0
2005-01-02 00:00:00+05:30,38.9,39.5,35.0,36.85,4667488,0
2005-01-09 00:00:00+05:30,37.0,38.35,35.0,36.3,4782348,0
2005-01-16 00:00:00+05:30,36.65,36.65,35.3,35.6,3122952,0
2005-01-23 00:00:00+05:30,35.5,38.1,35.25,37.5,3651768,0
2005-01-30 00:00:00+05:30,38.1,39.45,36.8,38.1,4733310,0
2005-02-06 00:00:00+05:30,38.1,40.95,37.0,38.8,4867918,0
2005-02-13 00:00:00+05:30,39.4,39.8,35.05,37.7,4523764,0
2005-02-20 00:00:00+05:30,36.7,40.0,36.7,37.55,4653734,0
2005-02-27 00:00:00+05:30,38.1,39.0,37.1,37.7,5019438,0
2005-03-06 00:00:00+05:30,39.0,39.0,36.25,36.6,5079272,0
2005-03-13 00:00:00+05:30,36.85,39.65,35.0,35.4,5064950,0
2005-03-20 00:00:00+05:30,35.9,36.5,30.75,31.0,3881080,0
2005-03-27 00:00:00+05:30,32.35,34.5,29.25,30.05,4631946,0
2005-04-03 00:00:00+05:30,30.45,33.0,27.0,32.35,5177054,0
2005-04-10 00:00:00+05:30,32.35,32.55,30.45,30.55,3835348,0
2005-04-17 00:00:00+05:30,29.5,31.05,29.5,29.9,4789244,0
2005-04-24 00:00:00+05:30,30.25,31.75,29.55,29.7,4526176,0
2005-05-01 00:00:00+05:30,29.6,30.95,29.5,30.3,4702716,0
2005-05-08 00:00:00+05:30,30.5,32.25,30.25,31.65,4945456,0
2005-05-15 00:00:00+05:30,32.05,34.0,31.05,32.75,5590154,0
2005-05-22 00:00:00+05:30,32.85,33.6,31.9,32.45,4582666,0
2005-05-29 00:00:00+05:30,32.75,33.0,31.6,31.8,5035678,0
2005-06-05 00:00:00+05:30,32.5,33.75,31.75,33.1,4758558,0
2005-06-12 00:00:00+05:30,33.25,33.35,31.05,31.15,4479832,0
2005-06-19 00:00:00+05:30,31.8,33.0,31.5,32.2,5495298,0
2005-06-26 00:00:00+05:30,32.45,32.5,30.9,31.15,4502728,0
2005-07-03 00:00:00+05:30,31.55,32.75,31.0,32.05,4750708,0
2005-07-10 00:00:00+05:30,32.5,33.9,31.75,33.2,4968828,0
2005-07-17 00:00:00+05:30,33.25,33.95,32.5,32.75,4584258,0
2005-07-24 00:00:00+05:30,33.05,33.3,31.05,32.2,3792156,0
2005-07-31 00:00:00+05:30,32.1,33.0,31.5,32.45,5090396,0
2005-08-07 00:00:00+05:30,32.65,32.95,31.8,32.35,4451454,0
2005-08-14 00:00:00+05:30,32.25,32.85,32.05,32.2,4110350,0
2005-08-21 00:00:00+05:30,32.25,33.25,31.0,31.75,5060746,0
2005-08-28 00:00:00+05:30,31.5,37.35,31.2,34.05,6929458,0
2005-09-04 00:00:00+05:30,34.25,35.9,33.65,33.7,4683368,0
2005-09-11 00:00:00+05:30,33.75,34.0,32.5,33.5,5313280,0
2005-09-18 00:00:00+05:30,33.75,35.95,30.8,31.45,5355356,0
2005-09-25 00:00:00+05:30,31.6,32.75,31.1,31.5,4422450,0
2005-10-02 00:00:00+05:30,32.2,34.2,31.5,32.35,5044090,0
2005-10-09 00:00:00+05:30,32.75,32.75,30.8,31.05,3510888,0
2005-10-16 00:00:00+05:30,31.25,31.25,28.65,29.5,4384776,0
2005-10-23 00:00:00+05:30,29.5,30.25,28.35,28.6,4518906,0
2005-10-30 00:00:00+05:30,28.0,30.0,28.0,29.7,2169722,0
2005-11-06 00:00:00+05:30,29.85,31.0,29.55,30.05,4211912,0
2005-11-13 00:00:00+05:30,31.2,33.15,30.0,32.05,3990032,0
2005-11-20 00:00:00+05:30,32.05,32.45,30.9,31.35,4548432,0
2005-11-27 00:00:00+05:30,31.75,32.7,31.05,31.3,4832686,0
2005-12-04 00:00:00+05:30,31.75,32.75,31.5,31.85,4911826,0
2005-12-11 00:00:00+05:30,32.2,32.75,31.0,31.15,4493110,0
2005-12-18 00:00:00+05:30,31.4,32.0,30.25,30.4,4030094,0
2005-12-25 00:00:00+05:30,30.6,30.9,29.2,29.45,4891882,0
2006-01-01 00:00:00+05:30,29.8,30.8,29.6,30.45,4382912,0
