time,open,high,low,close,volume,open_interest
2004-07-25 00:00:00+05:30,30.67,32.2,30.67,31.93,761625,0
2004-08-01 00:00:00+05:30,32.0,33.0,31.51,32.12,972285,0
2004-08-08 00:00:00+05:30,32.0,32.25,31.8,32.07,1133955,0
2004-08-15 00:00:00+05:30,32.09,32.25,31.23,31.3,264555,0
2004-08-22 00:00:00+05:30,31.5,31.64,30.9,31.14,298285,0
2004-08-29 00:00:00+05:30,30.9,31.99,30.8,31.81,589755,0
2004-09-05 00:00:00+05:30,31.95,32.1,31.36,31.58,206685,0
2004-09-12 00:00:00+05:30,31.98,31.98,31.05,31.5,473475,0
2004-09-19 00:00:00+05:30,31.7,31.85,30.8,31.31,740045,0
2004-09-26 00:00:00+05:30,31.32,34.0,31.05,31.71,1155265,0
2004-10-03 00:00:00+05:30,32.47,32.47,30.5,30.62,1621745,0
2004-10-10 00:00:00+05:30,31.29,31.3,29.6,30.18,1609686,0
2004-10-17 00:00:00+05:30,30.49,30.49,29.2,29.63,853516,0
2004-10-24 00:00:00+05:30,29.65,30.19,29.32,29.54,2957215,0
2004-10-31 00:00:00+05:30,29.2,30.9,28.9,29.0,1656535,0
2004-11-07 00:00:00+05:30,29.9,29.9,28.8,29.47,1947685,0
2004-11-14 00:00:00+05:30,29.7,29.74,29.0,29.06,1579236,0
2004-11-21 00:00:00+05:30,29.0,30.0,29.0,29.04,2302136,0
2004-11-28 00:00:00+05:30,29.21,31.17,29.0,30.81,6381375,0
2004-12-05 00:00:00+05:30,31.16,32.99,30.5,32.41,4559625,0
2004-12-12 00:00:00+05:30,32.0,32.8,32.0,32.41,1389365,0
2004-12-19 00:00:00+05:30,32.4,33.5,32.05,32.38,1042575,0
2004-12-26 00:00:00+05:30,32.11,33.28,31.75,32.01,877355,0
2005-01-02 00:00:00+05:30,32.01,32.7,30.25,32.01,1366185,0
2005-01-09 00:00:00+05:30,32.3,32.4,30.7,31.94,842685,0
2005-01-16 00:00:00+05:30,31.43,32.99,31.3,32.35,1511766,0
2005-01-23 00:00:00+05:30,32.5,35.19,32.3,34.81,1499336,0
2005-01-30 00:00:00+05:30,35.4,36.9,33.01,34.52,1183265,0
2005-02-06 00:00:00+05:30,35.88,36.0,34.13,35.88,1337855,0
2005-02-13 00:00:00+05:30,34.5,36.29,34.5,36.09,949325,0
2005-02-20 00:00:00+05:30,36.01,36.3,34.1,35.55,858055,0
2005-02-27 00:00:00+05:30,34.6,36.29,34.6,35.34,659335,0
2005-03-06 00:00:00+05:30,35.34,37.9,35.1,35.72,1154605,0
2005-03-13 00:00:00+05:30,36.3,39.34,35.51,39.17,2187675,0
2005-03-20 00:00:00+05:30,39.4,39.5,39.0,39.12,1064726,0
2005-03-27 00:00:00+05:30,39.1,39.8,38.11,39.34,2213775,0
2005-04-03 00:00:00+05:30,39.8,39.9,39.0,39.54,654265,0
2005-04-10 00:00:00+05:30,39.1,39.3,38.7,38.99,1332276,0
2005-04-17 00:00:00+05:30,39.1,39.5,39.0,39.23,1323325,0
2005-04-24 00:00:00+05:30,39.21,39.49,36.2,37.2,557955,0
2005-05-01 00:00:00+05:30,37.0,38.48,37.0,37.9,469695,0
2005-05-08 00:00:00+05:30,38.5,39.48,37.5,38.48,1226135,0
2005-05-15 00:00:00+05:30,38.98,39.7,38.2,39.02,453855,0
2005-05-22 00:00:00+05:30,39.25,40.6,38.4,39.72,701505,0
2005-05-29 00:00:00+05:30,39.99,39.99,38.4,39.08,441515,0
2005-06-05 00:00:00+05:30,39.0,40.0,38.7,39.27,259965,0
2005-06-12 00:00:00+05:30,39.38,40.0,38.7,39.13,793845,0
2005-06-19 00:00:00+05:30,39.5,41.6,38.49,40.08,1818364,0
2005-06-26 00:00:00+05:30,40.0,41.55,39.75,41.26,910475,0
2005-07-03 00:00:00+05:30,41.9,43.2,41.23,42.98,1859495,0
2005-07-10 00:00:00+05:30,43.5,43.6,41.49,41.83,861265,0
2005-07-17 00:00:00+05:30,42.0,46.8,42.0,45.74,1548015,0
2005-07-24 00:00:00+05:30,45.9,46.3,42.5,45.55,664976,0
2005-07-31 00:00:00+05:30,45.85,46.95,45.51,45.84,5199675,0
2005-08-07 00:00:00+05:30,46.47,47.19,45.62,46.49,1185515,0
2005-08-14 00:00:00+05:30,46.01,47.38,45.1,46.52,300976,0
2005-08-21 00:00:00+05:30,45.85,48.6,45.85,46.8,566085,0
2005-08-28 00:00:00+05:30,47.85,48.75,46.49,47.84,1731295,0
2005-09-04 00:00:00+05:30,48.5,49.5,45.8,49.2,912826,0
2005-09-11 00:00:00+05:30,49.3,50.9,48.15,50.27,1642185,0
2005-09-18 00:00:00+05:30,50.0,51.5,47.49,48.48,2205705,0
2005-09-25 00:00:00+05:30,49.0,52.9,48.5,50.47,3905805,0
2005-10-02 00:00:00+05:30,50.2,53.1,50.2,51.84,1797165,0
2005-10-09 00:00:00+05:30,52.3,52.9,48.9,49.94,4704506,0
2005-10-16 00:00:00+05:30,50.0,53.49,49.01,50.49,7318975,0
2005-10-23 00:00:00+05:30,51.2,54.84,42.55,47.3,711475,0
2005-10-30 00:00:00+05:30,47.3,50.99,45.3,49.7,574237,0
2005-11-06 00:00:00+05:30,50.6,52.0,49.91,50.56,2352375,0
2005-11-13 00:00:00+05:30,52.5,52.5,49.6,50.34,2834576,0
2005-11-20 00:00:00+05:30,50.2,52.5,50.12,52.44,649685,0
2005-11-27 00:00:00+05:30,51.8,55.42,51.8,55.02,2974405,0
2005-12-04 00:00:00+05:30,54.98,54.98,52.63,54.02,2220575,0
2005-12-11 00:00:00+05:30,53.7,55.6,53.5,54.66,5751595,0
2005-12-18 00:00:00+05:30,55.0,56.99,54.7,55.53,4733825,0
2005-12-25 00:00:00+05:30,56.24,58.2,54.13,57.88,906385,0
2006-01-01 00:00:00+05:30,58.39,61.1,57.9,59.06,722675,0
2006-01-08 00:00:00+05:30,59.48,59.8,57.51,58.68,391816,0
2006-01-15 00:00:00+05:30,58.7,59.79,56.7,59.08,1385515,0
2006-01-22 00:00:00+05:30,59.0,62.49,56.7,60.59,1628586,0
2006-01-29 00:00:00+05:30,60.73,67.5,59.8,66.66,1825195,0
2006-02-05 00:00:00+05:30,67.01,80.0,67.01,67.78,1560126,0
2006-02-12 00:00:00+05:30,69.67,69.9,66.3,66.55,812535,0
2006-02-19 00:00:00+05:30,66.5,68.5,65.03,66.47,1019375,0
2006-02-26 00:00:00+05:30,66.5,70.0,61.55,67.98,1823525,0
2006-03-05 00:00:00+05:30,68.1,68.1,63.0,65.89,1124865,0
2006-03-12 00:00:00+05:30,66.5,66.5,65.0,65.98,396146,0
2006-03-19 00:00:00+05:30,64.6,67.8,64.6,66.31,958645,0
2006-03-26 00:00:00+05:30,66.5,67.7,63.0,64.61,1257655,0
2006-04-02 00:00:00+05:30,66.4,66.5,63.4,64.68,2819366,0
2006-04-09 00:00:00+05:30,65.6,66.0,62.0,62.52,480617,0
2006-04-16 00:00:00+05:30,62.26,63.9,61.01,62.51,1444995,0
2006-04-23 00:00:00+05:30,62.5,64.0,59.99,63.61,765225,0
2006-04-30 00:00:00+05:30,64.9,65.09,63.3,64.99,996266,0
2006-05-07 00:00:00+05:30,65.1,69.36,63.1,63.98,5755115,0
2006-05-14 00:00:00+05:30,62.03,64.79,56.01,57.41,608975,0
2006-05-21 00:00:00+05:30,65.0,65.0,51.0,55.12,620795,0
2006-05-28 00:00:00+05:30,56.25,60.4,53.2,59.22,1026565,0
2006-06-04 00:00:00+05:30,59.0,59.0,50.0,55.68,1445145,0
2006-06-11 00:00:00+05:30,54.0,58.0,51.5,56.41,1435855,0
2006-06-18 00:00:00+05:30,52.65,63.7,52.65,57.3,1512125,0
2006-06-25 00:00:00+05:30,57.4,59.98,55.72,59.2,5744555,0
2006-07-02 00:00:00+05:30,59.2,60.0,56.01,58.41,1420865,0
2006-07-09 00:00:00+05:30,58.2,58.5,56.5,57.24,891655,0
2006-07-16 00:00:00+05:30,56.0,60.2,54.14,58.37,2627085,0
2006-07-23 00:00:00+05:30,57.13,60.0,57.0,58.52,1121865,0
