time,open,high,low,close,volume,open_interest
2004-07-25 00:00:00+05:30,24.03,26.09,24.03,25.6,1325495,0
2004-08-01 00:00:00+05:30,25.4,25.96,24.45,25.33,1286130,0
2004-08-08 00:00:00+05:30,25.45,25.92,24.1,24.37,1471560,0
2004-08-15 00:00:00+05:30,24.8,25.1,22.82,23.15,2098030,0
2004-08-22 00:00:00+05:30,22.8,23.8,21.85,22.84,2429350,0
2004-08-29 00:00:00+05:30,23.0,25.96,23.0,25.01,2510590,0
2004-09-05 00:00:00+05:30,25.69,25.69,23.82,23.94,4073180,0
2004-09-12 00:00:00+05:30,24.2,28.08,23.66,26.35,10119160,0
2004-09-19 00:00:00+05:30,26.56,26.95,25.5,25.67,3060990,0
2004-09-26 00:00:00+05:30,26.08,26.54,25.3,26.39,2400785,0
2004-10-03 00:00:00+05:30,26.59,31.98,26.22,31.22,10155805,0
2004-10-10 00:00:00+05:30,32.1,33.11,28.03,30.42,11436106,0
2004-10-17 00:00:00+05:30,30.75,33.8,29.5,30.62,4080566,0
2004-10-24 00:00:00+05:30,31.0,31.6,28.0,30.56,4159460,0
2004-10-31 00:00:00+05:30,30.8,33.0,29.02,30.45,3170935,0
2004-11-07 00:00:00+05:30,31.06,32.0,30.6,30.7,2913315,0
2004-11-14 00:00:00+05:30,31.06,32.78,30.73,31.0,4051151,0
2004-11-21 00:00:00+05:30,30.62,33.0,30.2,32.73,3325316,0
2004-11-28 00:00:00+05:30,33.2,38.98,32.8,35.54,13834075,0
2004-12-05 00:00:00+05:30,37.0,41.88,35.13,36.13,13299740,0
2004-12-12 00:00:00+05:30,36.4,36.4,30.0,33.8,12817745,0
2004-12-19 00:00:00+05:30,33.8,38.52,33.8,36.68,17762645,0
2004-12-26 00:00:00+05:30,36.8,37.7,32.31,37.04,5347370,0
2005-01-02 00:00:00+05:30,37.0,38.4,35.4,38.02,6422785,0
2005-01-09 00:00:00+05:30,38.34,39.0,34.0,37.79,9001740,0
2005-01-16 00:00:00+05:30,38.6,41.6,37.23,38.21,12852251,0
2005-01-23 00:00:00+05:30,38.66,41.93,37.8,41.03,7498226,0
2005-01-30 00:00:00+05:30,41.48,48.0,39.52,45.0,13489855,0
2005-02-06 00:00:00+05:30,45.0,46.8,41.11,46.13,5430385,0
2005-02-13 00:00:00+05:30,46.4,47.3,43.6,44.01,4903325,0
2005-02-20 00:00:00+05:30,46.4,47.17,44.12,45.24,6391790,0
2005-02-27 00:00:00+05:30,45.74,51.3,44.6,46.31,10422765,0
2005-03-06 00:00:00+05:30,48.4,52.8,47.0,52.21,12890615,0
2005-03-13 00:00:00+05:30,52.0,53.95,47.6,48.34,11538515,0
2005-03-20 00:00:00+05:30,48.97,49.14,45.81,46.59,4697421,0
2005-03-27 00:00:00+05:30,46.9,48.35,44.61,47.63,5058070,0
2005-04-03 00:00:00+05:30,47.63,48.8,45.8,45.91,1859085,0
2005-04-10 00:00:00+05:30,46.28,46.28,44.59,45.28,1064626,0
2005-04-17 00:00:00+05:30,44.8,48.84,43.2,47.74,5707560,0
2005-04-24 00:00:00+05:30,47.98,49.99,45.1,46.02,7880750,0
2005-05-01 00:00:00+05:30,46.57,52.6,45.6,47.95,7825780,0
2005-05-08 00:00:00+05:30,48.3,48.45,46.0,46.47,8626455,0
2005-05-15 00:00:00+05:30,46.48,46.48,43.26,44.03,7853465,0
2005-05-22 00:00:00+05:30,44.8,45.36,43.6,44.95,6818540,0
2005-05-29 00:00:00+05:30,45.18,48.3,44.1,46.49,10762230,0
2005-06-05 00:00:00+05:30,46.6,48.4,45.41,46.29,7023760,0
2005-06-12 00:00:00+05:30,45.62,47.36,45.62,47.05,7941125,0
2005-06-19 00:00:00+05:30,47.48,49.58,46.45,48.1,12363534,0
2005-06-26 00:00:00+05:30,48.2,50.37,46.8,49.79,10474560,0
2005-07-03 00:00:00+05:30,49.05,53.05,46.0,52.62,7329170,0
2005-07-10 00:00:00+05:30,53.01,54.69,49.81,50.35,7961320,0
2005-07-17 00:00:00+05:30,50.6,52.3,49.22,49.95,7477195,0
2005-07-24 00:00:00+05:30,50.0,54.4,48.53,52.58,10680386,0
2005-07-31 00:00:00+05:30,52.98,57.0,52.45,53.22,26880805,0
2005-08-07 00:00:00+05:30,53.62,54.08,51.05,52.31,14314115,0
2005-08-14 00:00:00+05:30,52.34,53.0,52.0,52.31,3342736,0
2005-08-21 00:00:00+05:30,53.8,53.8,48.0,49.74,6497650,0
2005-08-28 00:00:00+05:30,49.79,52.18,48.71,51.43,19590170,0
2005-09-04 00:00:00+05:30,51.0,53.78,50.9,53.42,4664756,0
2005-09-11 00:00:00+05:30,53.7,54.89,50.53,53.34,5308465,0
2005-09-18 00:00:00+05:30,53.0,58.49,52.81,53.51,8816635,0
2005-09-25 00:00:00+05:30,57.76,57.95,51.8,53.16,7759020,0
2005-10-02 00:00:00+05:30,53.14,53.6,49.78,51.28,8138660,0
2005-10-09 00:00:00+05:30,51.8,52.56,49.64,51.52,8177851,0
2005-10-16 00:00:00+05:30,52.26,52.96,45.2,46.97,9115710,0
2005-10-23 00:00:00+05:30,47.5,47.95,43.87,45.66,9131170,0
2005-10-30 00:00:00+05:30,44.9,48.4,44.9,47.79,1506847,0
2005-11-06 00:00:00+05:30,48.0,48.84,46.5,48.06,5974180,0
2005-11-13 00:00:00+05:30,48.62,51.74,48.39,50.02,8975991,0
2005-11-20 00:00:00+05:30,50.16,51.98,47.5,51.51,5635805,0
2005-11-27 00:00:00+05:30,51.6,56.8,51.0,56.57,10650045,0
2005-12-04 00:00:00+05:30,56.6,60.0,55.0,57.21,5278935,0
2005-12-11 00:00:00+05:30,57.5,62.18,56.5,57.18,8645585,0
2005-12-18 00:00:00+05:30,58.0,60.8,57.55,60.01,5775115,0
2005-12-25 00:00:00+05:30,60.01,61.4,55.2,57.39,6777005,0
2006-01-01 00:00:00+05:30,58.4,63.1,57.3,62.77,7632045,0
2006-01-08 00:00:00+05:30,63.0,65.15,58.53,63.64,7279901,0
2006-01-15 00:00:00+05:30,63.99,71.0,62.2,67.75,6590815,0
2006-01-22 00:00:00+05:30,67.9,74.98,64.2,66.65,11679626,0
2006-01-29 00:00:00+05:30,66.65,69.0,64.8,65.77,9014405,0
2006-02-05 00:00:00+05:30,66.0,72.4,65.2,68.57,9744181,0
2006-02-12 00:00:00+05:30,68.8,72.8,67.84,68.17,7794665,0
