time,open,high,low,close,volume,open_interest
2008-05-25 00:00:00+05:30,449.0,449.0,269.0,285.85,18614578,0
2008-06-01 00:00:00+05:30,302.75,307.5,266.2,284.4,2006416,0
2008-06-08 00:00:00+05:30,287.5,287.75,250.6,252.95,1283546,0
2008-06-15 00:00:00+05:30,255.0,265.5,241.3,256.05,911424,0
2008-06-22 00:00:00+05:30,250.0,259.95,217.5,226.97,1564790,0
2008-06-29 00:00:00+05:30,227.0,229.97,195.07,210.5,1801508,0
2008-07-06 00:00:00+05:30,212.5,266.0,207.0,249.97,1759872,0
2008-07-13 00:00:00+05:30,257.5,257.5,222.07,232.05,1528804,0
2008-07-20 00:00:00+05:30,237.0,267.0,235.0,254.97,1093150,0
2008-07-27 00:00:00+05:30,250.12,269.5,241.97,258.82,665420,0
2008-08-03 00:00:00+05:30,255.03,287.2,250.5,275.95,1557702,0
2008-08-10 00:00:00+05:30,277.0,288.5,271.12,282.93,401522,0
2008-08-17 00:00:00+05:30,277.43,286.5,253.05,265.93,672016,0
2008-08-24 00:00:00+05:30,285.0,295.12,263.57,294.1,2855402,0
2008-08-31 00:00:00+05:30,292.15,309.0,286.32,303.48,1726858,0
2008-09-07 00:00:00+05:30,306.0,320.95,292.6,316.2,1608180,0
2008-09-14 00:00:00+05:30,303.35,314.75,279.5,303.9,1336288,0
2008-09-21 00:00:00+05:30,303.0,309.48,280.55,295.8,1319526,0
2008-09-28 00:00:00+05:30,295.0,308.5,267.62,288.48,941058,0
2008-10-05 00:00:00+05:30,278.0,300.5,212.5,231.32,988696,0
2008-10-12 00:00:00+05:30,228.5,295.32,225.0,261.82,1393802,0
2008-10-19 00:00:00+05:30,272.0,282.5,228.03,232.45,957526,0
2008-10-26 00:00:00+05:30,227.53,281.5,217.5,272.45,2007438,0
2008-11-02 00:00:00+05:30,275.0,275.0,204.5,205.12,3918828,0
2008-11-09 00:00:00+05:30,208.0,217.25,183.0,185.57,1676162,0
2008-11-16 00:00:00+05:30,185.5,187.5,166.47,169.53,1026874,0
2008-11-23 00:00:00+05:30,175.0,177.0,152.75,160.82,1288954,0
2008-11-30 00:00:00+05:30,162.03,163.57,131.0,157.47,588162,0
2008-12-07 00:00:00+05:30,165.35,208.5,161.15,195.85,1485892,0
2008-12-14 00:00:00+05:30,209.5,220.0,191.15,202.15,1404534,0
2008-12-21 00:00:00+05:30,206.0,210.0,185.0,187.65,490806,0
2008-12-28 00:00:00+05:30,194.5,210.0,180.22,207.9,939850,0
2009-01-04 00:00:00+05:30,205.57,237.85,195.0,213.85,1134942,0
2009-01-11 00:00:00+05:30,205.62,239.95,205.62,230.93,1406966,0
2009-01-18 00:00:00+05:30,240.0,251.62,220.07,228.78,2899922,0
2009-01-25 00:00:00+05:30,225.03,243.97,223.5,237.38,398870,0
2009-02-01 00:00:00+05:30,235.0,246.85,220.57,227.43,271696,0
2009-02-08 00:00:00+05:30,229.5,245.0,223.15,238.1,639506,0
2009-02-15 00:00:00+05:30,237.9,254.5,227.55,249.82,1073230,0
2009-02-22 00:00:00+05:30,242.47,269.5,241.85,267.52,1080064,0
2009-03-01 00:00:00+05:30,262.62,267.5,238.5,243.38,784260,0
2009-03-08 00:00:00+05:30,247.0,270.0,239.03,260.05,735500,0
