time,open,high,low,close,volume,open_interest
2008-05-25 00:00:00+05:30,58.95,69.05,48.25,63.25,200142860,0
2008-06-01 00:00:00+05:30,63.85,68.65,55.65,62.0,96888400,0
2008-06-08 00:00:00+05:30,60.9,67.0,56.25,57.05,33803960,0
2008-06-15 00:00:00+05:30,58.45,61.5,52.25,54.5,16744210,0
2008-06-22 00:00:00+05:30,54.15,62.15,52.75,55.2,12612600,0
2008-06-29 00:00:00+05:30,55.5,56.0,43.8,49.1,8213110,0
2008-07-06 00:00:00+05:30,48.6,54.05,45.85,47.05,8946850,0
2008-07-13 00:00:00+05:30,48.95,48.95,38.1,40.35,9764920,0
2008-07-20 00:00:00+05:30,40.4,47.2,39.55,43.85,9610930,0
2008-07-27 00:00:00+05:30,42.95,44.4,40.1,43.5,1231230,0
2008-08-03 00:00:00+05:30,42.35,52.55,42.35,50.85,2464700,0
2008-08-10 00:00:00+05:30,52.55,58.15,50.1,51.95,4017550,0
2008-08-17 00:00:00+05:30,49.5,54.15,49.3,51.3,3210080,0
2008-08-24 00:00:00+05:30,52.05,54.8,50.15,52.8,2469850,0
2008-08-31 00:00:00+05:30,52.3,53.55,51.1,51.55,973830,0
2008-09-07 00:00:00+05:30,53.55,53.55,44.5,46.1,2554980,0
2008-09-14 00:00:00+05:30,44.2,44.7,34.5,36.8,5486900,0
2008-09-21 00:00:00+05:30,36.85,39.5,36.75,37.4,1603160,0
2008-09-28 00:00:00+05:30,37.0,38.3,33.3,34.4,1562660,0
2008-10-05 00:00:00+05:30,33.4,33.7,19.2,19.2,2096980,0
2008-10-12 00:00:00+05:30,21.0,21.0,14.75,15.55,2514090,0
2008-10-19 00:00:00+05:30,15.7,16.2,12.45,12.45,5068250,0
2008-10-26 00:00:00+05:30,12.3,12.3,10.65,11.45,1014580,0
2008-11-02 00:00:00+05:30,11.8,12.6,11.5,12.6,33869760,0
2008-11-09 00:00:00+05:30,12.8,14.35,12.8,13.45,1722790,0
2008-11-16 00:00:00+05:30,12.85,13.45,11.0,11.2,2407490,0
2008-11-23 00:00:00+05:30,10.8,11.3,9.2,9.4,5216770,0
2008-11-30 00:00:00+05:30,9.35,9.85,8.65,9.8,44145870,0
2008-12-07 00:00:00+05:30,10.3,10.8,10.05,10.4,4402690,0
2008-12-14 00:00:00+05:30,10.3,10.95,9.65,10.9,6857720,0
2008-12-21 00:00:00+05:30,11.2,13.15,10.7,13.15,3809720,0
2008-12-28 00:00:00+05:30,13.7,15.5,13.3,15.5,4317170,0
2009-01-04 00:00:00+05:30,16.05,18.15,15.85,17.75,3143090,0
2009-01-11 00:00:00+05:30,17.9,21.0,17.3,18.5,2528920,0
2009-01-18 00:00:00+05:30,17.6,19.15,16.1,16.3,7102030,0
2009-01-25 00:00:00+05:30,16.1,17.25,15.05,16.95,943510,0
2009-02-01 00:00:00+05:30,16.2,17.1,14.35,14.5,2512260,0
2009-02-08 00:00:00+05:30,14.75,15.0,13.7,14.05,1531910,0
2009-02-15 00:00:00+05:30,14.1,14.5,13.7,14.35,647880,0
2009-02-22 00:00:00+05:30,14.25,15.9,13.6,15.25,1109650,0
2009-03-01 00:00:00+05:30,15.25,15.55,13.4,14.0,3793060,0
2009-03-08 00:00:00+05:30,13.85,15.15,13.8,14.25,1000070,0
2009-03-15 00:00:00+05:30,14.7,15.5,14.1,14.9,751460,0
2009-03-22 00:00:00+05:30,14.75,17.2,14.75,16.65,727090,0
2009-03-29 00:00:00+05:30,16.7,18.45,15.6,17.55,1108850,0
2009-04-05 00:00:00+05:30,17.6,19.25,17.25,18.6,714140,0
2009-04-12 00:00:00+05:30,17.9,19.75,17.9,19.6,575960,0
2009-04-19 00:00:00+05:30,19.65,23.6,19.5,23.35,2454240,0
2009-04-26 00:00:00+05:30,23.1,23.45,20.95,21.45,170010,0
2009-05-03 00:00:00+05:30,22.5,24.25,21.6,24.1,2098470,0
2009-05-10 00:00:00+05:30,24.55,25.75,23.15,23.2,2415410,0
2009-05-17 00:00:00+05:30,23.8,28.2,23.15,28.2,1449470,0
2009-05-24 00:00:00+05:30,29.6,35.75,29.0,35.75,1784990,0
2009-05-31 00:00:00+05:30,37.3,43.5,35.55,39.3,4127630,0
2009-06-07 00:00:00+05:30,40.3,40.5,36.85,39.25,2174700,0
2009-06-14 00:00:00+05:30,39.1,41.45,37.55,38.7,745770,0
2009-06-21 00:00:00+05:30,38.85,39.55,36.1,39.15,1316490,0
2009-06-28 00:00:00+05:30,41.05,41.1,35.0,36.95,701520,0
2009-07-05 00:00:00+05:30,37.35,38.2,32.9,33.45,730240,0
2009-07-12 00:00:00+05:30,33.9,38.3,31.95,36.05,1363380,0
2009-07-19 00:00:00+05:30,35.85,38.0,33.4,37.2,955750,0
2009-07-26 00:00:00+05:30,37.6,37.6,33.1,33.35,901630,0
2009-08-02 00:00:00+05:30,33.8,34.25,30.25,30.5,1207310,0
2009-08-09 00:00:00+05:30,31.35,31.4,27.0,28.7,1653590,0
2009-08-16 00:00:00+05:30,28.35,29.0,25.65,26.3,788760,0
2009-08-23 00:00:00+05:30,27.2,29.3,26.55,28.5,1907130,0
2009-08-30 00:00:00+05:30,28.4,28.75,26.45,26.75,1510810,0
2009-09-06 00:00:00+05:30,26.9,27.45,24.45,24.95,1404330,0
2009-09-13 00:00:00+05:30,24.85,28.7,24.65,27.05,3785550,0
2009-09-20 00:00:00+05:30,26.95,30.55,26.9,27.9,7011220,0
2009-09-27 00:00:00+05:30,28.5,29.65,26.65,28.6,3527090,0
2009-10-04 00:00:00+05:30,28.4,33.6,28.35,31.65,11039980,0
2009-10-11 00:00:00+05:30,32.1,35.15,31.45,31.65,7693290,0
2009-10-18 00:00:00+05:30,33.1,33.2,30.45,31.35,4400130,0
2009-10-25 00:00:00+05:30,31.35,32.6,28.85,30.6,3160770,0
2009-11-01 00:00:00+05:30,29.55,31.4,28.7,29.35,923530,0
2009-11-08 00:00:00+05:30,29.95,32.05,29.0,30.75,7233790,0
2009-11-15 00:00:00+05:30,30.7,34.35,30.55,32.1,7815390,0
2009-11-22 00:00:00+05:30,32.2,33.4,29.85,30.7,1428820,0
2009-11-29 00:00:00+05:30,31.5,33.6,30.35,32.65,7393400,0
2009-12-06 00:00:00+05:30,32.6,33.9,31.95,32.3,7979230,0
2009-12-13 00:00:00+05:30,32.25,34.25,31.05,32.1,4635160,0
2009-12-20 00:00:00+05:30,32.9,32.9,31.9,32.3,6263400,0
2009-12-27 00:00:00+05:30,32.45,34.7,32.0,33.95,6244530,0
2010-01-03 00:00:00+05:30,34.35,36.5,34.0,34.4,6133210,0
2010-01-10 00:00:00+05:30,34.85,35.05,32.8,33.75,4882570,0
2010-01-17 00:00:00+05:30,33.1,35.0,32.9,34.25,3284190,0
2010-01-24 00:00:00+05:30,34.4,34.5,30.5,31.3,2612380,0
2010-01-31 00:00:00+05:30,31.3,34.4,30.95,34.1,9546860,0
2010-02-07 00:00:00+05:30,33.9,35.55,32.95,33.2,1969270,0
2010-02-14 00:00:00+05:30,33.3,34.2,32.0,32.45,12249000,0
2010-02-21 00:00:00+05:30,32.9,34.8,32.05,34.1,3059140,0
2010-02-28 00:00:00+05:30,33.9,35.35,32.95,33.1,3792170,0
2010-03-07 00:00:00+05:30,33.7,34.3,31.95,32.5,6085970,0
2010-03-14 00:00:00+05:30,32.6,33.0,32.1,32.4,11773600,0
2010-03-21 00:00:00+05:30,31.95,32.9,30.95,31.65,24318000,0
2010-03-28 00:00:00+05:30,31.55,34.2,31.45,33.9,2637740,0
2010-04-04 00:00:00+05:30,33.4,35.5,33.1,35.3,2755670,0
2010-04-11 00:00:00+05:30,34.7,36.25,30.0,30.25,20264270,0
2010-04-18 00:00:00+05:30,29.95,32.05,29.45,31.65,6358560,0
2010-04-25 00:00:00+05:30,31.5,34.1,31.05,33.8,12581750,0
2010-05-02 00:00:00+05:30,33.9,41.85,31.95,39.1,79527480,0
2010-05-09 00:00:00+05:30,39.9,53.95,39.4,52.75,163289130,0
2010-05-16 00:00:00+05:30,52.05,54.8,42.3,44.95,84945780,0
2010-05-23 00:00:00+05:30,45.95,46.1,39.8,43.55,40516770,0
2010-05-30 00:00:00+05:30,45.05,47.95,42.95,46.15,19348890,0
2010-06-06 00:00:00+05:30,45.7,48.4,43.35,45.6,31404880,0
2010-06-13 00:00:00+05:30,46.0,46.3,39.7,39.7,30177730,0
2010-06-20 00:00:00+05:30,40.0,42.15,39.8,41.45,20635480,0
2010-06-27 00:00:00+05:30,41.7,43.75,40.3,42.3,17596330,0
2010-07-04 00:00:00+05:30,42.4,42.75,40.85,41.05,4559340,0
2010-07-11 00:00:00+05:30,40.8,43.25,40.7,40.85,6959790,0
2010-07-18 00:00:00+05:30,41.05,43.9,40.4,41.9,12738940,0
2010-07-25 00:00:00+05:30,42.1,42.85,38.65,42.25,5806470,0
2010-08-01 00:00:00+05:30,42.35,43.35,42.15,42.7,3522090,0
