time,open,high,low,close,volume,open_interest
2004-07-25 00:00:00+05:30,7.72,8.21,7.46,7.59,374004,0
2004-08-01 00:00:00+05:30,7.72,7.91,7.65,7.73,281942,0
2004-08-08 00:00:00+05:30,7.73,8.47,7.72,7.96,1058453,0
2004-08-15 00:00:00+05:30,7.99,7.99,7.68,7.85,272587,0
2004-08-22 00:00:00+05:30,7.85,7.94,7.73,7.88,362023,0
2004-08-29 00:00:00+05:30,7.9,8.42,7.83,8.15,308053,0
2004-09-05 00:00:00+05:30,8.16,9.1,8.01,8.78,2761454,0
2004-09-12 00:00:00+05:30,8.96,9.19,8.31,8.36,827573,0
2004-09-19 00:00:00+05:30,8.43,8.52,8.29,8.42,363985,0
2004-09-26 00:00:00+05:30,8.34,9.93,8.34,9.85,2316934,0
2004-10-03 00:00:00+05:30,9.84,10.91,9.84,10.19,2148578,0
2004-10-10 00:00:00+05:30,10.0,10.65,9.94,10.04,462278,0
2004-10-17 00:00:00+05:30,10.28,10.71,9.96,10.5,564539,0
2004-10-24 00:00:00+05:30,10.55,10.55,9.83,9.88,290755,0
2004-10-31 00:00:00+05:30,9.85,10.12,9.54,9.67,427083,0
2004-11-07 00:00:00+05:30,9.59,11.75,9.49,11.46,4395676,0
2004-11-14 00:00:00+05:30,11.8,11.93,10.83,11.58,4291364,0
2004-11-21 00:00:00+05:30,11.27,11.96,11.27,11.46,976850,0
2004-11-28 00:00:00+05:30,11.63,11.94,11.27,11.29,777885,0
2004-12-05 00:00:00+05:30,11.54,11.54,10.92,11.03,734722,0
2004-12-12 00:00:00+05:30,11.09,11.43,10.65,11.36,558330,0
2004-12-19 00:00:00+05:30,11.4,12.04,11.1,11.83,1511291,0
2004-12-26 00:00:00+05:30,11.91,12.16,10.83,11.47,676728,0
2005-01-02 00:00:00+05:30,11.49,11.7,10.74,11.05,597165,0
2005-01-09 00:00:00+05:30,11.17,11.45,10.48,10.77,542787,0
2005-01-16 00:00:00+05:30,10.65,12.24,10.65,11.33,1362779,0
2005-01-23 00:00:00+05:30,11.62,11.98,11.19,11.89,523202,0
2005-01-30 00:00:00+05:30,11.27,12.23,11.27,12.05,473391,0
2005-02-06 00:00:00+05:30,12.02,12.77,11.91,12.48,743015,0
2005-02-13 00:00:00+05:30,12.44,13.22,12.34,12.54,651011,0
2005-02-20 00:00:00+05:30,12.69,15.26,12.52,14.65,2729222,0
2005-02-27 00:00:00+05:30,14.22,14.64,13.31,14.04,454186,0
2005-03-06 00:00:00+05:30,14.06,15.16,14.01,14.91,737584,0
2005-03-13 00:00:00+05:30,15.35,15.68,14.51,14.71,639482,0
2005-03-20 00:00:00+05:30,14.82,14.82,13.9,14.27,175083,0
2005-03-27 00:00:00+05:30,14.2,15.26,14.2,15.07,179218,0
2005-04-03 00:00:00+05:30,15.0,15.5,14.56,15.2,430452,0
2005-04-10 00:00:00+05:30,15.0,16.15,15.0,15.35,347610,0
2005-04-17 00:00:00+05:30,15.0,16.48,14.91,16.01,535879,0
2005-04-24 00:00:00+05:30,16.42,16.77,15.97,16.41,276003,0
2005-05-01 00:00:00+05:30,16.77,17.56,15.97,17.18,503795,0
2005-05-08 00:00:00+05:30,17.56,18.79,17.21,18.6,1303197,0
2005-05-15 00:00:00+05:30,17.75,19.08,17.75,18.19,474257,0
2005-05-22 00:00:00+05:30,18.08,20.52,17.94,20.4,1025399,0
2005-05-29 00:00:00+05:30,20.76,21.21,20.06,20.57,1008575,0
2005-06-05 00:00:00+05:30,20.59,23.24,20.59,22.29,1039926,0
2005-06-12 00:00:00+05:30,22.36,23.16,21.3,22.08,520193,0
2005-06-19 00:00:00+05:30,20.85,23.35,20.85,23.33,2410887,0
2005-06-26 00:00:00+05:30,23.25,25.52,23.07,24.35,1062499,0
2005-07-03 00:00:00+05:30,24.69,26.62,24.58,26.25,629226,0
2005-07-10 00:00:00+05:30,26.62,27.86,26.53,27.66,444608,0
2005-07-17 00:00:00+05:30,26.84,27.33,25.56,26.62,783531,0
2005-07-24 00:00:00+05:30,26.53,27.22,26.0,26.65,367953,0
2005-07-31 00:00:00+05:30,25.91,28.57,25.91,28.17,389340,0
2005-08-07 00:00:00+05:30,27.95,28.36,27.69,28.18,235105,0
2005-08-14 00:00:00+05:30,28.0,28.12,27.17,27.96,365314,0
2005-08-21 00:00:00+05:30,27.6,28.31,26.62,26.98,319299,0
2005-08-28 00:00:00+05:30,25.73,27.33,25.73,26.74,269578,0
2005-09-04 00:00:00+05:30,27.33,27.33,24.76,25.12,151158,0
2005-09-11 00:00:00+05:30,25.73,28.57,24.85,28.19,584655,0
2005-09-18 00:00:00+05:30,28.73,36.2,27.52,29.54,3138626,0
2005-09-25 00:00:00+05:30,30.17,33.9,30.17,32.29,596432,0
2005-10-02 00:00:00+05:30,31.4,35.47,31.23,35.47,967204,0
2005-10-09 00:00:00+05:30,37.21,37.26,32.64,32.64,1793200,0
2005-10-16 00:00:00+05:30,31.94,32.32,26.8,27.88,1762469,0
2005-10-23 00:00:00+05:30,28.04,28.66,26.8,26.89,581432,0
2005-10-30 00:00:00+05:30,27.06,27.11,25.73,26.27,55208,0
2005-11-06 00:00:00+05:30,26.98,30.61,26.62,29.22,443751,0
2005-11-13 00:00:00+05:30,28.85,30.08,28.57,29.43,606282,0
2005-11-20 00:00:00+05:30,28.84,32.56,28.84,30.77,703573,0
2005-11-27 00:00:00+05:30,30.17,34.89,30.17,34.89,967823,0
2005-12-04 00:00:00+05:30,36.32,37.45,33.9,36.23,3256800,0
2005-12-11 00:00:00+05:30,36.56,40.64,36.47,39.62,3985031,0
2005-12-18 00:00:00+05:30,40.64,42.29,39.49,39.97,1474032,0
2005-12-25 00:00:00+05:30,37.8,39.75,37.71,39.22,660465,0
2006-01-01 00:00:00+05:30,38.61,40.37,38.33,38.94,883267,0
2006-01-08 00:00:00+05:30,39.04,40.81,35.67,39.26,1596602,0
2006-01-15 00:00:00+05:30,37.3,40.82,37.3,40.31,1396599,0
2006-01-22 00:00:00+05:30,40.29,42.41,39.93,41.85,747704,0
2006-01-29 00:00:00+05:30,40.92,48.35,40.92,44.73,1335697,0
2006-02-05 00:00:00+05:30,44.46,47.03,42.77,45.16,182420,0
2006-02-12 00:00:00+05:30,44.64,50.68,44.64,47.21,588860,0
2006-02-19 00:00:00+05:30,45.27,51.02,45.27,49.89,449184,0
2006-02-26 00:00:00+05:30,50.58,51.73,46.19,51.02,1612040,0
2006-03-05 00:00:00+05:30,50.93,51.91,46.53,51.25,326095,0
2006-03-12 00:00:00+05:30,50.78,51.47,44.86,46.39,280196,0
2006-03-19 00:00:00+05:30,46.5,50.4,44.19,49.69,345063,0
2006-03-26 00:00:00+05:30,49.34,50.01,45.96,47.49,325307,0
2006-04-02 00:00:00+05:30,46.59,49.69,46.14,46.47,355893,0
2006-04-09 00:00:00+05:30,46.59,48.98,44.19,45.99,267798,0
2006-04-16 00:00:00+05:30,46.05,49.34,44.28,45.65,355926,0
2006-04-23 00:00:00+05:30,45.43,46.14,42.15,42.57,239973,0
2006-04-30 00:00:00+05:30,43.48,47.92,42.59,46.8,263696,0
2006-05-07 00:00:00+05:30,45.63,46.94,43.57,44.2,194928,0
2006-05-14 00:00:00+05:30,44.28,44.37,36.91,39.06,1041053,0
2006-05-21 00:00:00+05:30,36.56,42.59,31.33,39.52,383098,0
2006-05-28 00:00:00+05:30,43.39,43.48,34.62,38.36,240706,0
2006-06-04 00:00:00+05:30,39.75,39.84,24.71,30.03,342774,0
2006-06-11 00:00:00+05:30,28.94,30.61,24.85,28.58,182599,0
