time,open,high,low,close,volume,open_interest
2004-07-25 00:00:00+05:30,62.31,64.0,60.81,62.79,218335,0
2004-08-01 00:00:00+05:30,62.15,63.3,61.3,62.0,90535,0
2004-08-08 00:00:00+05:30,62.6,62.9,61.7,62.76,83375,0
2004-08-15 00:00:00+05:30,61.7,63.99,61.7,63.8,137230,0
2004-08-22 00:00:00+05:30,64.8,66.98,63.1,66.15,1107545,0
2004-08-29 00:00:00+05:30,66.0,67.94,65.05,66.9,358160,0
2004-09-05 00:00:00+05:30,67.1,67.5,65.36,66.96,247635,0
2004-09-12 00:00:00+05:30,67.2,68.93,66.04,67.35,155860,0
2004-09-19 00:00:00+05:30,66.3,69.8,66.3,67.29,157435,0
2004-09-26 00:00:00+05:30,65.8,67.3,64.5,65.53,102845,0
2004-10-03 00:00:00+05:30,67.38,67.87,62.6,65.12,182680,0
2004-10-10 00:00:00+05:30,63.8,65.8,62.0,62.08,99811,0
2004-10-17 00:00:00+05:30,62.08,64.9,62.08,64.35,70776,0
2004-10-24 00:00:00+05:30,64.0,66.98,63.5,66.11,176485,0
2004-10-31 00:00:00+05:30,64.55,68.7,64.55,68.27,177210,0
2004-11-07 00:00:00+05:30,67.8,70.3,67.25,69.19,370650,0
2004-11-14 00:00:00+05:30,67.8,70.2,67.8,69.75,192866,0
2004-11-21 00:00:00+05:30,70.55,73.0,69.5,72.58,201201,0
2004-11-28 00:00:00+05:30,72.0,78.5,71.8,78.07,1337445,0
2004-12-05 00:00:00+05:30,79.48,81.5,77.5,80.3,296330,0
2004-12-12 00:00:00+05:30,80.5,85.8,80.5,83.89,354790,0
2004-12-19 00:00:00+05:30,81.32,92.1,77.64,89.67,259090,0
2004-12-26 00:00:00+05:30,89.0,94.2,88.4,91.65,256325,0
2005-01-02 00:00:00+05:30,90.2,94.46,87.5,90.12,509555,0
2005-01-09 00:00:00+05:30,90.11,91.0,86.4,87.62,118005,0
2005-01-16 00:00:00+05:30,92.0,92.0,85.0,85.18,107631,0
2005-01-23 00:00:00+05:30,87.8,89.5,85.0,87.0,106096,0
2005-01-30 00:00:00+05:30,86.99,91.1,86.3,90.19,602405,0
2005-02-06 00:00:00+05:30,91.09,91.09,88.1,90.05,105660,0
2005-02-13 00:00:00+05:30,90.5,94.89,90.5,92.6,329465,0
2005-02-20 00:00:00+05:30,92.6,93.0,91.4,92.57,188270,0
2005-02-27 00:00:00+05:30,92.2,93.4,87.8,93.02,127495,0
2005-03-06 00:00:00+05:30,91.8,93.7,91.8,93.0,340180,0
2005-03-13 00:00:00+05:30,93.0,93.5,92.2,93.06,115855,0
2005-03-20 00:00:00+05:30,92.7,92.7,85.0,86.05,59346,0
2005-03-27 00:00:00+05:30,87.5,88.0,83.5,85.92,381375,0
2005-04-03 00:00:00+05:30,85.8,86.68,83.5,84.47,118160,0
2005-04-10 00:00:00+05:30,83.7,85.99,83.05,84.12,32386,0
2005-04-17 00:00:00+05:30,83.1,85.4,81.2,83.12,72340,0
2005-04-24 00:00:00+05:30,83.22,86.5,83.15,85.3,183840,0
2005-05-01 00:00:00+05:30,85.1,86.5,84.0,86.16,36275,0
2005-05-08 00:00:00+05:30,85.2,88.0,85.0,85.93,138575,0
