time,open,high,low,close,volume,open_interest
2004-07-25 00:00:00+05:30,57.5,57.97,52.78,55.26,3191755,0
2004-08-01 00:00:00+05:30,54.75,57.35,52.0,53.53,3210575,0
2004-08-08 00:00:00+05:30,53.7,60.44,53.1,59.4,5399675,0
2004-08-15 00:00:00+05:30,57.45,60.44,55.66,56.16,2883415,0
2004-08-22 00:00:00+05:30,57.32,59.0,53.3,58.46,3136775,0
2004-08-29 00:00:00+05:30,58.5,60.0,55.5,58.29,2446915,0
2004-09-05 00:00:00+05:30,58.75,67.4,58.6,65.81,9359115,0
2004-09-12 00:00:00+05:30,66.4,67.12,64.0,64.77,3247715,0
2004-09-19 00:00:00+05:30,65.05,67.0,63.25,66.06,2832115,0
2004-09-26 00:00:00+05:30,66.74,72.25,66.25,68.06,7532675,0
2004-10-03 00:00:00+05:30,68.94,70.55,66.43,66.73,2910695,0
2004-10-10 00:00:00+05:30,67.28,68.45,61.75,62.15,2126796,0
2004-10-17 00:00:00+05:30,62.75,63.25,59.0,59.49,4673776,0
2004-10-24 00:00:00+05:30,59.75,59.75,51.98,54.8,6075775,0
2004-10-31 00:00:00+05:30,54.8,55.18,51.6,53.64,5080175,0
2004-11-07 00:00:00+05:30,54.95,56.2,52.5,55.67,7390775,0
2004-11-14 00:00:00+05:30,56.0,57.0,54.0,54.51,3299816,0
2004-11-21 00:00:00+05:30,54.23,59.75,53.5,59.02,4778436,0
2004-11-28 00:00:00+05:30,59.0,59.69,56.05,56.28,3091735,0
2004-12-05 00:00:00+05:30,56.85,60.44,56.05,59.47,9967995,0
2004-12-12 00:00:00+05:30,59.25,66.98,58.6,66.25,7976715,0
2004-12-19 00:00:00+05:30,66.42,72.5,65.06,67.26,10602015,0
2004-12-26 00:00:00+05:30,67.5,69.7,65.75,68.05,3156835,0
2005-01-02 00:00:00+05:30,69.45,69.83,60.1,62.16,3592215,0
2005-01-09 00:00:00+05:30,63.0,65.5,57.75,60.71,3749275,0
2005-01-16 00:00:00+05:30,60.95,70.5,57.55,58.05,2525096,0
2005-01-23 00:00:00+05:30,58.55,62.44,58.05,59.97,3053436,0
2005-01-30 00:00:00+05:30,57.9,58.7,54.05,56.84,6802975,0
2005-02-06 00:00:00+05:30,58.6,58.6,55.5,56.21,2291055,0
2005-02-13 00:00:00+05:30,57.2,57.2,54.5,54.85,2541635,0
2005-02-20 00:00:00+05:30,55.6,55.6,52.0,53.78,2848395,0
2005-02-27 00:00:00+05:30,54.35,54.4,52.0,52.91,1894155,0
2005-03-06 00:00:00+05:30,53.25,53.7,51.05,51.43,2410955,0
2005-03-13 00:00:00+05:30,51.6,54.25,50.55,51.72,2971715,0
2005-03-20 00:00:00+05:30,52.0,52.0,48.25,48.62,1570896,0
2005-03-27 00:00:00+05:30,49.25,56.24,46.5,49.76,1837035,0
2005-04-03 00:00:00+05:30,49.73,56.27,49.7,52.72,3691815,0
2005-04-10 00:00:00+05:30,52.95,53.0,49.0,49.33,1257436,0
2005-04-17 00:00:00+05:30,49.74,51.99,46.99,48.67,1116935,0
2005-04-24 00:00:00+05:30,50.5,51.49,45.0,46.48,2363595,0
2005-05-01 00:00:00+05:30,47.5,48.75,45.7,47.51,1142675,0
2005-05-08 00:00:00+05:30,47.5,48.7,46.75,47.91,947515,0
2005-05-15 00:00:00+05:30,47.5,48.7,46.51,47.23,633315,0
2005-05-22 00:00:00+05:30,47.25,54.99,46.5,53.2,3848095,0
2005-05-29 00:00:00+05:30,53.25,56.25,52.0,54.75,3327895,0
2005-06-05 00:00:00+05:30,55.15,55.15,53.0,53.21,903535,0
2005-06-12 00:00:00+05:30,53.5,55.0,52.85,53.07,937835,0
2005-06-19 00:00:00+05:30,53.25,54.25,52.3,53.66,1034534,0
2005-06-26 00:00:00+05:30,53.38,54.0,51.75,52.65,920835,0
2005-07-03 00:00:00+05:30,52.5,57.7,52.25,56.01,2929955,0
2005-07-10 00:00:00+05:30,56.05,62.45,55.0,61.55,2232635,0
2005-07-17 00:00:00+05:30,62.49,67.4,61.0,62.88,4369975,0
2005-07-24 00:00:00+05:30,63.45,66.7,62.0,64.1,2782576,0
2005-07-31 00:00:00+05:30,63.0,64.5,61.1,62.16,3809275,0
2005-08-07 00:00:00+05:30,59.7,65.25,59.1,64.73,2889635,0
2005-08-14 00:00:00+05:30,64.55,72.85,64.42,71.55,6017416,0
2005-08-21 00:00:00+05:30,72.0,75.45,67.75,72.95,6451555,0
2005-08-28 00:00:00+05:30,71.56,78.65,71.0,75.08,7196195,0
2005-09-04 00:00:00+05:30,77.0,77.17,73.0,74.38,1560476,0
2005-09-11 00:00:00+05:30,72.2,76.25,72.2,75.27,2041015,0
2005-09-18 00:00:00+05:30,75.75,75.75,65.0,68.1,2701115,0
2005-09-25 00:00:00+05:30,70.5,78.97,68.5,76.09,5012615,0
2005-10-02 00:00:00+05:30,76.5,84.5,76.5,81.11,6157995,0
2005-10-09 00:00:00+05:30,81.75,81.75,71.0,71.72,3863016,0
2005-10-16 00:00:00+05:30,73.9,75.5,66.25,69.08,2243555,0
2005-10-23 00:00:00+05:30,69.06,69.99,63.1,66.39,3923535,0
2005-10-30 00:00:00+05:30,67.5,68.85,66.06,67.44,813777,0
2005-11-06 00:00:00+05:30,67.75,71.5,67.15,70.5,1665995,0
2005-11-13 00:00:00+05:30,70.5,72.44,68.5,70.02,1169876,0
2005-11-20 00:00:00+05:30,70.39,76.25,69.25,75.27,4493155,0
2005-11-27 00:00:00+05:30,77.2,77.5,72.52,73.21,2743355,0
2005-12-04 00:00:00+05:30,73.31,76.0,72.17,75.41,1835835,0
2005-12-11 00:00:00+05:30,75.94,76.45,72.53,73.16,1505355,0
2005-12-18 00:00:00+05:30,73.0,74.4,71.5,72.85,4421135,0
2005-12-25 00:00:00+05:30,73.25,76.99,71.9,76.17,2778195,0
2006-01-01 00:00:00+05:30,76.75,82.5,76.1,80.76,2952215,0
2006-01-08 00:00:00+05:30,78.61,82.35,78.61,80.55,1382796,0
2006-01-15 00:00:00+05:30,81.23,81.23,76.25,79.74,1428835,0
2006-01-22 00:00:00+05:30,80.9,87.0,79.05,84.86,3032956,0
2006-01-29 00:00:00+05:30,84.75,88.75,83.0,86.45,4113635,0
2006-02-05 00:00:00+05:30,86.0,90.5,86.0,89.51,2659136,0
2006-02-12 00:00:00+05:30,88.75,93.25,88.25,89.63,4126035,0
2006-02-19 00:00:00+05:30,90.7,90.7,84.32,84.99,7326375,0
2006-02-26 00:00:00+05:30,85.8,92.13,84.31,89.06,4435055,0
2006-03-05 00:00:00+05:30,89.45,92.75,79.9,85.18,7059655,0
2006-03-12 00:00:00+05:30,85.95,87.75,83.8,84.96,1761656,0
2006-03-19 00:00:00+05:30,85.48,86.49,82.75,84.69,1594515,0
2006-03-26 00:00:00+05:30,86.25,99.75,84.25,93.81,5603915,0
2006-04-02 00:00:00+05:30,95.0,100.75,91.53,94.22,4121956,0
2006-04-09 00:00:00+05:30,94.0,96.94,85.25,86.26,3284097,0
2006-04-16 00:00:00+05:30,83.5,98.75,83.5,93.08,4135815,0
2006-04-23 00:00:00+05:30,93.6,94.95,88.75,94.04,3535915,0
2006-04-30 00:00:00+05:30,97.2,97.95,93.77,94.49,2290836,0
2006-05-07 00:00:00+05:30,95.75,96.5,90.58,91.0,957795,0
2006-05-14 00:00:00+05:30,91.25,93.0,71.26,73.48,4630915,0
2006-05-21 00:00:00+05:30,73.75,77.0,59.0,73.34,4539655,0
2006-05-28 00:00:00+05:30,74.75,76.25,63.25,66.62,1295835,0
2006-06-04 00:00:00+05:30,67.5,67.5,55.5,63.58,2505455,0
2006-06-11 00:00:00+05:30,63.6,64.5,56.25,60.09,1217675,0
2006-06-18 00:00:00+05:30,60.05,64.7,59.0,64.07,1154815,0
2006-06-25 00:00:00+05:30,65.95,68.8,62.15,65.14,2251755,0
2006-07-02 00:00:00+05:30,63.01,72.19,63.01,69.33,1785035,0
2006-07-09 00:00:00+05:30,69.0,72.4,67.75,68.52,935235,0
2006-07-16 00:00:00+05:30,68.25,69.95,62.75,68.25,4817835,0
2006-07-23 00:00:00+05:30,67.75,78.0,66.8,75.91,3143975,0
2006-07-30 00:00:00+05:30,77.25,82.95,76.1,80.25,2799035,0
