time,open,high,low,close,volume,open_interest
2004-07-25 00:00:00+05:30,21.1,21.4,20.7,20.85,102886,0
2004-08-01 00:00:00+05:30,21.1,22.5,20.65,21.2,42235,0
2004-08-08 00:00:00+05:30,21.1,22.5,20.0,20.4,32233,0
2004-08-15 00:00:00+05:30,20.5,22.0,19.8,19.95,12484,0
2004-08-22 00:00:00+05:30,19.8,21.5,18.15,19.0,20343,0
2004-08-29 00:00:00+05:30,19.3,23.1,18.6,19.3,37474,0
2004-09-05 00:00:00+05:30,19.5,20.55,19.5,19.85,45036,0
2004-09-12 00:00:00+05:30,19.75,21.0,19.1,20.25,80186,0
2004-09-19 00:00:00+05:30,20.25,20.55,19.75,20.0,93145,0
2004-09-26 00:00:00+05:30,20.3,20.3,19.0,19.15,34626,0
2004-10-03 00:00:00+05:30,19.4,22.0,19.2,20.35,145579,0
2004-10-10 00:00:00+05:30,20.65,20.75,19.7,20.0,82199,0
2004-10-17 00:00:00+05:30,20.5,21.2,19.55,20.85,59102,0
2004-10-24 00:00:00+05:30,21.0,21.7,20.5,21.55,45854,0
2004-10-31 00:00:00+05:30,21.6,23.5,21.3,22.6,112177,0
2004-11-07 00:00:00+05:30,21.05,23.05,21.05,21.45,56943,0
2004-11-14 00:00:00+05:30,21.5,22.6,21.5,22.0,66608,0
2004-11-21 00:00:00+05:30,22.0,23.5,21.7,22.5,64202,0
2004-11-28 00:00:00+05:30,22.2,23.4,21.5,22.5,76620,0
2004-12-05 00:00:00+05:30,22.5,23.0,22.3,22.8,66246,0
2004-12-12 00:00:00+05:30,23.4,23.4,22.5,22.85,51053,0
2004-12-19 00:00:00+05:30,23.0,24.3,22.1,23.05,103506,0
2004-12-26 00:00:00+05:30,23.2,26.1,23.2,25.05,79463,0
2005-01-02 00:00:00+05:30,24.8,27.35,24.0,25.4,103964,0
2005-01-09 00:00:00+05:30,25.4,26.0,24.0,25.2,75181,0
2005-01-16 00:00:00+05:30,26.0,26.0,24.2,25.0,49400,0
2005-01-23 00:00:00+05:30,24.8,27.9,24.5,26.7,45928,0
2005-01-30 00:00:00+05:30,27.0,28.45,24.6,27.15,100744,0
2005-02-06 00:00:00+05:30,27.2,28.3,27.0,27.6,34940,0
2005-02-13 00:00:00+05:30,27.5,28.65,27.15,27.45,34222,0
2005-02-20 00:00:00+05:30,27.6,37.2,27.6,33.4,2978559,0
2005-02-27 00:00:00+05:30,33.7,35.0,31.6,33.0,362123,0
2005-03-06 00:00:00+05:30,33.45,33.65,30.5,32.0,205668,0
2005-03-13 00:00:00+05:30,32.05,32.9,30.0,30.5,70747,0
2005-03-20 00:00:00+05:30,30.9,32.95,29.5,29.8,78366,0
2005-03-27 00:00:00+05:30,30.0,32.35,29.0,31.8,55273,0
2005-04-03 00:00:00+05:30,32.5,33.95,31.1,31.45,79338,0
2005-04-10 00:00:00+05:30,29.5,32.25,29.5,30.75,140907,0
2005-04-17 00:00:00+05:30,30.75,32.9,30.0,31.55,193410,0
2005-04-24 00:00:00+05:30,29.0,36.1,28.0,31.5,55778,0
2005-05-01 00:00:00+05:30,30.8,33.5,30.8,32.7,99976,0
2005-05-08 00:00:00+05:30,32.55,33.8,31.5,33.2,94426,0
2005-05-15 00:00:00+05:30,33.8,34.5,32.2,32.75,32913,0
2005-05-22 00:00:00+05:30,33.8,39.6,32.1,33.7,776416,0
2005-05-29 00:00:00+05:30,33.7,34.5,32.1,33.1,100458,0
2005-06-05 00:00:00+05:30,32.95,33.5,31.4,32.1,37006,0
2005-06-12 00:00:00+05:30,32.2,32.6,31.5,31.5,32689,0
2005-06-19 00:00:00+05:30,31.5,31.8,30.0,30.7,25772,0
2005-06-26 00:00:00+05:30,31.3,32.8,28.2,30.2,94977,0
2005-07-03 00:00:00+05:30,30.5,31.4,29.7,30.05,61793,0
2005-07-10 00:00:00+05:30,30.8,31.2,29.8,29.95,29720,0
2005-07-17 00:00:00+05:30,29.4,31.1,29.4,30.45,22360,0
2005-07-24 00:00:00+05:30,30.6,32.4,30.25,30.35,27361,0
2005-07-31 00:00:00+05:30,30.4,31.2,30.1,30.25,40370,0
2005-08-07 00:00:00+05:30,30.3,32.0,27.6,30.7,649718,0
2005-08-14 00:00:00+05:30,30.15,31.8,30.15,30.2,71165,0
2005-08-21 00:00:00+05:30,30.45,36.2,28.5,28.95,30749,0
2005-08-28 00:00:00+05:30,29.0,32.55,28.6,30.15,148295,0
2005-09-04 00:00:00+05:30,30.3,30.8,29.0,30.1,29539,0
2005-09-11 00:00:00+05:30,30.4,30.5,29.45,30.0,68198,0
2005-09-18 00:00:00+05:30,30.0,30.4,26.75,27.9,47578,0
2005-09-25 00:00:00+05:30,28.5,30.2,27.75,28.25,36235,0
2005-10-02 00:00:00+05:30,28.8,30.0,27.9,28.5,32201,0
2005-10-09 00:00:00+05:30,28.8,28.8,26.5,26.6,8040,0
2005-10-16 00:00:00+05:30,26.2,27.5,23.5,25.4,26413,0
2005-10-23 00:00:00+05:30,25.75,26.05,24.1,25.2,15249,0
2005-10-30 00:00:00+05:30,25.35,25.9,24.4,25.15,12415,0
2005-11-06 00:00:00+05:30,25.0,26.0,24.7,25.0,26246,0
2005-11-13 00:00:00+05:30,24.9,26.85,24.3,25.05,168169,0
2005-11-20 00:00:00+05:30,25.0,25.4,24.05,24.55,127033,0
2005-11-27 00:00:00+05:30,27.75,28.0,24.7,24.95,85754,0
2005-12-04 00:00:00+05:30,25.0,26.6,24.6,25.85,38502,0
2005-12-11 00:00:00+05:30,26.2,26.5,24.8,24.9,33201,0
2005-12-18 00:00:00+05:30,25.9,25.9,23.05,23.15,81586,0
2005-12-25 00:00:00+05:30,23.2,23.6,22.5,22.95,36943,0
2006-01-01 00:00:00+05:30,23.95,23.95,22.2,22.4,316009,0
2006-01-08 00:00:00+05:30,22.7,23.0,22.3,22.4,97215,0
2006-01-15 00:00:00+05:30,22.4,22.4,21.6,21.95,27309,0
2006-01-22 00:00:00+05:30,22.0,25.5,21.6,23.7,146794,0
2006-01-29 00:00:00+05:30,23.7,24.0,20.2,21.15,72206,0
2006-02-05 00:00:00+05:30,21.2,22.0,20.8,21.15,33248,0
2006-02-12 00:00:00+05:30,21.0,21.8,21.0,21.15,84496,0
2006-02-19 00:00:00+05:30,21.35,23.3,21.0,23.05,118178,0
2006-02-26 00:00:00+05:30,23.8,27.5,23.3,25.0,1019109,0
2006-03-05 00:00:00+05:30,25.0,27.2,25.0,26.55,160569,0
2006-03-12 00:00:00+05:30,26.4,27.25,26.0,26.45,51951,0
2006-03-19 00:00:00+05:30,26.4,26.9,26.0,26.4,40330,0
2006-03-26 00:00:00+05:30,26.7,32.0,26.0,30.25,224549,0
2006-04-02 00:00:00+05:30,31.5,35.75,29.1,29.85,239320,0
2006-04-09 00:00:00+05:30,29.9,30.5,26.8,28.0,65550,0
2006-04-16 00:00:00+05:30,29.0,32.4,29.0,31.0,105628,0
2006-04-23 00:00:00+05:30,29.6,32.0,28.1,29.9,39562,0
2006-04-30 00:00:00+05:30,31.3,32.3,30.5,31.9,43806,0
2006-05-07 00:00:00+05:30,31.2,37.5,31.15,33.85,78339,0
2006-05-14 00:00:00+05:30,33.85,34.0,27.95,29.5,51068,0
2006-05-21 00:00:00+05:30,28.8,34.75,25.0,29.65,36336,0
2006-05-28 00:00:00+05:30,29.65,31.0,24.45,28.4,71640,0
2006-06-04 00:00:00+05:30,28.0,29.55,22.0,24.2,38088,0
2006-06-11 00:00:00+05:30,23.5,25.0,20.0,22.9,23169,0
2006-06-18 00:00:00+05:30,22.5,24.5,22.5,23.45,17879,0
2006-06-25 00:00:00+05:30,22.75,24.0,22.25,23.85,12797,0
2006-07-02 00:00:00+05:30,23.8,28.4,20.0,23.7,160146,0
2006-07-09 00:00:00+05:30,23.8,28.15,23.8,26.1,515565,0
2006-07-16 00:00:00+05:30,26.3,26.3,21.2,21.45,60486,0
2006-07-23 00:00:00+05:30,21.2,22.9,20.3,22.15,72717,0
2006-07-30 00:00:00+05:30,22.4,22.5,17.65,21.75,45358,0
2006-08-06 00:00:00+05:30,21.85,22.9,21.55,22.6,60372,0
2006-08-13 00:00:00+05:30,22.0,25.2,22.0,23.65,31341,0
2006-08-20 00:00:00+05:30,22.0,23.9,22.0,22.95,21533,0
2006-08-27 00:00:00+05:30,24.0,24.4,22.15,22.55,29915,0
2006-09-03 00:00:00+05:30,24.0,24.7,22.8,23.65,196265,0
2006-09-10 00:00:00+05:30,24.0,24.95,22.7,23.75,183652,0
2006-09-17 00:00:00+05:30,23.95,25.0,23.3,24.45,86204,0
2006-09-24 00:00:00+05:30,24.5,33.75,23.9,29.7,1144641,0
2006-10-01 00:00:00+05:30,29.8,37.0,29.5,35.75,1479631,0
2006-10-08 00:00:00+05:30,35.8,35.8,31.3,32.55,665282,0
2006-10-15 00:00:00+05:30,33.8,36.3,32.8,35.45,244419,0
2006-10-22 00:00:00+05:30,35.7,36.7,34.0,35.45,131585,0
2006-10-29 00:00:00+05:30,35.2,37.5,35.0,37.0,325778,0
2006-11-05 00:00:00+05:30,37.0,41.5,37.0,40.7,384040,0
2006-11-12 00:00:00+05:30,40.5,41.5,38.9,38.9,147360,0
2006-11-19 00:00:00+05:30,38.0,39.2,36.8,37.0,42282,0
2006-11-26 00:00:00+05:30,37.2,39.25,36.0,38.8,25168,0
2006-12-03 00:00:00+05:30,39.5,41.4,37.35,38.0,80123,0
2006-12-10 00:00:00+05:30,37.8,37.8,33.55,36.85,26231,0
2006-12-17 00:00:00+05:30,35.4,37.65,33.55,35.0,32964,0
2006-12-24 00:00:00+05:30,34.25,36.75,34.25,36.4,25490,0
2006-12-31 00:00:00+05:30,36.2,39.0,36.1,36.55,36538,0
2007-01-07 00:00:00+05:30,36.4,37.4,33.65,34.7,24714,0
2007-01-14 00:00:00+05:30,35.5,36.8,31.7,34.85,78669,0
2007-01-21 00:00:00+05:30,36.5,40.7,35.3,36.4,152126,0
2007-01-28 00:00:00+05:30,37.8,38.85,36.6,37.2,61696,0
2007-02-04 00:00:00+05:30,37.75,38.85,36.8,36.9,87339,0
2007-02-11 00:00:00+05:30,38.2,38.2,34.5,36.55,15713,0
2007-02-18 00:00:00+05:30,37.8,38.0,35.1,35.2,30506,0
2007-02-25 00:00:00+05:30,35.5,35.75,32.8,33.6,23487,0
2007-03-04 00:00:00+05:30,30.6,33.6,28.05,31.65,47353,0
2007-03-11 00:00:00+05:30,33.95,35.3,29.9,30.05,206048,0
2007-03-18 00:00:00+05:30,29.0,30.4,27.1,27.4,82407,0
2007-03-25 00:00:00+05:30,27.3,27.9,24.4,24.55,51059,0
2007-04-01 00:00:00+05:30,24.2,24.55,22.5,22.6,96821,0
2007-04-08 00:00:00+05:30,23.5,23.7,22.7,23.1,103441,0
2007-04-15 00:00:00+05:30,23.2,23.9,22.3,22.5,113396,0
2007-04-22 00:00:00+05:30,22.6,27.9,22.2,26.65,501165,0
2007-04-29 00:00:00+05:30,26.6,28.45,26.35,27.1,159781,0
2007-05-06 00:00:00+05:30,27.5,27.5,24.3,25.25,52308,0
2007-05-13 00:00:00+05:30,25.6,27.5,25.5,26.85,350031,0
2007-05-20 00:00:00+05:30,27.2,30.4,26.2,30.4,340638,0
2007-05-27 00:00:00+05:30,31.9,36.9,31.9,34.9,304415,0
2007-06-03 00:00:00+05:30,36.3,37.0,33.6,34.35,170529,0
2007-06-10 00:00:00+05:30,34.6,36.75,33.0,34.7,224218,0
2007-06-17 00:00:00+05:30,35.75,35.9,33.4,34.35,83126,0
2007-06-24 00:00:00+05:30,34.15,37.35,34.15,35.25,242627,0
2007-07-01 00:00:00+05:30,35.5,36.2,34.05,34.95,201129,0
2007-07-08 00:00:00+05:30,35.0,35.8,34.05,34.35,142151,0
2007-07-15 00:00:00+05:30,34.85,39.9,33.3,37.1,562409,0
2007-07-22 00:00:00+05:30,37.25,37.5,34.15,35.45,342951,0
2007-07-29 00:00:00+05:30,35.7,38.9,35.5,38.25,453543,0
2007-08-05 00:00:00+05:30,37.9,39.9,34.7,36.45,240739,0
2007-08-12 00:00:00+05:30,37.0,38.5,34.5,35.25,133448,0
2007-08-19 00:00:00+05:30,36.9,36.9,33.0,35.0,111796,0
2007-08-26 00:00:00+05:30,36.4,37.2,35.1,36.6,62534,0
2007-09-02 00:00:00+05:30,36.1,37.1,35.4,36.1,48679,0
