time,open,high,low,close,volume,open_interest
2004-07-25 00:00:00+05:30,36.9,37.95,36.5,37.5,8441270,0
2004-08-01 00:00:00+05:30,37.5,37.5,36.0,36.75,4289180,0
2004-08-08 00:00:00+05:30,36.8,37.65,36.3,36.5,3338040,0
2004-08-15 00:00:00+05:30,37.1,37.2,35.6,35.7,7487385,0
2004-08-22 00:00:00+05:30,36.1,38.2,35.3,36.95,3377685,0
2004-08-29 00:00:00+05:30,37.0,37.4,36.55,37.0,2376330,0
2004-09-05 00:00:00+05:30,37.1,40.35,36.9,38.95,22289760,0
2004-09-12 00:00:00+05:30,38.5,40.7,38.4,40.3,12253055,0
2004-09-19 00:00:00+05:30,40.3,41.65,39.55,40.45,16175255,0
2004-09-26 00:00:00+05:30,40.5,41.4,39.45,41.05,14956125,0
2004-10-03 00:00:00+05:30,41.6,41.9,40.55,40.95,7228220,0
2004-10-10 00:00:00+05:30,40.8,41.2,39.6,40.6,3014086,0
2004-10-17 00:00:00+05:30,41.0,41.7,40.0,40.35,5381256,0
2004-10-24 00:00:00+05:30,40.75,42.5,40.35,41.5,7873510,0
2004-10-31 00:00:00+05:30,42.3,43.6,41.55,43.25,8382030,0
2004-11-07 00:00:00+05:30,43.7,47.7,43.4,46.8,9594290,0
2004-11-14 00:00:00+05:30,47.0,49.2,46.85,48.3,10419611,0
2004-11-21 00:00:00+05:30,48.5,50.2,47.05,49.9,6591541,0
2004-11-28 00:00:00+05:30,48.6,50.45,42.9,48.25,10963770,0
2004-12-05 00:00:00+05:30,48.25,49.2,46.45,46.7,10559410,0
2004-12-12 00:00:00+05:30,47.0,48.75,46.9,48.15,11908125,0
2004-12-19 00:00:00+05:30,48.3,52.0,48.3,50.25,9361950,0
2004-12-26 00:00:00+05:30,50.5,53.0,49.7,52.05,4361655,0
2005-01-02 00:00:00+05:30,51.6,53.1,47.9,49.0,7500005,0
2005-01-09 00:00:00+05:30,50.0,52.2,47.5,51.5,11885300,0
2005-01-16 00:00:00+05:30,52.0,52.9,50.0,51.15,12583686,0
2005-01-23 00:00:00+05:30,51.4,54.9,48.6,54.0,17723826,0
2005-01-30 00:00:00+05:30,53.65,57.9,53.5,56.7,9337695,0
2005-02-06 00:00:00+05:30,56.5,59.0,55.2,57.5,5057000,0
