time,open,high,low,close,volume,open_interest
2004-07-25 00:00:00+05:30,341.1,348.0,312.15,329.2,5323661,0
2004-08-01 00:00:00+05:30,330.0,357.85,326.35,352.0,5585943,0
2004-08-08 00:00:00+05:30,349.85,368.8,336.25,341.2,5052896,0
2004-08-15 00:00:00+05:30,345.0,352.5,331.0,347.2,3693762,0
2004-08-22 00:00:00+05:30,350.0,354.5,342.0,343.35,1924227,0
2004-08-29 00:00:00+05:30,349.0,354.9,340.2,342.55,2074447,0
2004-09-05 00:00:00+05:30,346.4,359.0,335.5,340.4,2339520,0
2004-09-12 00:00:00+05:30,344.0,365.75,339.0,358.15,3211658,0
2004-09-19 00:00:00+05:30,360.0,363.5,340.0,342.65,2325363,0
2004-09-26 00:00:00+05:30,344.0,359.3,330.15,354.05,2428499,0
2004-10-03 00:00:00+05:30,354.95,362.0,328.3,337.25,4501425,0
2004-10-10 00:00:00+05:30,338.0,338.9,315.1,317.15,2432700,0
2004-10-17 00:00:00+05:30,340.0,340.0,315.25,319.6,1925226,0
2004-10-24 00:00:00+05:30,318.0,342.0,312.1,323.65,2660345,0
2004-10-31 00:00:00+05:30,327.0,335.9,324.15,327.3,1780579,0
2004-11-07 00:00:00+05:30,331.0,344.5,328.5,338.3,2747922,0
2004-11-14 00:00:00+05:30,339.0,355.0,330.0,340.75,2107782,0
2004-11-21 00:00:00+05:30,339.85,375.4,335.0,373.0,2590738,0
2004-11-28 00:00:00+05:30,375.1,395.5,366.0,375.25,3662506,0
2004-12-05 00:00:00+05:30,375.0,398.5,375.0,380.85,2670925,0
2004-12-12 00:00:00+05:30,380.0,422.0,376.05,408.7,2488213,0
2004-12-19 00:00:00+05:30,407.0,496.9,391.15,448.75,5541330,0
2004-12-26 00:00:00+05:30,451.0,486.5,442.5,472.35,1729980,0
2005-01-02 00:00:00+05:30,480.0,516.0,417.0,472.45,3364697,0
2005-01-09 00:00:00+05:30,479.95,480.0,416.0,424.55,2691858,0
2005-01-16 00:00:00+05:30,435.0,447.0,410.0,437.0,1601620,0
2005-01-23 00:00:00+05:30,437.0,452.0,376.25,431.4,2366348,0
2005-01-30 00:00:00+05:30,444.4,449.7,401.1,442.8,1678587,0
2005-02-06 00:00:00+05:30,445.0,454.1,424.0,450.35,1871488,0
2005-02-13 00:00:00+05:30,454.0,467.6,430.05,435.8,1670342,0
2005-02-20 00:00:00+05:30,439.0,449.8,417.0,419.4,1297766,0
2005-02-27 00:00:00+05:30,427.0,471.85,417.25,460.2,2038999,0
2005-03-06 00:00:00+05:30,460.5,470.0,448.0,463.75,972383,0
2005-03-13 00:00:00+05:30,466.0,516.0,431.15,439.1,1484086,0
2005-03-20 00:00:00+05:30,442.0,456.6,428.0,444.35,662141,0
2005-03-27 00:00:00+05:30,440.95,464.0,407.0,444.5,1520316,0
2005-04-03 00:00:00+05:30,453.9,453.9,429.9,433.55,703279,0
2005-04-10 00:00:00+05:30,431.25,436.0,371.0,417.5,956782,0
2005-04-17 00:00:00+05:30,404.0,421.0,381.95,406.5,1463816,0
2005-04-24 00:00:00+05:30,406.0,426.0,400.0,403.65,988428,0
2005-05-01 00:00:00+05:30,399.8,443.0,399.1,440.55,1090313,0
2005-05-08 00:00:00+05:30,425.35,458.4,425.35,446.35,1181220,0
2005-05-15 00:00:00+05:30,452.0,469.95,442.15,467.95,865935,0
2005-05-22 00:00:00+05:30,467.85,500.0,460.0,479.95,2216094,0
2005-05-29 00:00:00+05:30,480.5,481.7,450.1,457.85,1025958,0
2005-06-05 00:00:00+05:30,458.0,464.0,445.55,451.8,592512,0
2005-06-12 00:00:00+05:30,453.25,456.9,436.0,451.05,722962,0
2005-06-19 00:00:00+05:30,452.0,508.0,442.0,501.95,4920622,0
2005-06-26 00:00:00+05:30,501.0,501.0,466.25,483.3,2315423,0
2005-07-03 00:00:00+05:30,488.0,491.8,469.0,486.6,955317,0
2005-07-10 00:00:00+05:30,489.0,540.0,485.0,528.4,1702750,0
2005-07-17 00:00:00+05:30,535.0,557.5,495.0,516.6,2390572,0
2005-07-24 00:00:00+05:30,518.0,534.0,453.0,522.7,1452037,0
2005-07-31 00:00:00+05:30,524.0,545.0,513.6,515.0,689930,0
2005-08-07 00:00:00+05:30,515.0,602.0,500.0,593.1,1255250,0
2005-08-14 00:00:00+05:30,591.0,595.0,565.15,579.05,632071,0
2005-08-21 00:00:00+05:30,585.0,599.95,545.05,552.05,1088296,0
2005-08-28 00:00:00+05:30,568.7,602.5,530.25,584.5,1729867,0
2005-09-04 00:00:00+05:30,584.5,610.65,526.65,593.6,1254307,0
2005-09-11 00:00:00+05:30,598.8,606.9,580.15,584.9,1137822,0
2005-09-18 00:00:00+05:30,584.9,623.85,578.05,599.6,1563837,0
2005-09-25 00:00:00+05:30,604.0,654.85,600.0,641.3,2038297,0
2005-10-02 00:00:00+05:30,650.0,670.0,627.1,631.05,1570798,0
2005-10-09 00:00:00+05:30,633.0,649.4,570.0,589.95,1664575,0
2005-10-16 00:00:00+05:30,583.0,653.5,556.55,643.1,2793354,0
2005-10-23 00:00:00+05:30,653.5,740.0,593.2,596.3,1653572,0
2005-10-30 00:00:00+05:30,595.9,627.9,590.0,615.7,843724,0
2005-11-06 00:00:00+05:30,612.4,711.0,611.15,706.2,1809792,0
2005-11-13 00:00:00+05:30,709.0,725.85,680.05,716.9,1345608,0
2005-11-20 00:00:00+05:30,719.85,754.75,714.05,749.3,2190430,0
2005-11-27 00:00:00+05:30,761.3,771.0,716.0,723.6,1892277,0
2005-12-04 00:00:00+05:30,723.0,758.9,693.15,756.0,2068319,0
2005-12-11 00:00:00+05:30,758.9,782.0,725.25,746.95,1436941,0
2005-12-18 00:00:00+05:30,747.0,779.8,740.0,753.3,1284128,0
2005-12-25 00:00:00+05:30,751.0,792.3,732.25,759.2,679455,0
2006-01-01 00:00:00+05:30,765.0,782.0,741.0,777.25,1653351,0
2006-01-08 00:00:00+05:30,778.0,788.2,732.5,738.75,1408642,0
2006-01-15 00:00:00+05:30,735.0,754.5,720.15,748.15,1053978,0
2006-01-22 00:00:00+05:30,746.0,780.0,728.0,776.85,1520389,0
2006-01-29 00:00:00+05:30,778.0,787.8,736.6,749.3,1495806,0
2006-02-05 00:00:00+05:30,749.9,827.3,745.1,822.7,1881825,0
2006-02-12 00:00:00+05:30,823.8,840.0,784.0,789.1,1835140,0
2006-02-19 00:00:00+05:30,806.8,821.8,768.0,789.45,1196873,0
2006-02-26 00:00:00+05:30,793.0,815.0,766.15,779.65,2195112,0
2006-03-05 00:00:00+05:30,788.45,818.0,764.3,803.65,2489515,0
2006-03-12 00:00:00+05:30,809.0,814.8,719.1,797.9,800028,0
2006-03-19 00:00:00+05:30,806.0,839.8,770.25,789.4,1219409,0
2006-03-26 00:00:00+05:30,794.75,810.0,774.15,790.45,1651286,0
2006-04-02 00:00:00+05:30,805.0,815.9,762.55,774.8,2374409,0
2006-04-09 00:00:00+05:30,772.0,788.9,712.0,724.6,1788356,0
2006-04-16 00:00:00+05:30,749.4,786.8,732.0,755.0,3664474,0
2006-04-23 00:00:00+05:30,759.7,765.0,692.1,744.3,1806628,0
2006-04-30 00:00:00+05:30,749.0,760.0,727.5,758.2,1144222,0
