time,open,high,low,close,volume,open_interest
2005-03-20 00:00:00+05:30,45.5,45.85,35.75,36.92,33141888,0
2005-03-27 00:00:00+05:30,37.67,39.65,35.66,39.16,45855195,0
2005-04-03 00:00:00+05:30,39.3,39.4,36.02,36.21,12976915,0
2005-04-10 00:00:00+05:30,36.15,37.45,35.1,35.42,8394776,0
2005-04-17 00:00:00+05:30,34.5,36.85,34.2,35.82,18337145,0
2005-04-24 00:00:00+05:30,35.9,36.0,31.25,31.57,9263765,0
2005-05-01 00:00:00+05:30,31.8,34.19,30.34,32.7,16490435,0
2005-05-08 00:00:00+05:30,32.65,34.2,30.29,33.75,9640235,0
2005-05-15 00:00:00+05:30,34.14,34.9,32.41,32.62,5258395,0
2005-05-22 00:00:00+05:30,32.51,32.79,29.5,30.7,13381995,0
2005-05-29 00:00:00+05:30,31.39,31.7,29.93,30.41,12838675,0
2005-06-05 00:00:00+05:30,30.25,30.57,28.61,28.72,8354545,0
2005-06-12 00:00:00+05:30,29.09,29.2,27.27,27.34,8716995,0
2005-06-19 00:00:00+05:30,27.7,28.39,27.01,27.14,13176984,0
2005-06-26 00:00:00+05:30,27.35,27.35,24.55,24.89,30784265,0
2005-07-03 00:00:00+05:30,24.91,27.99,24.8,26.72,13450725,0
2005-07-10 00:00:00+05:30,27.14,27.4,25.5,25.63,5144615,0
2005-07-17 00:00:00+05:30,25.73,28.23,25.73,27.54,11259165,0
2005-07-24 00:00:00+05:30,27.8,28.18,26.0,27.17,11723486,0
2005-07-31 00:00:00+05:30,27.27,28.44,26.1,27.75,10540195,0
2005-08-07 00:00:00+05:30,27.85,29.19,27.2,28.59,12961175,0
2005-08-14 00:00:00+05:30,28.66,29.63,27.7,28.37,8853766,0
2005-08-21 00:00:00+05:30,28.5,29.1,26.65,27.62,13541375,0
2005-08-28 00:00:00+05:30,27.6,28.31,26.5,27.86,5531375,0
2005-09-04 00:00:00+05:30,27.82,28.5,26.95,28.26,8586926,0
2005-09-11 00:00:00+05:30,28.5,31.75,28.5,31.45,30158025,0
2005-09-18 00:00:00+05:30,31.5,32.3,27.52,28.45,16469725,0
2005-09-25 00:00:00+05:30,28.51,30.2,28.1,29.0,10747515,0
2005-10-02 00:00:00+05:30,29.0,29.94,28.04,28.13,5261245,0
2005-10-09 00:00:00+05:30,28.13,28.49,25.65,25.76,6539596,0
2005-10-16 00:00:00+05:30,26.5,26.5,21.5,21.81,8396875,0
2005-10-23 00:00:00+05:30,21.85,22.13,19.95,20.16,7976885,0
2005-10-30 00:00:00+05:30,20.2,21.46,20.11,21.23,2029507,0
2005-11-06 00:00:00+05:30,21.48,21.98,20.8,21.41,8405295,0
2005-11-13 00:00:00+05:30,21.77,22.94,21.5,22.16,7008846,0
2005-11-20 00:00:00+05:30,22.2,22.2,20.11,20.22,6281335,0
2005-11-27 00:00:00+05:30,20.35,21.45,20.27,20.92,5721195,0
2005-12-04 00:00:00+05:30,21.0,21.45,20.36,21.34,5971285,0
2005-12-11 00:00:00+05:30,21.37,23.97,21.3,23.04,22643655,0
2005-12-18 00:00:00+05:30,23.1,23.89,21.5,22.04,24308245,0
2005-12-25 00:00:00+05:30,22.0,23.07,20.73,22.95,10692905,0
2006-01-01 00:00:00+05:30,23.0,23.41,21.73,22.09,5281195,0
2006-01-08 00:00:00+05:30,23.0,23.98,20.55,21.68,4910876,0
2006-01-15 00:00:00+05:30,22.12,22.12,19.87,20.41,14326195,0
2006-01-22 00:00:00+05:30,20.4,21.07,19.61,20.87,13167526,0
2006-01-29 00:00:00+05:30,21.1,21.2,18.51,18.56,9250715,0
2006-02-05 00:00:00+05:30,19.43,19.44,18.41,18.64,4916716,0
2006-02-12 00:00:00+05:30,18.7,19.82,18.55,18.86,6271275,0
2006-02-19 00:00:00+05:30,18.9,21.3,18.65,20.77,20493785,0
2006-02-26 00:00:00+05:30,21.09,23.53,19.73,23.23,28924115,0
2006-03-05 00:00:00+05:30,23.4,26.9,23.0,24.87,46027885,0
2006-03-12 00:00:00+05:30,24.9,25.57,23.72,23.85,10475336,0
2006-03-19 00:00:00+05:30,24.09,26.77,23.8,26.46,26498775,0
2006-03-26 00:00:00+05:30,26.61,35.0,26.61,30.29,41189765,0
2006-04-02 00:00:00+05:30,30.9,32.85,30.65,32.38,18954856,0
2006-04-09 00:00:00+05:30,33.5,37.0,31.63,35.08,23057197,0
2006-04-16 00:00:00+05:30,35.76,37.2,33.45,34.18,42781985,0
2006-04-23 00:00:00+05:30,34.53,35.94,30.0,34.52,19932715,0
2006-04-30 00:00:00+05:30,35.6,36.44,32.0,34.77,11310446,0
2006-05-07 00:00:00+05:30,34.9,35.08,30.2,31.38,10578655,0
2006-05-14 00:00:00+05:30,31.5,32.1,26.0,27.22,24540855,0
2006-05-21 00:00:00+05:30,28.99,29.0,22.51,28.04,17483105,0
2006-05-28 00:00:00+05:30,28.46,30.95,26.11,28.5,18133935,0
2006-06-04 00:00:00+05:30,29.8,29.8,20.5,25.57,6711155,0
2006-06-11 00:00:00+05:30,25.8,26.0,20.7,22.8,6129285,0
2006-06-18 00:00:00+05:30,23.1,27.2,23.04,26.98,10435565,0
2006-06-25 00:00:00+05:30,27.6,29.0,26.12,27.52,13426705,0
2006-07-02 00:00:00+05:30,28.1,28.94,26.95,27.74,10634765,0
2006-07-09 00:00:00+05:30,28.0,28.5,23.01,26.32,4182615,0
2006-07-16 00:00:00+05:30,26.5,26.5,24.35,24.46,2722505,0
2006-07-23 00:00:00+05:30,24.59,24.59,22.25,22.62,5110505,0
2006-07-30 00:00:00+05:30,23.5,25.3,23.0,24.03,3804745,0
2006-08-06 00:00:00+05:30,24.5,25.29,23.5,24.27,3078065,0
2006-08-13 00:00:00+05:30,24.57,28.28,24.32,27.68,8514986,0
2006-08-20 00:00:00+05:30,28.0,29.85,27.02,29.0,7201395,0
2006-08-27 00:00:00+05:30,30.0,30.0,27.41,27.67,5571355,0
2006-09-03 00:00:00+05:30,27.61,28.9,26.0,27.51,7071795,0
