time,open,high,low,close,volume,open_interest
2004-07-25 00:00:00+05:30,17.89,18.5,17.5,17.75,1106580,0
2004-08-01 00:00:00+05:30,17.99,19.1,17.9,18.77,7003660,0
2004-08-08 00:00:00+05:30,18.75,18.75,17.45,17.5,1759800,0
2004-08-15 00:00:00+05:30,17.65,17.95,17.41,17.51,1594160,0
2004-08-22 00:00:00+05:30,17.75,18.3,17.0,17.57,2058160,0
2004-08-29 00:00:00+05:30,16.8,17.8,16.8,17.59,466490,0
2004-09-05 00:00:00+05:30,17.62,17.85,16.1,17.26,850180,0
2004-09-12 00:00:00+05:30,17.3,18.5,16.99,18.3,2386050,0
2004-09-19 00:00:00+05:30,18.38,19.62,17.91,18.8,3328430,0
2004-09-26 00:00:00+05:30,18.8,19.11,18.2,18.82,974090,0
2004-10-03 00:00:00+05:30,18.98,19.35,18.6,18.7,1472660,0
2004-10-10 00:00:00+05:30,18.85,19.0,18.15,18.28,581380,0
2004-10-17 00:00:00+05:30,18.88,18.88,18.0,18.22,2914690,0
2004-10-24 00:00:00+05:30,18.11,18.25,17.3,17.95,1020830,0
2004-10-31 00:00:00+05:30,17.92,19.35,17.73,18.71,2449950,0
2004-11-07 00:00:00+05:30,18.95,19.5,18.61,18.84,2278360,0
2004-11-14 00:00:00+05:30,18.82,21.7,18.61,21.55,3704080,0
2004-11-21 00:00:00+05:30,21.7,25.16,21.39,24.07,5352470,0
2004-11-28 00:00:00+05:30,24.1,27.89,23.99,26.36,7677770,0
2004-12-05 00:00:00+05:30,26.36,27.7,24.41,24.55,2913740,0
2004-12-12 00:00:00+05:30,24.61,27.54,24.31,26.95,3429080,0
2004-12-19 00:00:00+05:30,27.0,28.0,25.5,27.57,2596550,0
2004-12-26 00:00:00+05:30,27.6,29.9,27.6,28.65,2464990,0
2005-01-02 00:00:00+05:30,29.0,30.4,26.3,28.41,3497180,0
2005-01-09 00:00:00+05:30,28.5,28.85,25.21,26.77,4840930,0
2005-01-16 00:00:00+05:30,27.27,27.39,26.1,26.85,692280,0
2005-01-23 00:00:00+05:30,27.0,28.5,25.34,27.82,569330,0
2005-01-30 00:00:00+05:30,28.0,31.4,28.0,30.8,2387440,0
2005-02-06 00:00:00+05:30,32.2,33.9,31.0,33.02,3762230,0
2005-02-13 00:00:00+05:30,33.49,33.5,29.7,30.0,3377910,0
2005-02-20 00:00:00+05:30,32.5,33.5,30.0,32.0,1614200,0
2005-02-27 00:00:00+05:30,32.1,39.4,30.5,36.21,11563320,0
2005-03-06 00:00:00+05:30,36.26,38.1,35.47,37.38,3011530,0
2005-03-13 00:00:00+05:30,37.88,39.88,35.71,36.48,3933930,0
2005-03-20 00:00:00+05:30,37.47,37.69,32.5,33.02,2740690,0
2005-03-27 00:00:00+05:30,33.2,37.5,30.02,33.92,2537700,0
2005-04-03 00:00:00+05:30,35.5,35.76,30.21,32.8,913560,0
2005-04-10 00:00:00+05:30,32.8,34.2,31.2,31.59,534630,0
2005-04-17 00:00:00+05:30,31.0,32.7,28.52,32.07,2152240,0
2005-04-24 00:00:00+05:30,32.2,32.59,29.51,30.3,865210,0
2005-05-01 00:00:00+05:30,30.5,34.98,29.66,32.19,2267320,0
2005-05-08 00:00:00+05:30,32.42,36.09,31.3,34.35,2818410,0
2005-05-15 00:00:00+05:30,34.3,35.5,31.66,34.7,2619130,0
2005-05-22 00:00:00+05:30,34.8,35.5,34.12,34.77,1111680,0
2005-05-29 00:00:00+05:30,35.0,41.59,34.4,37.92,24918330,0
2005-06-05 00:00:00+05:30,39.5,42.0,38.92,39.23,20426640,0
2005-06-12 00:00:00+05:30,39.0,39.5,37.0,37.78,3769610,0
2005-06-19 00:00:00+05:30,38.19,40.0,37.15,39.44,5366640,0
2005-06-26 00:00:00+05:30,39.4,40.2,38.21,39.45,1954630,0
2005-07-03 00:00:00+05:30,39.45,41.5,39.2,41.41,4108090,0
2005-07-10 00:00:00+05:30,42.2,46.28,41.0,41.13,2341490,0
2005-07-17 00:00:00+05:30,41.3,42.7,39.9,42.48,7419170,0
2005-07-24 00:00:00+05:30,42.48,43.7,41.6,42.62,2694900,0
2005-07-31 00:00:00+05:30,43.1,48.74,41.8,48.13,2760360,0
2005-08-07 00:00:00+05:30,49.0,54.78,48.3,49.12,3854160,0
2005-08-14 00:00:00+05:30,49.67,50.0,48.52,48.8,1784310,0
2005-08-21 00:00:00+05:30,50.5,55.12,46.01,53.59,8311936,0
2005-08-28 00:00:00+05:30,53.5,61.17,47.52,47.88,4212464,0
2005-09-04 00:00:00+05:30,48.25,49.21,47.62,47.96,1493532,0
2005-09-11 00:00:00+05:30,48.25,55.75,48.12,51.08,7801556,0
2005-09-18 00:00:00+05:30,51.46,53.75,47.5,48.76,4003640,0
2005-09-25 00:00:00+05:30,49.75,53.12,49.0,49.95,2790716,0
2005-10-02 00:00:00+05:30,51.12,51.25,46.05,47.2,5526536,0
2005-10-09 00:00:00+05:30,47.96,48.25,45.06,45.48,2161544,0
2005-10-16 00:00:00+05:30,45.8,46.24,40.66,43.73,1752172,0
2005-10-23 00:00:00+05:30,43.75,46.62,42.5,42.95,2894828,0
2005-10-30 00:00:00+05:30,43.5,48.0,42.52,47.67,1130484,0
2005-11-06 00:00:00+05:30,47.25,51.4,46.75,49.38,3521416,0
2005-11-13 00:00:00+05:30,49.38,52.41,49.38,51.59,3150500,0
2005-11-20 00:00:00+05:30,52.0,54.25,50.0,52.23,6167060,0
2005-11-27 00:00:00+05:30,52.38,58.91,51.02,56.81,11146432,0
2005-12-04 00:00:00+05:30,57.5,63.75,54.41,59.1,13061936,0
2005-12-11 00:00:00+05:30,60.0,62.25,56.25,60.74,14551312,0
2005-12-18 00:00:00+05:30,63.0,63.0,58.62,59.17,3444076,0
2005-12-25 00:00:00+05:30,59.17,59.17,54.77,55.85,4492220,0
2006-01-01 00:00:00+05:30,56.89,62.19,55.77,59.96,7019880,0
2006-01-08 00:00:00+05:30,60.0,61.0,57.02,57.56,3221796,0
2006-01-15 00:00:00+05:30,57.88,60.0,54.75,59.55,5606964,0
2006-01-22 00:00:00+05:30,59.48,61.0,56.75,59.98,3094800,0
2006-01-29 00:00:00+05:30,60.36,60.41,55.31,57.83,3325228,0
2006-02-05 00:00:00+05:30,58.71,64.97,57.75,60.06,10091304,0
2006-02-12 00:00:00+05:30,60.96,61.49,58.0,58.42,2700968,0
2006-02-19 00:00:00+05:30,58.27,59.5,56.8,58.45,1890164,0
2006-02-26 00:00:00+05:30,57.0,71.0,56.25,61.92,6356540,0
2006-03-05 00:00:00+05:30,62.25,62.75,57.02,59.06,6058180,0
