time,open,high,low,close,volume,open_interest
2004-07-25 00:00:00+05:30,84.45,92.78,83.89,86.08,18541246,0
2004-08-01 00:00:00+05:30,86.83,91.38,83.39,89.8,24482603,0
2004-08-08 00:00:00+05:30,88.89,91.33,84.63,85.15,14707683,0
2004-08-15 00:00:00+05:30,86.89,90.55,84.63,88.65,13808009,0
2004-08-22 00:00:00+05:30,89.43,93.89,87.45,90.79,19633864,0
2004-08-29 00:00:00+05:30,92.22,99.81,88.89,95.62,31169979,0
2004-09-05 00:00:00+05:30,96.33,97.33,93.78,94.4,16472923,0
2004-09-12 00:00:00+05:30,94.45,96.43,91.79,94.89,20977466,0
2004-09-19 00:00:00+05:30,95.17,98.0,94.45,97.17,11979641,0
2004-09-26 00:00:00+05:30,98.32,98.89,94.29,97.25,11607698,0
2004-10-03 00:00:00+05:30,97.78,99.43,93.33,93.57,10790221,0
2004-10-10 00:00:00+05:30,94.99,97.05,92.78,93.45,8379876,0
2004-10-17 00:00:00+05:30,94.11,94.45,90.71,91.19,8153877,0
2004-10-24 00:00:00+05:30,91.63,92.98,87.82,92.25,17042489,0
2004-10-31 00:00:00+05:30,91.89,94.11,90.67,93.58,7337641,0
2004-11-07 00:00:00+05:30,93.67,96.55,93.33,95.37,8155102,0
2004-11-14 00:00:00+05:30,95.45,96.94,93.45,94.29,6341405,0
2004-11-21 00:00:00+05:30,95.52,97.55,92.37,97.27,5434988,0
2004-11-28 00:00:00+05:30,96.67,111.65,94.89,110.82,36788370,0
2004-12-05 00:00:00+05:30,111.11,112.21,100.0,100.69,23325042,0
2004-12-12 00:00:00+05:30,101.11,110.66,100.69,104.54,28341776,0
2004-12-19 00:00:00+05:30,106.11,111.0,104.45,108.65,20892667,0
2004-12-26 00:00:00+05:30,108.33,113.45,107.45,109.39,13094613,0
2005-01-02 00:00:00+05:30,111.0,111.0,104.05,108.28,12828879,0
2005-01-09 00:00:00+05:30,108.45,109.99,100.57,100.97,12544931,0
2005-01-16 00:00:00+05:30,101.87,106.33,100.67,105.85,9905907,0
2005-01-23 00:00:00+05:30,107.11,109.37,98.89,107.25,13429243,0
2005-01-30 00:00:00+05:30,107.78,112.22,107.32,110.05,17757985,0
2005-02-06 00:00:00+05:30,110.22,111.67,106.91,110.56,11226555,0
2005-02-13 00:00:00+05:30,114.99,115.17,109.45,113.92,15310206,0
2005-02-20 00:00:00+05:30,112.33,122.66,112.22,120.26,20151096,0
2005-02-27 00:00:00+05:30,120.0,127.75,119.79,124.18,21464140,0
2005-03-06 00:00:00+05:30,125.89,126.0,120.55,121.54,8786641,0
2005-03-13 00:00:00+05:30,121.11,123.33,114.17,114.75,8776264,0
2005-03-20 00:00:00+05:30,114.68,116.33,107.25,107.95,7647557,0
2005-03-27 00:00:00+05:30,114.11,114.11,107.55,113.45,9220045,0
2005-04-03 00:00:00+05:30,113.33,117.22,108.33,109.29,11671985,0
2005-04-10 00:00:00+05:30,109.67,110.31,104.35,105.8,10088067,0
2005-04-17 00:00:00+05:30,105.22,110.89,103.13,110.27,10944103,0
2005-04-24 00:00:00+05:30,111.08,111.08,102.22,107.4,5361898,0
2005-05-01 00:00:00+05:30,108.63,116.0,106.89,112.41,7304755,0
2005-05-08 00:00:00+05:30,113.22,114.43,111.0,113.45,8768650,0
2005-05-15 00:00:00+05:30,113.33,120.77,112.56,119.67,10477620,0
2005-05-22 00:00:00+05:30,119.45,126.1,118.9,121.74,11727306,0
2005-05-29 00:00:00+05:30,120.45,124.33,114.33,123.63,15162748,0
2005-06-05 00:00:00+05:30,122.11,127.78,121.68,122.34,12992114,0
2005-06-12 00:00:00+05:30,122.99,128.33,122.24,123.93,12689388,0
2005-06-19 00:00:00+05:30,124.45,127.11,122.22,126.31,14509504,0
2005-06-26 00:00:00+05:30,125.11,132.45,123.67,131.42,16601516,0
2005-07-03 00:00:00+05:30,131.11,137.11,128.89,136.05,11542826,0
2005-07-10 00:00:00+05:30,135.67,140.94,133.33,140.13,8647231,0
2005-07-17 00:00:00+05:30,140.45,145.39,138.33,139.7,8825827,0
2005-07-24 00:00:00+05:30,140.22,142.45,135.55,140.89,10776394,0
2005-07-31 00:00:00+05:30,141.11,152.67,137.9,148.22,10174664,0
2005-08-07 00:00:00+05:30,149.52,150.33,142.04,146.97,7752730,0
2005-08-14 00:00:00+05:30,148.31,153.32,144.89,148.09,6323855,0
2005-08-21 00:00:00+05:30,149.43,151.42,136.65,147.39,9749218,0
2005-08-28 00:00:00+05:30,148.67,152.43,145.41,145.82,11663525,0
2005-09-04 00:00:00+05:30,147.63,149.89,144.61,148.53,4993619,0
2005-09-11 00:00:00+05:30,148.53,151.67,146.12,151.15,7512007,0
2005-09-18 00:00:00+05:30,151.67,158.33,149.67,152.53,10114114,0
2005-09-25 00:00:00+05:30,155.0,177.67,153.28,168.77,12904013,0
2005-10-02 00:00:00+05:30,168.78,175.0,163.78,166.33,8647447,0
2005-10-09 00:00:00+05:30,168.22,168.33,156.11,157.38,5970416,0
2005-10-16 00:00:00+05:30,156.89,162.0,144.22,147.39,11556497,0
2005-10-23 00:00:00+05:30,149.45,154.22,142.87,149.38,12208493,0
2005-10-30 00:00:00+05:30,149.97,168.33,147.22,167.53,5973844,0
2005-11-06 00:00:00+05:30,157.78,177.64,157.78,175.04,16048683,0
2005-11-13 00:00:00+05:30,176.0,176.63,170.78,173.29,5088308,0
2005-11-20 00:00:00+05:30,174.33,183.33,169.0,182.13,11298748,0
2005-11-27 00:00:00+05:30,188.33,201.11,183.69,196.02,22106855,0
2005-12-04 00:00:00+05:30,197.55,197.78,185.0,189.61,10416692,0
2005-12-11 00:00:00+05:30,190.0,199.67,188.67,190.02,15177017,0
