time,open,high,low,close,volume,open_interest
2004-07-25 00:00:00+05:30,58.45,58.45,54.62,56.47,85086920,0
2004-08-01 00:00:00+05:30,56.73,58.91,54.39,55.37,75242480,0
2004-08-08 00:00:00+05:30,54.76,57.95,53.81,54.09,62956296,0
2004-08-15 00:00:00+05:30,55.64,55.96,51.73,52.16,53794344,0
2004-08-22 00:00:00+05:30,52.48,53.66,50.68,51.31,80383640,0
2004-08-29 00:00:00+05:30,51.98,54.79,51.93,54.59,61386552,0
2004-09-05 00:00:00+05:30,54.91,55.95,54.02,54.81,33910712,0
2004-09-12 00:00:00+05:30,54.92,56.77,53.98,56.43,33155936,0
2004-09-19 00:00:00+05:30,56.74,57.32,55.24,55.49,40528592,0
2004-09-26 00:00:00+05:30,55.35,55.82,52.99,55.15,36299024,0
2004-10-03 00:00:00+05:30,55.5,58.04,55.42,56.19,36847248,0
2004-10-10 00:00:00+05:30,56.22,56.69,53.11,53.37,17362320,0
2004-10-17 00:00:00+05:30,53.61,54.98,52.42,53.82,23564320,0
2004-10-24 00:00:00+05:30,53.54,58.48,51.26,55.57,37364648,0
2004-10-31 00:00:00+05:30,55.67,56.85,53.26,55.67,25797728,0
2004-11-07 00:00:00+05:30,55.98,57.19,55.67,56.52,20845960,0
2004-11-14 00:00:00+05:30,56.79,60.22,56.62,58.12,27542816,0
2004-11-21 00:00:00+05:30,58.1,61.07,57.39,60.48,24031072,0
2004-11-28 00:00:00+05:30,56.23,63.98,56.23,62.33,54113440,0
2004-12-05 00:00:00+05:30,62.85,64.25,60.79,62.58,41041216,0
2004-12-12 00:00:00+05:30,62.48,67.22,62.16,66.16,38854680,0
2004-12-19 00:00:00+05:30,66.44,69.15,64.91,67.56,28630208,0
2004-12-26 00:00:00+05:30,67.72,69.09,66.24,68.16,20979696,0
2005-01-02 00:00:00+05:30,68.36,70.35,63.88,65.93,23308288,0
2005-01-09 00:00:00+05:30,62.73,66.59,59.35,62.66,25685376,0
2005-01-16 00:00:00+05:30,62.73,63.1,58.95,59.92,27750368,0
2005-01-23 00:00:00+05:30,60.1,67.65,59.6,66.66,36251120,0
2005-01-30 00:00:00+05:30,67.04,69.35,66.26,67.93,30014760,0
