time,open,high,low,close,volume,open_interest
2004-07-25 00:00:00+05:30,44.24,50.69,40.63,41.71,282924184,0
2004-08-01 00:00:00+05:30,41.8,43.1,41.0,41.61,193896423,0
2004-08-08 00:00:00+05:30,41.49,43.76,41.04,42.07,265014101,0
2004-08-15 00:00:00+05:30,41.89,42.32,40.1,40.38,188838700,0
2004-08-22 00:00:00+05:30,40.37,41.49,39.16,40.96,151429131,0
2004-08-29 00:00:00+05:30,41.32,43.73,41.25,43.61,168391039,0
2004-09-05 00:00:00+05:30,43.6,44.23,43.12,44.03,139772079,0
2004-09-12 00:00:00+05:30,43.87,45.51,42.56,45.34,143245486,0
2004-09-19 00:00:00+05:30,45.33,46.93,44.91,45.16,150802839,0
2004-09-26 00:00:00+05:30,44.82,45.4,43.64,45.18,114317522,0
2004-10-03 00:00:00+05:30,45.46,47.05,44.84,46.15,162932601,0
2004-10-10 00:00:00+05:30,46.22,46.33,43.75,43.93,88410860,0
2004-10-17 00:00:00+05:30,44.14,44.86,43.06,43.62,74543256,0
2004-10-24 00:00:00+05:30,43.63,43.68,41.14,42.21,125531892,0
2004-10-31 00:00:00+05:30,42.31,47.17,42.22,47.02,154618418,0
2004-11-07 00:00:00+05:30,47.22,51.7,46.04,46.42,85225292,0
2004-11-14 00:00:00+05:30,46.25,49.58,46.07,48.13,132305186,0
2004-11-21 00:00:00+05:30,47.57,49.29,47.57,48.36,93546862,0
2004-11-28 00:00:00+05:30,48.94,55.66,48.94,54.52,221130215,0
2004-12-05 00:00:00+05:30,55.17,63.02,47.55,56.14,234845202,0
2004-12-12 00:00:00+05:30,56.31,60.85,47.83,55.02,151757767,0
2004-12-19 00:00:00+05:30,55.19,58.2,54.79,57.45,125653686,0
2004-12-26 00:00:00+05:30,56.7,61.75,56.6,61.51,152891228,0
2005-01-02 00:00:00+05:30,61.75,62.54,55.76,58.08,179664948,0
2005-01-09 00:00:00+05:30,59.91,59.91,53.02,54.57,166694239,0
2005-01-16 00:00:00+05:30,55.47,56.55,53.5,54.37,101158389,0
2005-01-23 00:00:00+05:30,54.43,59.15,53.26,58.7,134329225,0
2005-01-30 00:00:00+05:30,59.06,63.11,59.06,61.15,196992337,0
2005-02-06 00:00:00+05:30,61.6,62.25,52.8,61.7,135430441,0
2005-02-13 00:00:00+05:30,62.08,63.94,61.47,62.1,169786516,0
2005-02-20 00:00:00+05:30,62.43,65.61,61.43,64.63,210650531,0
2005-02-27 00:00:00+05:30,65.55,68.49,63.21,67.31,227156793,0
2005-03-06 00:00:00+05:30,67.59,70.85,67.19,69.52,174182459,0
2005-03-13 00:00:00+05:30,69.53,70.12,67.2,68.66,128190320,0
2005-03-20 00:00:00+05:30,68.95,69.0,61.43,62.68,165383761,0
2005-03-27 00:00:00+05:30,64.06,64.06,60.1,63.22,179915019,0
2005-04-03 00:00:00+05:30,63.22,64.72,60.56,61.62,115336908,0
2005-04-10 00:00:00+05:30,61.62,62.17,58.4,58.66,76081525,0
2005-04-17 00:00:00+05:30,57.55,59.89,57.29,58.53,134261968,0
2005-04-24 00:00:00+05:30,58.95,59.6,54.91,55.18,127122164,0
2005-05-01 00:00:00+05:30,55.47,58.85,54.35,58.22,140041146,0
2005-05-08 00:00:00+05:30,58.49,59.13,57.42,58.43,75754383,0
2005-05-15 00:00:00+05:30,61.13,61.5,58.59,61.23,160826074,0
2005-05-22 00:00:00+05:30,61.52,64.79,61.13,63.05,160041443,0
2005-05-29 00:00:00+05:30,63.21,63.67,61.66,62.5,103754353,0
2005-06-05 00:00:00+05:30,63.02,65.63,63.02,64.21,107311170,0
2005-06-12 00:00:00+05:30,64.25,65.37,54.15,62.96,88312483,0
2005-06-19 00:00:00+05:30,63.39,65.0,61.7,64.02,163433019,0
2005-06-26 00:00:00+05:30,63.87,66.88,62.08,66.63,140751770,0
2005-07-03 00:00:00+05:30,66.99,68.66,66.23,67.71,128119397,0
2005-07-10 00:00:00+05:30,68.21,69.34,66.7,67.85,97599050,0
2005-07-17 00:00:00+05:30,68.3,69.31,66.6,68.03,74967100,0
2005-07-24 00:00:00+05:30,68.2,76.36,68.2,75.5,155498694,0
2005-07-31 00:00:00+05:30,75.38,77.45,74.07,76.02,105518283,0
2005-08-07 00:00:00+05:30,76.39,77.73,72.36,76.52,124219039,0
2005-08-14 00:00:00+05:30,76.6,78.11,75.5,75.98,67097572,0
2005-08-21 00:00:00+05:30,76.21,76.56,72.18,73.74,92736388,0
2005-08-28 00:00:00+05:30,73.96,76.37,70.76,76.05,68188761,0
2005-09-04 00:00:00+05:30,76.37,81.32,76.1,80.92,80447925,0
2005-09-11 00:00:00+05:30,81.13,87.72,80.65,85.02,138253442,0
2005-09-18 00:00:00+05:30,85.37,87.55,82.1,83.96,157138944,0
2005-09-25 00:00:00+05:30,84.25,90.57,80.71,88.51,117414772,0
2005-10-02 00:00:00+05:30,88.49,90.57,85.42,86.49,104182767,0
2005-10-09 00:00:00+05:30,86.64,89.34,84.06,85.9,123697326,0
2005-10-16 00:00:00+05:30,86.69,87.97,80.33,83.65,186450770,0
2005-10-23 00:00:00+05:30,84.15,84.31,75.9,76.46,198113089,0
2005-10-30 00:00:00+05:30,76.89,82.05,76.89,78.31,56949768,0
2005-11-06 00:00:00+05:30,78.5,82.33,77.83,82.17,153435997,0
2005-11-13 00:00:00+05:30,82.36,86.97,81.75,85.87,95018160,0
2005-11-20 00:00:00+05:30,85.86,86.13,82.27,85.58,137105957,0
2005-11-27 00:00:00+05:30,86.04,88.68,79.25,85.89,140239957,0
2005-12-04 00:00:00+05:30,85.58,86.59,82.55,84.76,110204754,0
2005-12-11 00:00:00+05:30,84.72,88.61,83.49,87.0,161668146,0
2005-12-18 00:00:00+05:30,87.17,89.33,83.83,84.22,133295263,0
2005-12-25 00:00:00+05:30,83.77,86.09,81.33,85.68,129053422,0
2006-01-01 00:00:00+05:30,86.09,89.62,85.11,88.69,124559707,0
2006-01-08 00:00:00+05:30,89.41,89.41,85.28,87.15,105470890,0
2006-01-15 00:00:00+05:30,87.36,87.68,83.27,85.55,108318101,0
2006-01-22 00:00:00+05:30,85.53,86.7,83.05,86.2,101382492,0
2006-01-29 00:00:00+05:30,85.38,86.02,80.61,80.87,133770283,0
2006-02-05 00:00:00+05:30,80.76,83.9,80.76,83.01,72214251,0
2006-02-12 00:00:00+05:30,83.77,83.91,80.72,80.92,63037984,0
2006-02-19 00:00:00+05:30,81.05,82.9,80.02,82.64,93368106,0
2006-02-26 00:00:00+05:30,83.02,85.67,82.19,84.44,110969140,0
2006-03-05 00:00:00+05:30,84.88,87.66,82.7,86.83,122010765,0
