time,open,high,low,close,volume,open_interest
2004-07-25 00:00:00+05:30,32.57,32.74,31.45,31.7,3274515,0
2004-08-01 00:00:00+05:30,32.11,32.74,31.09,31.36,3243365,0
2004-08-08 00:00:00+05:30,31.32,35.51,31.25,33.54,10761385,0
2004-08-15 00:00:00+05:30,33.94,37.79,33.19,34.58,20073325,0
2004-08-22 00:00:00+05:30,34.08,35.23,33.69,34.44,4915765,0
2004-08-29 00:00:00+05:30,34.53,34.84,33.47,34.01,3705995,0
2004-09-05 00:00:00+05:30,34.1,34.97,33.37,34.01,6478765,0
2004-09-12 00:00:00+05:30,34.41,35.93,34.08,35.77,8875755,0
2004-09-19 00:00:00+05:30,36.05,38.13,34.81,37.16,5805355,0
2004-09-26 00:00:00+05:30,37.9,39.88,34.81,37.55,10500795,0
2004-10-03 00:00:00+05:30,38.0,39.98,36.68,37.95,8039725,0
2004-10-10 00:00:00+05:30,38.37,38.62,37.15,38.36,3053146,0
2004-10-17 00:00:00+05:30,37.88,40.42,37.35,40.2,9987976,0
2004-10-24 00:00:00+05:30,40.23,40.57,38.28,39.43,6473815,0
2004-10-31 00:00:00+05:30,39.87,42.1,39.44,40.94,5719605,0
2004-11-07 00:00:00+05:30,40.95,41.8,39.71,40.04,2591015,0
2004-11-14 00:00:00+05:30,39.97,44.16,39.97,43.75,7306936,0
2004-11-21 00:00:00+05:30,43.72,48.52,43.63,46.41,7050266,0
2004-11-28 00:00:00+05:30,46.48,46.92,43.72,44.26,7383715,0
2004-12-05 00:00:00+05:30,44.43,45.5,43.67,44.13,2935125,0
2004-12-12 00:00:00+05:30,44.49,49.52,43.13,47.68,8837295,0
2004-12-19 00:00:00+05:30,48.51,49.84,46.84,48.73,4961465,0
2004-12-26 00:00:00+05:30,48.63,51.3,46.48,49.57,4340685,0
2005-01-02 00:00:00+05:30,50.59,50.59,43.73,45.16,6724615,0
2005-01-09 00:00:00+05:30,44.61,46.1,39.26,39.91,8014285,0
2005-01-16 00:00:00+05:30,40.15,43.08,38.59,41.1,4819816,0
2005-01-23 00:00:00+05:30,41.71,44.43,40.69,43.69,5874636,0
2005-01-30 00:00:00+05:30,43.99,45.82,43.0,43.95,6700745,0
2005-02-06 00:00:00+05:30,43.46,44.62,43.27,44.56,3057115,0
2005-02-13 00:00:00+05:30,41.51,45.5,41.14,42.42,3748915,0
2005-02-20 00:00:00+05:30,43.26,44.31,41.31,42.75,17107425,0
2005-02-27 00:00:00+05:30,43.24,43.63,41.63,43.24,5910865,0
2005-03-06 00:00:00+05:30,43.38,44.08,42.83,43.4,6099885,0
2005-03-13 00:00:00+05:30,43.21,43.9,42.47,43.2,2861935,0
2005-03-20 00:00:00+05:30,43.18,43.18,41.76,42.23,2528716,0
2005-03-27 00:00:00+05:30,42.25,42.77,41.04,41.51,3432515,0
2005-04-03 00:00:00+05:30,41.53,42.38,40.36,41.07,3352185,0
2005-04-10 00:00:00+05:30,41.22,41.49,33.45,41.18,1494266,0
2005-04-17 00:00:00+05:30,40.7,44.25,40.15,44.17,4315395,0
2005-04-24 00:00:00+05:30,43.27,46.91,41.54,44.55,4390695,0
2005-05-01 00:00:00+05:30,41.23,45.0,41.23,44.04,2715085,0
2005-05-08 00:00:00+05:30,44.08,45.85,43.72,45.36,3248035,0
2005-05-15 00:00:00+05:30,45.36,46.21,44.61,45.61,1771475,0
2005-05-22 00:00:00+05:30,45.95,50.68,45.45,48.56,7768175,0
2005-05-29 00:00:00+05:30,48.7,49.16,46.84,48.51,3367895,0
2005-06-05 00:00:00+05:30,48.74,49.96,47.98,49.08,2607615,0
2005-06-12 00:00:00+05:30,48.8,50.95,48.18,50.0,4262985,0
2005-06-19 00:00:00+05:30,51.54,53.53,48.73,50.76,4787154,0
2005-06-26 00:00:00+05:30,50.95,53.53,49.79,52.46,6415745,0
2005-07-03 00:00:00+05:30,52.46,56.21,51.75,55.07,3354005,0
2005-07-10 00:00:00+05:30,55.41,56.19,51.35,53.99,2625765,0
2005-07-17 00:00:00+05:30,53.98,58.36,53.53,56.15,5876695,0
2005-07-24 00:00:00+05:30,57.8,61.26,52.38,55.45,7550286,0
2005-07-31 00:00:00+05:30,56.39,56.63,53.8,54.74,4468625,0
2005-08-07 00:00:00+05:30,55.14,56.12,53.09,55.23,3851875,0
2005-08-14 00:00:00+05:30,55.23,57.52,54.6,55.56,3703446,0
2005-08-21 00:00:00+05:30,56.2,56.66,53.53,56.43,6162565,0
2005-08-28 00:00:00+05:30,56.66,57.1,55.32,56.53,2832475,0
2005-09-04 00:00:00+05:30,57.01,57.99,56.12,56.73,1429596,0
2005-09-11 00:00:00+05:30,56.39,61.38,56.31,58.88,3700525,0
2005-09-18 00:00:00+05:30,58.89,60.22,57.1,57.28,3781985,0
2005-09-25 00:00:00+05:30,57.99,60.21,56.84,59.69,11490555,0
2005-10-02 00:00:00+05:30,59.33,59.69,57.32,57.8,2724605,0
2005-10-09 00:00:00+05:30,58.8,59.69,56.39,58.87,2814626,0
2005-10-16 00:00:00+05:30,58.17,59.77,54.43,58.39,3689115,0
2005-10-23 00:00:00+05:30,58.44,58.62,49.25,52.81,7374725,0
2005-10-30 00:00:00+05:30,52.19,55.76,52.19,53.44,1338767,0
2005-11-06 00:00:00+05:30,52.73,56.2,52.64,55.3,6647595,0
2005-11-13 00:00:00+05:30,55.42,57.99,54.63,57.57,4848526,0
2005-11-20 00:00:00+05:30,58.26,59.33,56.39,57.97,6977045,0
2005-11-27 00:00:00+05:30,58.53,63.7,58.0,61.38,5788635,0
2005-12-04 00:00:00+05:30,59.83,63.07,59.02,61.76,4181545,0
2005-12-11 00:00:00+05:30,60.76,64.66,59.96,62.79,3727225,0
2005-12-18 00:00:00+05:30,61.74,63.34,58.98,59.89,5763735,0
2005-12-25 00:00:00+05:30,60.62,61.55,56.77,60.81,4824725,0
2006-01-01 00:00:00+05:30,60.14,62.28,59.89,60.63,6619545,0
2006-01-08 00:00:00+05:30,60.64,61.74,56.66,60.14,3774946,0
2006-01-15 00:00:00+05:30,60.58,61.11,59.16,59.77,4091735,0
2006-01-22 00:00:00+05:30,59.78,61.81,59.06,61.03,6242056,0
2006-01-29 00:00:00+05:30,61.47,69.15,60.22,68.68,17657785,0
2006-02-05 00:00:00+05:30,69.06,73.69,67.18,70.45,11882416,0
2006-02-12 00:00:00+05:30,70.83,71.29,67.54,67.81,7134635,0
2006-02-19 00:00:00+05:30,67.36,70.93,67.0,69.54,7636405,0
2006-02-26 00:00:00+05:30,69.86,71.8,66.97,69.7,5107025,0
2006-03-05 00:00:00+05:30,70.65,71.2,62.81,70.15,10425175,0
2006-03-12 00:00:00+05:30,70.48,73.01,68.3,72.26,8062836,0
2006-03-19 00:00:00+05:30,72.62,75.35,71.82,74.04,6882535,0
2006-03-26 00:00:00+05:30,74.04,83.42,73.16,76.69,7872835,0
2006-04-02 00:00:00+05:30,77.62,81.18,75.39,79.63,4833976,0
2006-04-09 00:00:00+05:30,76.37,79.52,74.68,76.2,3763067,0
2006-04-16 00:00:00+05:30,72.5,84.53,72.5,79.47,9427515,0
2006-04-23 00:00:00+05:30,80.39,80.39,69.59,77.93,12524895,0
2006-04-30 00:00:00+05:30,77.0,82.92,77.0,82.15,11095226,0
2006-05-07 00:00:00+05:30,80.84,82.35,77.71,78.04,4024125,0
2006-05-14 00:00:00+05:30,80.25,80.25,74.05,75.25,6101195,0
2006-05-21 00:00:00+05:30,73.18,82.07,67.9,75.79,21608105,0
2006-05-28 00:00:00+05:30,77.53,77.53,67.36,72.61,6280905,0
2006-06-04 00:00:00+05:30,80.03,80.03,56.8,64.26,7740765,0
2006-06-11 00:00:00+05:30,64.69,66.83,60.22,65.69,7438025,0
2006-06-18 00:00:00+05:30,66.02,67.45,59.83,66.76,4890915,0
2006-06-25 00:00:00+05:30,67.54,70.93,63.53,70.28,16948185,0
2006-07-02 00:00:00+05:30,70.28,70.4,65.58,66.4,4413835,0
2006-07-09 00:00:00+05:30,66.51,70.48,65.43,67.26,4671805,0
2006-07-16 00:00:00+05:30,67.54,68.65,64.24,66.8,5808815,0
2006-07-23 00:00:00+05:30,65.43,74.5,65.43,73.38,9671045,0
2006-07-30 00:00:00+05:30,73.38,74.5,69.82,70.66,3819535,0
2006-08-06 00:00:00+05:30,70.84,75.12,69.16,72.35,4322915,0
2006-08-13 00:00:00+05:30,70.6,77.44,70.6,77.27,6316196,0
2006-08-20 00:00:00+05:30,77.53,81.73,72.63,79.92,11847005,0
2006-08-27 00:00:00+05:30,80.3,82.73,75.84,82.41,9341165,0
2006-09-03 00:00:00+05:30,83.38,83.69,80.85,82.02,4718575,0
2006-09-10 00:00:00+05:30,83.69,83.69,79.41,82.87,4605645,0
2006-09-17 00:00:00+05:30,82.15,84.31,79.42,82.52,6489815,0
2006-09-24 00:00:00+05:30,82.8,85.11,81.91,83.1,7220875,0
2006-10-01 00:00:00+05:30,82.98,84.67,82.54,83.46,4913976,0
2006-10-08 00:00:00+05:30,83.42,83.87,79.42,82.58,6131005,0
2006-10-15 00:00:00+05:30,82.08,82.71,80.4,81.15,2876075,0
2006-10-22 00:00:00+05:30,81.99,82.71,79.5,81.1,3006647,0
2006-10-29 00:00:00+05:30,81.08,82.89,79.05,81.21,5229455,0
2006-11-05 00:00:00+05:30,81.31,86.9,79.55,85.02,10038055,0
2006-11-12 00:00:00+05:30,85.63,89.13,83.97,86.95,13897555,0
2006-11-19 00:00:00+05:30,87.04,90.02,84.59,87.64,8962515,0
2006-11-26 00:00:00+05:30,88.78,94.93,86.99,92.59,15812215,0
2006-12-03 00:00:00+05:30,93.33,94.12,87.88,88.74,4940365,0
2006-12-10 00:00:00+05:30,89.67,90.38,80.75,87.44,8091195,0
2006-12-17 00:00:00+05:30,88.3,88.3,81.64,84.85,10054575,0
2006-12-24 00:00:00+05:30,85.03,89.58,84.43,87.65,15222616,0
2006-12-31 00:00:00+05:30,87.79,89.4,86.83,87.52,8769186,0
2007-01-07 00:00:00+05:30,87.44,93.31,85.83,91.93,12037945,0
2007-01-14 00:00:00+05:30,91.99,94.83,91.01,91.72,10014375,0
2007-01-21 00:00:00+05:30,92.17,96.43,90.23,92.76,8811476,0
2007-01-28 00:00:00+05:30,91.9,94.13,89.91,93.13,7763616,0
2007-02-04 00:00:00+05:30,92.36,95.45,91.55,92.3,7888135,0
2007-02-11 00:00:00+05:30,91.02,92.79,88.34,91.99,4049176,0
2007-02-18 00:00:00+05:30,91.63,93.48,85.47,86.92,17569825,0
2007-02-25 00:00:00+05:30,87.43,89.22,80.21,86.46,14421645,0
2007-03-04 00:00:00+05:30,84.67,88.33,81.55,87.84,6291255,0
2007-03-11 00:00:00+05:30,87.97,92.79,86.19,90.33,8545935,0
2007-03-18 00:00:00+05:30,90.27,92.97,88.07,91.92,10215165,0
2007-03-25 00:00:00+05:30,91.9,94.98,87.44,94.26,10073526,0
2007-04-01 00:00:00+05:30,93.33,94.31,90.56,92.97,8655256,0
2007-04-08 00:00:00+05:30,92.97,99.66,92.08,97.98,12246945,0
2007-04-15 00:00:00+05:30,98.14,107.07,96.55,105.5,26864955,0
2007-04-22 00:00:00+05:30,109.91,111.1,98.5,103.81,19959385,0
2007-04-29 00:00:00+05:30,103.9,105.0,97.56,100.14,5620497,0
2007-05-06 00:00:00+05:30,101.3,102.9,91.0,97.74,6362895,0
2007-05-13 00:00:00+05:30,98.0,106.03,95.53,101.34,5116095,0
2007-05-20 00:00:00+05:30,103.9,111.0,103.47,106.51,13305245,0
2007-05-27 00:00:00+05:30,107.2,113.5,105.95,109.67,11938625,0
2007-06-03 00:00:00+05:30,111.8,111.8,102.97,106.01,5626775,0
2007-06-10 00:00:00+05:30,106.2,110.7,104.0,105.75,6019495,0
2007-06-17 00:00:00+05:30,108.0,108.0,102.0,106.52,5887735,0
2007-06-24 00:00:00+05:30,106.49,106.99,100.2,102.55,15187205,0
2007-07-01 00:00:00+05:30,102.61,105.3,100.0,101.41,8168485,0
2007-07-08 00:00:00+05:30,101.0,102.72,97.6,101.61,8865305,0
2007-07-15 00:00:00+05:30,101.72,102.5,97.61,98.01,7673765,0
2007-07-22 00:00:00+05:30,98.0,99.9,91.0,93.39,17926765,0
2007-07-29 00:00:00+05:30,93.3,98.25,90.0,92.63,10063555,0
2007-08-05 00:00:00+05:30,90.5,95.89,90.0,91.5,10173995,0
2007-08-12 00:00:00+05:30,91.5,95.0,85.5,93.56,7614976,0
2007-08-19 00:00:00+05:30,94.8,97.5,89.4,89.78,9773655,0
2007-08-26 00:00:00+05:30,90.0,94.5,89.11,92.94,10227155,0
2007-09-02 00:00:00+05:30,92.3,102.0,91.62,101.08,11221535,0
2007-09-09 00:00:00+05:30,99.5,103.8,98.2,99.67,7432055,0
2007-09-16 00:00:00+05:30,99.6,101.93,96.06,97.28,6772835,0
2007-09-23 00:00:00+05:30,99.6,99.88,93.11,96.48,11817255,0
2007-09-30 00:00:00+05:30,97.5,98.1,93.6,95.67,5164636,0
2007-10-07 00:00:00+05:30,96.42,98.8,91.6,97.12,12358775,0
2007-10-14 00:00:00+05:30,98.2,101.0,86.0,98.67,11098125,0
2007-10-21 00:00:00+05:30,97.99,104.77,96.0,104.06,9864945,0
2007-10-28 00:00:00+05:30,105.05,107.9,102.25,107.08,7011645,0
2007-11-04 00:00:00+05:30,105.1,109.9,99.0,103.75,19361085,0
2007-11-11 00:00:00+05:30,104.0,115.0,102.6,110.59,7545445,0
2007-11-18 00:00:00+05:30,112.99,116.97,105.7,110.11,8724995,0
2007-11-25 00:00:00+05:30,110.0,112.9,109.5,110.26,5722895,0
2007-12-02 00:00:00+05:30,111.2,113.5,106.5,111.34,7288245,0
2007-12-09 00:00:00+05:30,111.6,119.0,109.0,113.85,4700895,0
2007-12-16 00:00:00+05:30,110.37,119.6,106.7,118.19,5954436,0
2007-12-23 00:00:00+05:30,118.4,127.39,114.22,121.47,7279916,0
2007-12-30 00:00:00+05:30,122.5,123.4,110.03,111.15,6206735,0
2008-01-06 00:00:00+05:30,112.5,115.1,107.6,114.58,12753555,0
2008-01-13 00:00:00+05:30,114.98,115.7,107.11,108.83,4717435,0
2008-01-20 00:00:00+05:30,108.1,109.1,87.0,97.61,12641315,0
2008-01-27 00:00:00+05:30,97.6,117.49,93.26,111.9,15211855,0
2008-02-03 00:00:00+05:30,114.3,117.4,105.2,111.91,5343765,0
2008-02-10 00:00:00+05:30,112.5,115.0,105.06,111.39,5685755,0
2008-02-17 00:00:00+05:30,112.49,115.0,105.1,110.44,8949205,0
2008-02-24 00:00:00+05:30,110.1,128.0,109.11,122.7,15211285,0
2008-03-02 00:00:00+05:30,120.8,135.0,118.3,131.84,12638426,0
2008-03-09 00:00:00+05:30,130.1,138.5,118.49,129.26,15660345,0
2008-03-16 00:00:00+05:30,126.69,129.98,119.0,125.99,9192927,0
2008-03-23 00:00:00+05:30,124.65,131.4,117.71,125.24,32271275,0
2008-03-30 00:00:00+05:30,121.06,130.0,118.1,124.11,15035425,0
