time,open,high,low,close,volume,open_interest
2004-07-25 00:00:00+05:30,39.3,42.63,38.7,41.95,21540925,0
2004-08-01 00:00:00+05:30,42.19,42.9,40.25,41.02,21167385,0
2004-08-08 00:00:00+05:30,40.77,41.85,39.76,40.05,17209285,0
2004-08-15 00:00:00+05:30,40.5,40.66,38.24,38.37,9832485,0
2004-08-22 00:00:00+05:30,38.7,40.6,38.06,40.3,15068025,0
2004-08-29 00:00:00+05:30,40.6,43.2,40.6,42.93,20271905,0
2004-09-05 00:00:00+05:30,43.2,43.67,42.25,42.88,14495695,0
2004-09-12 00:00:00+05:30,42.7,44.4,41.92,43.8,17315445,0
2004-09-19 00:00:00+05:30,43.98,45.0,43.2,43.7,13143325,0
2004-09-26 00:00:00+05:30,43.38,43.6,41.05,42.72,16918725,0
2004-10-03 00:00:00+05:30,42.9,43.59,41.81,42.46,12869895,0
2004-10-10 00:00:00+05:30,43.1,43.49,41.0,42.05,6453726,0
2004-10-17 00:00:00+05:30,42.48,42.79,41.7,41.85,4496806,0
2004-10-24 00:00:00+05:30,41.9,41.98,40.52,40.99,7759845,0
2004-10-31 00:00:00+05:30,41.4,42.99,41.02,41.8,8879105,0
2004-11-07 00:00:00+05:30,42.1,42.88,42.0,42.43,5349815,0
2004-11-14 00:00:00+05:30,42.5,43.4,41.65,41.74,4808176,0
2004-11-21 00:00:00+05:30,41.8,45.15,41.5,44.36,13063506,0
2004-11-28 00:00:00+05:30,44.5,47.0,43.64,45.44,11652335,0
2004-12-05 00:00:00+05:30,45.79,47.0,45.1,45.2,9923295,0
2004-12-12 00:00:00+05:30,45.3,47.2,45.21,46.55,8650365,0
2004-12-19 00:00:00+05:30,46.7,48.85,46.6,47.71,7973165,0
2004-12-26 00:00:00+05:30,47.78,48.5,45.9,47.32,5323255,0
2005-01-02 00:00:00+05:30,47.58,52.2,47.1,49.35,16802435,0
2005-01-09 00:00:00+05:30,49.79,52.74,45.52,46.88,10546235,0
2005-01-16 00:00:00+05:30,47.0,47.3,44.52,46.05,6311676,0
2005-01-23 00:00:00+05:30,49.4,49.5,45.6,48.44,9034906,0
2005-01-30 00:00:00+05:30,48.85,51.0,48.23,50.55,9623045,0
2005-02-06 00:00:00+05:30,51.48,55.96,50.22,54.64,18205615,0
2005-02-13 00:00:00+05:30,55.0,56.6,52.56,54.33,13816765,0
2005-02-20 00:00:00+05:30,54.31,54.5,52.86,52.98,8641865,0
2005-02-27 00:00:00+05:30,53.4,56.29,53.2,55.79,16675625,0
2005-03-06 00:00:00+05:30,56.5,56.74,53.1,53.94,8469475,0
2005-03-13 00:00:00+05:30,54.9,54.9,50.8,52.17,5258355,0
2005-03-20 00:00:00+05:30,52.01,52.64,50.16,50.88,4528826,0
2005-03-27 00:00:00+05:30,51.01,54.0,50.12,53.92,8592585,0
2005-04-03 00:00:00+05:30,53.1,53.9,52.2,52.88,4223975,0
2005-04-10 00:00:00+05:30,52.9,52.9,50.0,51.02,3161156,0
2005-04-17 00:00:00+05:30,50.5,53.2,50.27,52.84,4370855,0
2005-04-24 00:00:00+05:30,50.5,54.6,50.5,51.26,6278515,0
2005-05-01 00:00:00+05:30,51.5,54.9,50.66,54.67,8492645,0
2005-05-08 00:00:00+05:30,54.67,55.75,54.03,54.53,12172505,0
2005-05-15 00:00:00+05:30,54.5,54.98,52.33,53.77,3624155,0
2005-05-22 00:00:00+05:30,54.41,56.54,53.4,55.85,6939505,0
2005-05-29 00:00:00+05:30,55.9,59.5,55.2,58.56,11209585,0
2005-06-05 00:00:00+05:30,58.41,61.0,57.83,58.26,9102845,0
2005-06-12 00:00:00+05:30,59.4,59.4,57.5,58.24,4386955,0
2005-06-19 00:00:00+05:30,58.5,62.98,57.02,62.45,10861574,0
2005-06-26 00:00:00+05:30,62.5,64.34,60.5,63.73,13096755,0
2005-07-03 00:00:00+05:30,63.8,64.47,62.2,62.87,7187095,0
2005-07-10 00:00:00+05:30,62.87,66.0,62.03,64.6,8938505,0
