time,open,high,low,close,volume,open_interest
2004-07-25 00:00:00+05:30,21.4,23.35,21.2,23.1,990471990,0
2004-08-01 00:00:00+05:30,23.1,24.15,22.9,23.8,827299600,0
2004-08-08 00:00:00+05:30,23.8,24.3,22.45,22.65,672384590,0
2004-08-15 00:00:00+05:30,22.9,24.1,22.45,22.95,486697250,0
2004-08-22 00:00:00+05:30,23.0,23.0,21.35,21.45,375889680,0
2004-08-29 00:00:00+05:30,21.65,22.55,21.65,22.1,296813450,0
2004-09-05 00:00:00+05:30,22.2,23.4,22.2,23.3,293456620,0
2004-09-12 00:00:00+05:30,23.45,24.8,23.2,24.7,447952440,0
2004-09-19 00:00:00+05:30,24.85,26.35,24.8,25.6,496316470,0
2004-09-26 00:00:00+05:30,25.55,26.15,24.55,25.8,542886170,0
2004-10-03 00:00:00+05:30,26.0,26.8,25.55,26.7,437409790,0
2004-10-10 00:00:00+05:30,26.7,27.0,24.8,25.15,255588630,0
2004-10-17 00:00:00+05:30,25.35,25.8,24.9,25.05,192813260,0
2004-10-24 00:00:00+05:30,24.75,26.4,24.55,25.45,355292500,0
2004-10-31 00:00:00+05:30,25.7,26.7,25.15,26.35,241112870,0
2004-11-07 00:00:00+05:30,26.5,27.4,26.4,27.2,208518250,0
2004-11-14 00:00:00+05:30,27.15,27.95,26.95,27.2,189242400,0
2004-11-21 00:00:00+05:30,27.05,28.1,26.7,27.55,165341820,0
2004-11-28 00:00:00+05:30,27.75,29.45,27.75,28.95,274323410,0
2004-12-05 00:00:00+05:30,29.1,29.4,27.75,28.1,242984310,0
2004-12-12 00:00:00+05:30,28.0,29.9,27.85,29.5,183155480,0
2004-12-19 00:00:00+05:30,29.45,31.95,29.45,31.7,187798940,0
2004-12-26 00:00:00+05:30,31.7,35.05,31.65,34.05,412231330,0
2005-01-02 00:00:00+05:30,34.9,34.9,31.25,31.95,331490950,0
2005-01-09 00:00:00+05:30,32.05,32.5,30.15,30.8,277723280,0
2005-01-16 00:00:00+05:30,35.35,35.35,29.05,31.1,296105250,0
2005-01-23 00:00:00+05:30,31.35,33.7,31.1,33.65,253292020,0
2005-01-30 00:00:00+05:30,33.85,35.55,33.6,35.1,276973290,0
2005-02-06 00:00:00+05:30,35.5,35.9,34.65,35.25,296439330,0
2005-02-13 00:00:00+05:30,35.45,37.05,35.4,36.6,371043250,0
2005-02-20 00:00:00+05:30,36.6,36.95,35.8,36.25,281213120,0
2005-02-27 00:00:00+05:30,36.3,38.3,35.8,37.9,291321130,0
2005-03-06 00:00:00+05:30,38.1,39.15,37.7,39.0,229176700,0
2005-03-13 00:00:00+05:30,39.05,39.45,37.25,38.35,261769400,0
2005-03-20 00:00:00+05:30,38.55,38.6,35.8,36.45,242689070,0
2005-03-27 00:00:00+05:30,36.7,37.35,34.55,36.15,367848350,0
2005-04-03 00:00:00+05:30,36.15,36.45,33.5,33.65,289147650,0
2005-04-10 00:00:00+05:30,33.85,34.8,32.2,32.35,197415590,0
2005-04-17 00:00:00+05:30,31.4,32.85,30.5,31.95,300570330,0
2005-04-24 00:00:00+05:30,32.0,32.4,30.0,30.15,258506240,0
2005-05-01 00:00:00+05:30,30.5,31.85,29.95,31.3,289763710,0
2005-05-08 00:00:00+05:30,31.7,32.3,31.05,31.8,200282740,0
2005-05-15 00:00:00+05:30,31.8,32.45,31.05,31.4,264755300,0
2005-05-22 00:00:00+05:30,31.5,32.6,30.85,32.05,210148900,0
2005-05-29 00:00:00+05:30,32.25,32.35,30.4,30.9,184154560,0
2005-06-05 00:00:00+05:30,31.3,31.5,29.45,29.55,213530400,0
2005-06-12 00:00:00+05:30,29.75,30.45,29.15,30.1,173033980,0
2005-06-19 00:00:00+05:30,30.4,32.95,29.95,32.1,428198240,0
2005-06-26 00:00:00+05:30,32.25,32.45,29.7,30.4,263365820,0
2005-07-03 00:00:00+05:30,30.5,32.25,30.25,32.0,255396930,0
2005-07-10 00:00:00+05:30,32.0,32.4,30.7,31.4,137907970,0
2005-07-17 00:00:00+05:30,31.45,33.6,31.3,33.45,207884330,0
2005-07-24 00:00:00+05:30,33.6,35.45,32.25,32.5,255663540,0
2005-07-31 00:00:00+05:30,32.45,34.7,31.8,34.3,308986640,0
2005-08-07 00:00:00+05:30,34.3,36.15,33.9,35.6,317805460,0
2005-08-14 00:00:00+05:30,35.9,36.85,35.35,35.5,191720100,0
2005-08-21 00:00:00+05:30,35.5,35.85,32.9,34.4,203171120,0
2005-08-28 00:00:00+05:30,34.45,36.0,33.4,35.85,151314130,0
2005-09-04 00:00:00+05:30,35.95,36.4,35.6,36.2,123230770,0
2005-09-11 00:00:00+05:30,36.4,40.25,35.4,37.25,127011440,0
2005-09-18 00:00:00+05:30,37.45,38.55,30.9,35.55,241533810,0
2005-09-25 00:00:00+05:30,35.6,37.85,35.6,37.4,222977220,0
2005-10-02 00:00:00+05:30,37.4,38.55,34.85,34.95,261004280,0
2005-10-09 00:00:00+05:30,35.1,35.15,32.95,33.5,212792180,0
2005-10-16 00:00:00+05:30,33.6,34.35,31.05,32.45,238341440,0
2005-10-23 00:00:00+05:30,32.55,33.55,29.05,29.25,228211750,0
2005-10-30 00:00:00+05:30,29.6,31.0,29.25,30.85,81201680,0
2005-11-06 00:00:00+05:30,30.1,33.0,30.1,32.8,281243770,0
2005-11-13 00:00:00+05:30,33.1,33.15,31.7,32.7,147436300,0
2005-11-20 00:00:00+05:30,32.85,32.85,29.85,30.25,261614260,0
2005-11-27 00:00:00+05:30,30.55,31.95,30.2,31.55,302406010,0
2005-12-04 00:00:00+05:30,31.65,31.8,30.55,31.45,130450850,0
2005-12-11 00:00:00+05:30,31.55,33.95,31.55,32.5,264223300,0
2005-12-18 00:00:00+05:30,32.7,34.0,32.4,32.55,207689000,0
2005-12-25 00:00:00+05:30,32.6,33.7,32.2,33.6,178353840,0
2006-01-01 00:00:00+05:30,33.75,34.35,33.15,33.95,113620050,0
2006-01-08 00:00:00+05:30,34.05,34.3,32.25,32.45,90597700,0
2006-01-15 00:00:00+05:30,32.45,35.35,30.35,32.0,166440720,0
2006-01-22 00:00:00+05:30,31.85,35.6,30.85,34.95,215378340,0
2006-01-29 00:00:00+05:30,34.5,36.0,33.3,35.4,345046390,0
2006-02-05 00:00:00+05:30,35.35,36.6,34.2,34.4,146734760,0
2006-02-12 00:00:00+05:30,34.45,35.15,33.5,34.2,129881720,0
2006-02-19 00:00:00+05:30,34.15,37.9,34.0,37.4,216694800,0
2006-02-26 00:00:00+05:30,37.8,40.55,36.4,40.15,223653860,0
2006-03-05 00:00:00+05:30,40.25,42.0,38.3,40.25,205658150,0
2006-03-12 00:00:00+05:30,40.55,41.85,40.2,40.85,116926210,0
2006-03-19 00:00:00+05:30,40.9,43.75,40.75,43.6,182677960,0
2006-03-26 00:00:00+05:30,43.75,47.95,43.75,47.4,234929480,0
2006-04-02 00:00:00+05:30,47.8,49.5,47.2,47.8,117114940,0
2006-04-09 00:00:00+05:30,49.05,54.6,46.95,49.9,177734030,0
2006-04-16 00:00:00+05:30,50.3,58.9,50.1,57.85,316276790,0
2006-04-23 00:00:00+05:30,57.9,65.85,53.1,56.05,287007490,0
2006-04-30 00:00:00+05:30,57.35,60.1,55.8,56.6,183152270,0
2006-05-07 00:00:00+05:30,57.3,59.7,55.25,56.9,234825980,0
2006-05-14 00:00:00+05:30,56.9,57.2,43.75,44.55,507920490,0
2006-05-21 00:00:00+05:30,45.05,49.2,38.0,47.65,311957340,0
2006-05-28 00:00:00+05:30,48.15,50.35,42.45,45.75,314470520,0
2006-06-04 00:00:00+05:30,46.95,47.7,36.95,40.3,284264880,0
2006-06-11 00:00:00+05:30,39.6,41.9,33.2,40.7,320736840,0
2006-06-18 00:00:00+05:30,41.65,46.1,40.1,45.3,240522480,0
2006-06-25 00:00:00+05:30,48.15,48.25,41.55,47.15,398165030,0
2006-07-02 00:00:00+05:30,47.45,50.05,44.3,46.2,311814690,0
2006-07-09 00:00:00+05:30,46.25,46.9,44.2,45.2,259592940,0
2006-07-16 00:00:00+05:30,45.25,45.25,40.35,42.7,248376970,0
2006-07-23 00:00:00+05:30,42.15,45.05,35.8,44.0,235507470,0
2006-07-30 00:00:00+05:30,44.2,46.15,43.05,45.1,194678980,0
2006-08-06 00:00:00+05:30,45.05,46.75,44.35,46.45,152743550,0
2006-08-13 00:00:00+05:30,46.55,47.95,44.9,45.35,108916760,0
2006-08-20 00:00:00+05:30,45.05,47.05,44.2,46.45,164981730,0
2006-08-27 00:00:00+05:30,46.65,47.35,43.5,44.35,177520790,0
2006-09-03 00:00:00+05:30,44.65,46.8,44.3,46.45,143997030,0
2006-09-10 00:00:00+05:30,46.55,46.65,42.85,44.55,134125440,0
2006-09-17 00:00:00+05:30,44.65,44.8,42.8,43.9,131580590,0
2006-09-24 00:00:00+05:30,44.1,47.5,43.45,47.35,199584730,0
2006-10-01 00:00:00+05:30,47.6,48.5,46.15,47.4,111466550,0
2006-10-08 00:00:00+05:30,47.5,47.55,44.65,45.2,189338860,0
2006-10-15 00:00:00+05:30,45.5,46.15,44.05,44.95,238258170,0
2006-10-22 00:00:00+05:30,45.5,45.85,43.95,44.25,119656190,0
2006-10-29 00:00:00+05:30,44.15,44.65,42.85,43.55,138013870,0
2006-11-05 00:00:00+05:30,43.75,45.25,43.15,44.4,177052400,0
2006-11-12 00:00:00+05:30,44.55,44.65,41.85,42.1,137221940,0
2006-11-19 00:00:00+05:30,42.0,42.95,40.5,42.7,174310600,0
2006-11-26 00:00:00+05:30,42.95,43.3,40.85,41.35,113283930,0
2006-12-03 00:00:00+05:30,41.7,44.35,41.3,42.85,147365210,0
2006-12-10 00:00:00+05:30,42.75,43.25,37.55,40.6,325860190,0
2006-12-17 00:00:00+05:30,41.1,42.4,39.85,42.3,165654300,0
2006-12-24 00:00:00+05:30,43.0,43.15,41.8,42.6,106127060,0
2006-12-31 00:00:00+05:30,42.5,43.2,40.45,41.4,82830410,0
2007-01-07 00:00:00+05:30,41.75,41.75,39.8,41.35,80083780,0
2007-01-14 00:00:00+05:30,41.55,43.6,40.95,41.35,123318310,0
2007-01-21 00:00:00+05:30,41.6,45.3,40.9,45.1,180275410,0
2007-01-28 00:00:00+05:30,45.2,47.65,39.9,40.9,548527350,0
2007-02-04 00:00:00+05:30,40.9,42.0,39.9,40.05,160854270,0
2007-02-11 00:00:00+05:30,40.1,40.55,37.65,39.1,176742170,0
2007-02-18 00:00:00+05:30,39.3,41.25,38.7,40.65,217230550,0
2007-02-25 00:00:00+05:30,40.85,42.4,38.8,39.2,296027730,0
2007-03-04 00:00:00+05:30,39.0,39.0,35.25,38.35,249788090,0
