time,open,high,low,close,volume,open_interest
2004-07-25 00:00:00+05:30,5.79,5.88,5.4,5.54,5156595,0
2004-08-01 00:00:00+05:30,5.55,6.2,5.47,5.76,13687615,0
2004-08-08 00:00:00+05:30,5.7,5.99,5.57,5.78,4103135,0
2004-08-15 00:00:00+05:30,5.7,6.95,5.57,6.54,48689195,0
2004-08-22 00:00:00+05:30,6.63,7.57,6.41,7.53,73520275,0
2004-08-29 00:00:00+05:30,7.55,7.72,7.01,7.06,34748655,0
2004-09-05 00:00:00+05:30,7.08,7.35,6.75,6.88,11331015,0
2004-09-12 00:00:00+05:30,6.95,7.39,6.8,7.07,12659735,0
2004-09-19 00:00:00+05:30,7.14,7.33,6.77,7.25,15102455,0
2004-09-26 00:00:00+05:30,7.25,7.36,6.97,7.0,6466275,0
2004-10-03 00:00:00+05:30,7.1,8.34,7.0,8.06,42259135,0
2004-10-10 00:00:00+05:30,8.02,8.5,7.18,8.21,23482056,0
2004-10-17 00:00:00+05:30,8.2,8.64,7.93,8.37,28321776,0
2004-10-24 00:00:00+05:30,8.45,8.88,7.96,8.52,23774775,0
2004-10-31 00:00:00+05:30,8.6,8.74,8.19,8.34,11334075,0
2004-11-07 00:00:00+05:30,8.42,9.1,8.38,9.0,29168855,0
2004-11-14 00:00:00+05:30,9.1,9.41,8.78,8.96,34633596,0
2004-11-21 00:00:00+05:30,8.95,9.39,8.73,8.91,12214396,0
2004-11-28 00:00:00+05:30,9.0,9.14,8.25,8.41,13139415,0
2004-12-05 00:00:00+05:30,8.5,8.95,8.36,8.43,13439655,0
2004-12-12 00:00:00+05:30,8.46,8.95,8.4,8.58,11423375,0
2004-12-19 00:00:00+05:30,8.7,9.54,8.53,9.17,21493675,0
2004-12-26 00:00:00+05:30,9.25,9.4,8.84,9.36,10850315,0
2005-01-02 00:00:00+05:30,9.4,9.94,8.75,9.21,22201655,0
2005-01-09 00:00:00+05:30,9.37,9.75,8.05,8.21,14413955,0
2005-01-16 00:00:00+05:30,8.44,8.52,7.8,8.29,6777596,0
2005-01-23 00:00:00+05:30,8.3,8.71,8.05,8.65,4861576,0
2005-01-30 00:00:00+05:30,8.81,9.38,8.62,9.09,13697255,0
2005-02-06 00:00:00+05:30,9.15,11.97,8.9,11.14,115158895,0
2005-02-13 00:00:00+05:30,11.22,11.65,10.58,11.33,78615295,0
2005-02-20 00:00:00+05:30,11.49,11.49,10.45,10.57,28610915,0
2005-02-27 00:00:00+05:30,10.85,11.05,10.1,10.79,21219155,0
2005-03-06 00:00:00+05:30,10.87,13.34,10.7,12.71,128831915,0
2005-03-13 00:00:00+05:30,12.75,13.79,11.41,11.85,97894795,0
2005-03-20 00:00:00+05:30,12.0,12.55,10.75,10.92,34372416,0
2005-03-27 00:00:00+05:30,11.04,12.23,10.35,12.08,46691895,0
2005-04-03 00:00:00+05:30,11.77,12.85,11.75,12.07,48551535,0
2005-04-10 00:00:00+05:30,12.12,12.32,10.87,11.38,22574876,0
2005-04-17 00:00:00+05:30,11.1,13.94,11.0,13.58,125815595,0
2005-04-24 00:00:00+05:30,13.57,13.84,12.06,12.19,73995715,0
2005-05-01 00:00:00+05:30,12.35,12.8,11.93,12.39,32714775,0
2005-05-08 00:00:00+05:30,12.53,14.45,11.61,13.97,118535415,0
2005-05-15 00:00:00+05:30,14.2,14.88,13.41,14.55,142996735,0
2005-05-22 00:00:00+05:30,14.55,15.49,14.55,15.17,105729535,0
2005-05-29 00:00:00+05:30,15.2,16.17,14.85,16.04,91138915,0
2005-06-05 00:00:00+05:30,16.2,17.45,16.05,17.36,117465095,0
2005-06-12 00:00:00+05:30,17.05,18.88,16.88,18.31,137000015,0
2005-06-19 00:00:00+05:30,18.49,18.68,16.81,18.34,57809914,0
2005-06-26 00:00:00+05:30,18.45,19.34,17.91,19.21,55473695,0
2005-07-03 00:00:00+05:30,19.73,22.78,19.0,22.42,113151515,0
2005-07-10 00:00:00+05:30,22.93,28.6,22.75,25.22,620865655,0
2005-07-17 00:00:00+05:30,25.48,26.35,24.26,24.93,160561635,0
2005-07-24 00:00:00+05:30,25.25,25.62,24.04,24.39,101518736,0
2005-07-31 00:00:00+05:30,24.45,27.41,24.15,26.48,171050555,0
2005-08-07 00:00:00+05:30,26.5,26.74,24.42,24.96,106452915,0
2005-08-14 00:00:00+05:30,25.2,25.68,24.75,24.96,41281596,0
2005-08-21 00:00:00+05:30,24.9,25.47,22.25,24.53,148587295,0
2005-08-28 00:00:00+05:30,24.75,25.37,21.28,24.12,95071335,0
2005-09-04 00:00:00+05:30,24.1,24.48,23.65,23.96,19898356,0
2005-09-11 00:00:00+05:30,23.95,24.54,23.56,24.23,26742615,0
2005-09-18 00:00:00+05:30,24.7,27.25,22.5,23.7,158707675,0
2005-09-25 00:00:00+05:30,24.0,25.23,23.61,24.47,81402415,0
2005-10-02 00:00:00+05:30,24.55,26.3,24.06,24.68,79886395,0
2005-10-09 00:00:00+05:30,24.92,25.19,22.63,23.89,33396456,0
2005-10-16 00:00:00+05:30,24.07,24.92,20.25,22.36,70843375,0
2005-10-23 00:00:00+05:30,22.75,22.75,19.56,19.76,81400355,0
2005-10-30 00:00:00+05:30,20.05,26.25,20.05,25.44,255116097,0
2005-11-06 00:00:00+05:30,25.66,30.07,25.36,29.84,448562635,0
2005-11-13 00:00:00+05:30,29.5,31.4,29.06,30.78,249739156,0
2005-11-20 00:00:00+05:30,30.7,33.22,30.41,32.25,364490275,0
2005-11-27 00:00:00+05:30,33.05,34.69,30.33,33.84,198091195,0
2005-12-04 00:00:00+05:30,34.92,43.14,33.7,40.83,487865135,0
2005-12-11 00:00:00+05:30,40.85,42.39,36.81,39.5,413465215,0
2005-12-18 00:00:00+05:30,39.75,40.9,38.45,38.83,239419835,0
2005-12-25 00:00:00+05:30,38.8,42.76,37.58,41.13,268518555,0
2006-01-01 00:00:00+05:30,41.25,42.76,37.81,38.36,220649275,0
2006-01-08 00:00:00+05:30,38.5,39.5,37.5,37.69,108309916,0
2006-01-15 00:00:00+05:30,37.9,38.27,35.36,37.33,127530655,0
2006-01-22 00:00:00+05:30,36.75,37.15,34.45,36.38,150027536,0
2006-01-29 00:00:00+05:30,36.76,37.0,33.25,34.03,109259495,0
2006-02-05 00:00:00+05:30,34.24,40.09,33.95,39.85,198316756,0
2006-02-12 00:00:00+05:30,39.85,42.09,39.18,39.76,280088335,0
2006-02-19 00:00:00+05:30,39.85,40.85,38.41,39.98,146238455,0
2006-02-26 00:00:00+05:30,35.2,43.75,35.2,43.1,160581095,0
2006-03-05 00:00:00+05:30,43.25,44.75,40.75,42.61,125547575,0
2006-03-12 00:00:00+05:30,42.51,44.09,42.1,42.68,60519016,0
2006-03-19 00:00:00+05:30,42.94,43.4,40.6,41.73,51994695,0
2006-03-26 00:00:00+05:30,42.33,42.6,38.28,41.82,115791275,0
2006-04-02 00:00:00+05:30,42.4,43.56,40.06,40.53,85406636,0
2006-04-09 00:00:00+05:30,40.6,40.88,37.2,38.38,44203157,0
2006-04-16 00:00:00+05:30,39.21,40.94,38.51,38.98,59431655,0
2006-04-23 00:00:00+05:30,39.0,39.35,34.72,37.34,38308595,0
2006-04-30 00:00:00+05:30,40.25,41.37,38.5,39.82,45324336,0
2006-05-07 00:00:00+05:30,40.11,40.44,37.5,37.56,30005895,0
2006-05-14 00:00:00+05:30,37.6,39.55,31.55,32.35,48065395,0
2006-05-21 00:00:00+05:30,32.35,33.75,22.5,32.09,74670935,0
2006-05-28 00:00:00+05:30,32.5,36.5,31.41,33.78,132643335,0
2006-06-04 00:00:00+05:30,34.72,34.87,24.3,30.82,136691555,0
2006-06-11 00:00:00+05:30,30.55,30.9,25.15,28.94,80693715,0
2006-06-18 00:00:00+05:30,28.34,31.24,28.1,30.16,56118215,0
2006-06-25 00:00:00+05:30,30.39,30.52,27.26,29.74,45292715,0
2006-07-02 00:00:00+05:30,29.88,32.74,29.29,30.25,68146715,0
2006-07-09 00:00:00+05:30,30.1,31.0,29.0,30.16,47866835,0
2006-07-16 00:00:00+05:30,30.5,30.86,26.91,27.81,74772995,0
2006-07-23 00:00:00+05:30,27.7,32.2,26.65,30.17,43579995,0
2006-07-30 00:00:00+05:30,30.4,32.19,29.6,31.22,41124835,0
2006-08-06 00:00:00+05:30,31.0,38.3,30.85,37.62,114999395,0
2006-08-13 00:00:00+05:30,37.65,39.22,36.74,38.2,91698676,0
2006-08-20 00:00:00+05:30,38.35,39.0,37.26,37.95,61579915,0
2006-08-27 00:00:00+05:30,37.7,40.42,37.7,39.16,72956715,0
2006-09-03 00:00:00+05:30,39.5,40.9,39.32,40.26,63542255,0
2006-09-10 00:00:00+05:30,40.49,41.17,37.62,39.59,60004795,0
2006-09-17 00:00:00+05:30,39.69,40.8,38.55,39.12,32427115,0
2006-09-24 00:00:00+05:30,42.5,42.5,38.75,40.34,25331375,0
2006-10-01 00:00:00+05:30,40.52,40.73,38.75,39.76,15331416,0
2006-10-08 00:00:00+05:30,39.6,40.3,38.85,39.65,14451535,0
2006-10-15 00:00:00+05:30,39.65,42.49,39.61,40.01,49441775,0
2006-10-22 00:00:00+05:30,40.35,40.35,38.59,39.56,19359637,0
2006-10-29 00:00:00+05:30,39.95,39.95,37.5,38.35,27102435,0
2006-11-05 00:00:00+05:30,38.9,39.4,36.7,38.62,29067895,0
2006-11-12 00:00:00+05:30,38.78,39.97,36.9,37.31,23450895,0
2006-11-19 00:00:00+05:30,37.32,39.67,35.85,39.35,19416215,0
2006-11-26 00:00:00+05:30,39.75,40.4,37.75,38.8,25261095,0
2006-12-03 00:00:00+05:30,39.3,41.79,37.61,38.94,46832255,0
2006-12-10 00:00:00+05:30,39.29,39.29,32.86,37.99,36663395,0
2006-12-17 00:00:00+05:30,38.25,39.8,35.8,39.05,26679135,0
2006-12-24 00:00:00+05:30,39.23,43.48,38.28,43.0,37126256,0
2006-12-31 00:00:00+05:30,43.25,45.7,42.67,43.86,61643136,0
2007-01-07 00:00:00+05:30,43.59,45.45,41.67,44.76,38203755,0
2007-01-14 00:00:00+05:30,44.92,47.1,42.62,46.8,43654975,0
2007-01-21 00:00:00+05:30,47.5,47.5,45.0,47.16,39606176,0
2007-01-28 00:00:00+05:30,47.75,51.59,46.66,50.52,58026876,0
2007-02-04 00:00:00+05:30,50.85,52.69,48.33,50.49,36514855,0
2007-02-11 00:00:00+05:30,49.55,51.4,44.2,50.21,34505576,0
2007-02-18 00:00:00+05:30,50.65,50.75,44.0,44.48,23281215,0
2007-02-25 00:00:00+05:30,44.55,46.89,39.85,43.22,30168255,0
2007-03-04 00:00:00+05:30,40.4,42.67,38.8,40.53,42330655,0
2007-03-11 00:00:00+05:30,41.0,41.55,37.83,39.27,32631495,0
2007-03-18 00:00:00+05:30,40.0,43.29,39.45,42.63,28082015,0
2007-03-25 00:00:00+05:30,42.8,43.2,40.2,42.14,24412316,0
2007-04-01 00:00:00+05:30,42.03,45.09,40.41,44.22,27319916,0
2007-04-08 00:00:00+05:30,44.37,48.75,44.37,47.52,32654955,0
2007-04-15 00:00:00+05:30,47.75,52.15,47.75,50.54,54735095,0
2007-04-22 00:00:00+05:30,50.05,50.75,46.99,48.18,25460015,0
2007-04-29 00:00:00+05:30,48.38,51.19,47.4,48.95,9389857,0
2007-05-06 00:00:00+05:30,50.15,51.2,48.14,49.89,16760455,0
2007-05-13 00:00:00+05:30,52.38,56.42,49.52,55.8,28998535,0
2007-05-20 00:00:00+05:30,56.25,56.95,52.26,53.66,24663675,0
2007-05-27 00:00:00+05:30,54.5,57.74,53.11,57.21,17611735,0
2007-06-03 00:00:00+05:30,57.75,57.75,50.21,50.65,19495015,0
2007-06-10 00:00:00+05:30,51.44,57.07,49.52,56.32,25544595,0
2007-06-17 00:00:00+05:30,56.9,60.75,55.05,58.72,22840335,0
2007-06-24 00:00:00+05:30,59.0,68.2,58.41,67.08,64525775,0
2007-07-01 00:00:00+05:30,67.25,68.75,62.3,64.25,30543895,0
2007-07-08 00:00:00+05:30,64.85,65.84,62.53,63.29,26029135,0
2007-07-15 00:00:00+05:30,65.0,66.9,63.41,63.69,27374675,0
2007-07-22 00:00:00+05:30,63.55,65.17,55.81,56.43,32846175,0
2007-07-29 00:00:00+05:30,56.51,58.95,54.15,57.76,34405095,0
2007-08-05 00:00:00+05:30,56.1,61.0,53.0,56.59,25286875,0
2007-08-12 00:00:00+05:30,57.89,59.25,54.26,56.09,16606596,0
2007-08-19 00:00:00+05:30,57.5,58.47,51.4,52.83,18210875,0
2007-08-26 00:00:00+05:30,53.31,63.24,53.31,62.08,27298875,0
2007-09-02 00:00:00+05:30,62.59,68.49,62.02,67.46,20845035,0
2007-09-09 00:00:00+05:30,66.75,71.68,66.5,70.05,19748415,0
2007-09-16 00:00:00+05:30,70.05,77.0,70.05,73.53,27787255,0
2007-09-23 00:00:00+05:30,74.5,76.33,72.08,73.44,14639035,0
2007-09-30 00:00:00+05:30,74.75,78.35,71.25,73.13,13645876,0
2007-10-07 00:00:00+05:30,73.05,77.92,70.0,73.88,11681855,0
2007-10-14 00:00:00+05:30,75.75,82.25,71.05,78.11,16334775,0
2007-10-21 00:00:00+05:30,78.0,86.89,74.56,84.77,10525015,0
2007-10-28 00:00:00+05:30,86.25,89.5,80.83,83.33,7551895,0
2007-11-04 00:00:00+05:30,84.7,86.5,77.75,79.16,4765895,0
