time,open,high,low,close,volume,open_interest
2003-01-01 00:00:00+05:30,71.5,72.7,71.5,72.15,61972,0
2003-01-02 00:00:00+05:30,72.3,72.5,72.1,72.4,62500,0
2003-01-03 00:00:00+05:30,73.0,73.45,72.05,72.4,62890,0
2003-01-06 00:00:00+05:30,72.95,72.95,71.6,71.95,62040,0
2003-01-07 00:00:00+05:30,72.0,72.45,71.4,72.1,62496,0
2003-01-08 00:00:00+05:30,72.8,72.9,71.1,71.8,67322,0
2003-01-09 00:00:00+05:30,72.9,72.9,71.0,71.55,61990,0
2003-01-10 00:00:00+05:30,71.25,72.85,71.0,71.35,62376,0
2003-01-13 00:00:00+05:30,71.25,71.75,70.5,70.65,61918,0
2003-01-14 00:00:00+05:30,71.25,71.5,71.0,71.35,62176,0
2003-01-15 00:00:00+05:30,71.55,72.0,71.25,71.6,62224,0
2003-01-16 00:00:00+05:30,70.8,71.35,70.8,71.05,63082,0
2003-01-17 00:00:00+05:30,71.3,71.95,71.0,71.35,61972,0
2003-01-20 00:00:00+05:30,69.55,71.7,69.55,70.95,65918,0
2003-01-21 00:00:00+05:30,71.0,71.5,70.55,71.0,76374,0
2003-01-22 00:00:00+05:30,69.5,71.25,69.5,71.0,64596,0
2003-01-23 00:00:00+05:30,71.0,71.1,70.5,70.85,66290,0
2003-01-24 00:00:00+05:30,71.0,71.0,69.05,69.6,61614,0
2003-01-27 00:00:00+05:30,67.55,69.0,66.4,66.7,62790,0
2003-01-28 00:00:00+05:30,67.75,68.5,66.65,68.3,62766,0
2003-01-29 00:00:00+05:30,68.5,68.5,67.05,67.6,62646,0
2003-01-30 00:00:00+05:30,67.0,67.75,66.55,66.95,71052,0
2003-01-31 00:00:00+05:30,65.05,67.55,65.05,66.35,70668,0
2003-02-03 00:00:00+05:30,65.55,67.4,65.5,66.8,71844,0
2003-02-04 00:00:00+05:30,67.25,67.45,66.0,66.05,70386,0
2003-02-05 00:00:00+05:30,66.5,66.5,65.25,65.5,70360,0
2003-02-06 00:00:00+05:30,66.1,66.15,65.45,66.0,69510,0
2003-02-07 00:00:00+05:30,65.75,65.95,65.0,65.1,70532,0
2003-02-10 00:00:00+05:30,64.55,65.5,62.5,65.05,84096,0
2003-02-11 00:00:00+05:30,65.0,65.5,64.0,64.8,72030,0
2003-02-12 00:00:00+05:30,65.0,65.7,64.5,65.0,71016,0
2003-02-14 00:00:00+05:30,65.05,65.3,64.5,64.7,71598,0
2003-02-17 00:00:00+05:30,65.0,66.25,64.85,64.9,75238,0
2003-02-18 00:00:00+05:30,65.75,65.9,65.0,65.0,70156,0
2003-02-19 00:00:00+05:30,66.0,67.75,64.95,65.15,70152,0
2003-02-20 00:00:00+05:30,65.05,65.4,64.75,64.8,70432,0
2003-02-21 00:00:00+05:30,65.25,65.25,64.8,65.0,67380,0
2003-02-24 00:00:00+05:30,64.05,65.35,64.05,65.1,69276,0
2003-02-25 00:00:00+05:30,65.4,65.4,64.95,65.0,70482,0
2003-02-26 00:00:00+05:30,65.15,65.25,64.95,65.15,67150,0
2003-02-27 00:00:00+05:30,65.0,65.5,64.95,65.25,68060,0
2003-02-28 00:00:00+05:30,65.45,67.4,64.8,64.95,75624,0
