time,open,high,low,close,volume,open_interest,CCI_15,ATR_15
2004-08-09 00:00:00+05:30,7.73,8.47,7.72,8.27,473910,0,,0.0
2004-08-10 00:00:00+05:30,8.25,8.36,8.01,8.17,206933,0,,0.0
2004-08-11 00:00:00+05:30,8.07,8.19,7.81,7.9,187076,0,,0.0
2004-08-12 00:00:00+05:30,7.91,8.06,7.82,7.92,51197,0,,0.0
2004-08-13 00:00:00+05:30,7.99,7.99,7.83,7.96,139337,0,,0.0
2004-08-16 00:00:00+05:30,7.99,7.99,7.83,7.96,139337,0,,0.0
2004-08-17 00:00:00+05:30,7.68,7.99,7.68,7.84,42283,0,,0.0
2004-08-18 00:00:00+05:30,7.91,7.92,7.83,7.84,18561,0,,0.0
2004-08-19 00:00:00+05:30,7.99,7.99,7.84,7.94,42542,0,,0.0
2004-08-20 00:00:00+05:30,7.81,7.9,7.81,7.85,29864,0,,0.0
2004-08-23 00:00:00+05:30,7.85,7.85,7.81,7.81,57835,0,,0.0
2004-08-24 00:00:00+05:30,7.79,7.87,7.79,7.81,26979,0,,0.0
2004-08-25 00:00:00+05:30,7.8,7.81,7.73,7.76,204217,0,,0.0
2004-08-26 00:00:00+05:30,7.94,7.94,7.81,7.85,44796,0,,0.0
2004-08-27 00:00:00+05:30,7.85,7.94,7.76,7.88,28196,0,-43.533236994220296,0.21866666666666687
2004-08-30 00:00:00+05:30,7.9,7.99,7.83,7.95,28467,0,25.496389891696982,0.21475555555555575
2004-08-31 00:00:00+05:30,8.12,8.12,7.94,8.03,47659,0,171.87499999999898,0.2124385185185186
2004-09-01 00:00:00+05:30,7.99,8.42,7.99,8.14,168458,0,265.78282828282863,0.22694261728395068
2004-09-02 00:00:00+05:30,8.16,8.22,8.03,8.07,45303,0,155.08595988538696,0.2244797761316874
2004-09-03 00:00:00+05:30,8.21,8.21,8.09,8.15,18166,0,146.56443526983116,0.2188477910562416
2004-09-06 00:00:00+05:30,8.16,8.24,8.01,8.16,99849,0,108.60349127182026,0.2195912716524922
2004-09-07 00:00:00+05:30,8.1,8.96,8.08,8.86,1268533,0,252.2879267863423,0.2636185202089928
2004-09-08 00:00:00+05:30,8.96,9.1,8.61,8.73,743773,0,226.22382286247782,0.2787106188617266
2004-09-09 00:00:00+05:30,8.65,8.86,8.27,8.52,168075,0,120.35050071530691,0.29946324427094484
2004-09-10 00:00:00+05:30,8.07,8.87,8.07,8.78,481224,0,105.61275323812663,0.3328323613195484
2004-09-13 00:00:00+05:30,8.96,9.19,8.55,8.63,361699,0,125.7516973811834,0.35331020389824513
2004-09-14 00:00:00+05:30,8.7,8.91,8.34,8.55,137298,0,70.65727699530493,0.3677561903050288
2004-09-15 00:00:00+05:30,8.59,8.69,8.31,8.41,125183,0,35.123352818785335,0.36857244428469355
2004-09-16 00:00:00+05:30,8.55,8.55,8.35,8.48,72790,0,26.036644165862775,0.3573342813323807
2004-09-17 00:00:00+05:30,8.55,8.55,8.34,8.36,130603,0,7.634527767516136,0.347511995910222
2004-09-20 00:00:00+05:30,8.43,8.51,8.31,8.46,110329,0,1.322168356104452,0.3376778628495405
2004-09-21 00:00:00+05:30,8.39,8.5,8.39,8.41,69939,0,-6.270400274866751,0.3224993386595711
2004-09-22 00:00:00+05:30,8.52,8.52,8.34,8.37,61205,0,-23.216308040770567,0.31299938274893296
2004-09-23 00:00:00+05:30,8.3,8.41,8.29,8.36,62152,0,-59.52380952380968,0.3001327572323375
2004-09-24 00:00:00+05:30,8.4,8.47,8.35,8.42,60360,0,-44.07713498622563,0.2881239067501818
2004-09-27 00:00:00+05:30,8.34,8.7,8.34,8.63,95983,0,18.07228915662719,0.29291564630016964
2004-09-28 00:00:00+05:30,8.6,8.91,8.53,8.87,342766,0,129.70711297071017,0.2987212698801584
2004-09-29 00:00:00+05:30,8.96,9.14,8.78,9.02,608571,0,218.35088505489531,0.3028065185548146
2004-09-30 00:00:00+05:30,9.13,9.36,8.9,9.29,479286,0,215.6451612903219,0.3132860839844936
2004-10-01 00:00:00+05:30,9.23,9.93,9.1,9.85,790328,0,235.55194805194805,0.3477336783855273
2004-10-04 00:00:00+05:30,9.84,10.49,9.84,10.37,791816,0,245.02579218865176,0.3678847664931589
2004-10-05 00:00:00+05:30,10.56,10.62,10.2,10.54,503967,0,192.8668663218077,0.37135911539361494
2004-10-06 00:00:00+05:30,10.74,10.91,10.34,10.46,370613,0,155.9901654000896,0.3846018410340406
2004-10-07 00:00:00+05:30,10.51,10.6,10.29,10.35,120303,0,113.18051575931237,0.3796283849651046
2004-10-08 00:00:00+05:30,10.32,10.42,9.98,10.19,361879,0,78.89669234254629,0.38365315930076427
2004-10-11 00:00:00+05:30,10.0,10.51,10.0,10.43,185656,0,75.9935355909791,0.3920762820140466
2004-10-12 00:00:00+05:30,10.55,10.65,10.19,10.33,154765,0,72.11342686854492,0.39660452987977685
2004-10-14 00:00:00+05:30,10.2,10.43,9.94,10.2,75179,0,48.7023263174554,0.4028308945544584
2004-10-15 00:00:00+05:30,10.2,10.2,9.99,10.04,46678,0,31.782945736433938,0.38997550158416117
2004-10-18 00:00:00+05:30,10.28,10.28,9.98,10.0,54804,0,25.689519306540486,0.3839771348118837
2004-10-19 00:00:00+05:30,9.96,10.29,9.96,10.21,86584,0,26.555437383674803,0.38037865915775804
2004-10-20 00:00:00+05:30,10.25,10.59,10.25,10.56,230362,0,75.82515611061606,0.3803534152139074
2004-10-21 00:00:00+05:30,10.3,10.71,10.3,10.5,192789,0,85.67603748326688,0.382329854199647
2004-10-25 00:00:00+05:30,10.55,10.55,9.98,10.05,31239,0,-24.68085106383021,0.3948411972530039
2004-10-26 00:00:00+05:30,9.95,10.11,9.94,10.04,27317,0,-113.96181384248294,0.3798517841028036
2004-10-27 00:00:00+05:30,10.12,10.25,9.99,10.1,140611,0,-69.60227272727217,0.3718616651626167
2004-10-28 00:00:00+05:30,9.99,10.12,9.86,9.92,49113,0,-116.48946092146957,0.36440422081844226
2004-10-29 00:00:00+05:30,10.12,10.12,9.83,9.88,42475,0,-120.57911065149925,0.3594439394305461
2004-11-01 00:00:00+05:30,9.85,10.12,9.58,9.7,104131,0,-161.05721639279474,0.3714810101351763
2004-11-02 00:00:00+05:30,9.94,9.94,9.58,9.66,95194,0,-155.3996234810879,0.37071560945949783
2004-11-03 00:00:00+05:30,9.76,9.94,9.54,9.63,127707,0,-139.62082262210797,0.37266790216219803
2004-11-04 00:00:00+05:30,9.67,9.91,9.67,9.77,71201,0,-95.57295828671882,0.3664900420180514
2004-11-05 00:00:00+05:30,9.67,9.8,9.64,9.67,28850,0,-105.14541387024634,0.352724039216848
2004-11-08 00:00:00+05:30,9.59,9.71,9.51,9.59,54285,0,-115.62794454166094,0.34254243660239153
