time,open,high,low,close,volume,open_interest,CCI_15,ATR_15
2004-08-09 00:00:00+05:30,73.5,74.95,73.25,74.7,4646586,0,,0.0
2004-08-10 00:00:00+05:30,75.1,77.75,74.9,77.3,11684836,0,,0.0
2004-08-11 00:00:00+05:30,77.25,78.4,76.65,77.2,8430523,0,,0.0
2004-08-12 00:00:00+05:30,77.25,78.9,77.05,77.85,6518465,0,,0.0
2004-08-13 00:00:00+05:30,77.05,77.55,72.25,73.95,17363714,0,,0.0
2004-08-16 00:00:00+05:30,77.05,77.55,72.25,73.95,17363714,0,,0.0
2004-08-17 00:00:00+05:30,74.1,75.2,73.7,74.15,4072473,0,,0.0
2004-08-18 00:00:00+05:30,74.1,74.1,68.05,69.4,16317701,0,,0.0
2004-08-19 00:00:00+05:30,68.45,71.8,66.55,71.35,18571527,0,,0.0
2004-08-20 00:00:00+05:30,70.65,71.55,68.9,70.0,8776864,0,,0.0
2004-08-23 00:00:00+05:30,69.7,70.6,67.95,68.5,5912732,0,,0.0
2004-08-24 00:00:00+05:30,68.65,69.45,66.1,66.5,12929119,0,,0.0
2004-08-25 00:00:00+05:30,71.15,71.15,66.35,67.1,9892869,0,,0.0
2004-08-26 00:00:00+05:30,67.75,69.75,66.75,67.05,17964058,0,,0.0
2004-08-27 00:00:00+05:30,67.45,68.7,67.15,68.65,7003203,0,-76.83209952253712,3.346666666666668
2004-08-30 00:00:00+05:30,68.95,68.95,66.55,66.8,8091595,0,-80.63892824938812,3.2835555555555573
2004-08-31 00:00:00+05:30,67.25,68.95,67.2,68.65,6634068,0,-58.85257465318609,3.207985185185187
2004-09-01 00:00:00+05:30,68.7,68.85,66.9,67.25,4165383,0,-68.35372636262504,3.1241195061728404
2004-09-02 00:00:00+05:30,67.5,67.95,66.75,66.95,3495058,0,-77.16371220020923,2.995844872427985
2004-09-03 00:00:00+05:30,67.0,67.25,65.75,65.95,5225865,0,-101.72621437173855,2.896121880932786
2004-09-06 00:00:00+05:30,66.75,67.35,66.1,66.3,3450456,0,-92.12798374809621,2.7963804222039332
2004-09-07 00:00:00+05:30,66.6,66.9,65.35,65.7,3863233,0,-129.76457399103114,2.713288394057005
2004-09-08 00:00:00+05:30,66.4,67.25,65.65,66.95,5852229,0,-82.20897395669792,2.6390691677865377
2004-09-09 00:00:00+05:30,67.5,67.6,64.2,65.2,6906423,0,-134.2396613480943,2.689797889934101
2004-09-10 00:00:00+05:30,65.5,68.55,64.85,68.1,7827649,0,-12.012012012012555,2.7571446972718276
2004-09-13 00:00:00+05:30,68.45,69.6,66.95,68.65,5930554,0,108.42483108108094,2.7500017174537055
2004-09-14 00:00:00+05:30,68.7,72.1,67.85,71.8,12185193,0,228.1846354591412,2.850001602956792
2004-09-15 00:00:00+05:30,71.9,73.35,69.3,70.35,8718936,0,201.00334448160427,2.9300014960930056
2004-09-16 00:00:00+05:30,71.65,72.05,69.95,71.4,4765585,0,158.39013307367728,2.874668063020138
2004-09-17 00:00:00+05:30,71.65,73.6,71.45,73.25,7423482,0,175.74827321565638,2.8296901921521282
2004-09-20 00:00:00+05:30,73.5,74.0,71.0,72.65,5883874,0,130.63875857091284,2.8410441793419863
2004-09-21 00:00:00+05:30,72.65,73.85,72.4,73.5,3943588,0,121.11458524921836,2.7483079007191864
2004-09-22 00:00:00+05:30,73.85,74.45,72.65,73.65,4916537,0,107.76124356917651,2.6850873740045738
2004-09-23 00:00:00+05:30,73.3,73.5,72.15,72.6,4528754,0,75.77960898368102,2.6060815490709355
2004-09-24 00:00:00+05:30,70.45,73.6,70.45,73.4,3027586,0,61.87187692998709,2.6423427791328726
2004-09-27 00:00:00+05:30,72.95,73.25,70.45,71.2,4081422,0,35.018495684340266,2.662853260524015
2004-09-28 00:00:00+05:30,72.15,72.15,68.75,69.55,5018098,0,-16.29290949996406,2.711996376489081
2004-09-29 00:00:00+05:30,69.7,69.7,68.6,69.0,4861341,0,-62.0276571796107,2.604529951389809
2004-09-30 00:00:00+05:30,69.3,72.4,69.1,71.8,5320766,0,-3.555967841681527,2.6575612879638224
2004-10-01 00:00:00+05:30,71.65,72.05,69.6,70.2,3274560,0,-43.07524536532204,2.6437238687662346
2004-10-04 00:00:00+05:30,70.7,71.85,70.65,70.85,2982326,0,-29.80877390326224,2.5774756108484853
2004-10-05 00:00:00+05:30,71.15,73.35,70.9,73.1,3814158,0,47.00552173297468,2.572310570125253
2004-10-06 00:00:00+05:30,73.15,75.05,72.65,73.15,6491168,0,103.51017151974416,2.560823198783569
2004-10-07 00:00:00+05:30,74.1,77.15,73.9,75.9,11610129,0,183.96504900224423,2.656768318864664
2004-10-08 00:00:00+05:30,75.65,77.75,75.65,77.2,7499666,0,199.14615770969334,2.6196504309403528
2004-10-11 00:00:00+05:30,76.05,78.3,75.85,76.95,5381999,0,158.97817460317367,2.608340402210996
2004-10-12 00:00:00+05:30,77.2,77.3,74.15,74.6,4165925,0,83.33333333333289,2.644451042063596
2004-10-14 00:00:00+05:30,74.85,75.5,72.2,72.75,2458710,0,20.150273224043328,2.6881543059260222
2004-10-15 00:00:00+05:30,73.55,74.85,73.15,74.0,2550694,0,33.74367992965463,2.6489440188642868
2004-10-18 00:00:00+05:30,74.15,75.5,72.2,72.5,2272421,0,11.995878716514333,2.6923477509400007
2004-10-19 00:00:00+05:30,73.1,74.55,72.55,74.3,3150363,0,21.214896214896132,2.6495245675440002
2004-10-20 00:00:00+05:30,74.6,75.1,72.95,73.4,1974806,0,15.262196712757648,2.616222929707733
2004-10-21 00:00:00+05:30,73.6,73.95,72.75,73.25,937159,0,-18.5146223437824,2.521808067727218
2004-10-25 00:00:00+05:30,73.55,75.1,72.65,73.95,4538648,0,0.2944640753822843,2.5170208632120694
2004-10-26 00:00:00+05:30,74.55,76.2,74.2,76.0,5566079,0,67.30538922155652,2.499219472331265
2004-10-27 00:00:00+05:30,76.55,77.85,75.6,77.35,3799790,0,120.40229885057428,2.4826048408425136
2004-10-28 00:00:00+05:30,78.15,80.45,75.2,78.55,11432681,0,146.89086294416214,2.667097851453013
2004-10-29 00:00:00+05:30,79.45,81.9,76.6,77.15,6647312,0,141.588195320842,2.842624661356146
2004-11-01 00:00:00+05:30,77.55,78.05,75.4,77.7,3393082,0,67.80358449158742,2.8297830172657354
2004-11-02 00:00:00+05:30,78.05,78.25,77.05,78.0,4425399,0,91.2209711470801,2.7211308161146865
2004-11-03 00:00:00+05:30,78.05,78.75,77.35,78.45,4412212,0,99.29078014184469,2.6330554283737078
2004-11-04 00:00:00+05:30,79.0,79.0,77.15,78.35,3128702,0,83.39029391660962,2.5808517331487932
2004-11-05 00:00:00+05:30,78.55,78.55,76.05,76.5,2801585,0,38.0963683835744,2.5754616176055403
2004-11-08 00:00:00+05:30,76.35,78.35,76.35,77.95,2727335,0,49.999999999999815,2.5370975097651707
2004-11-09 00:00:00+05:30,78.55,78.65,76.55,78.4,1811203,0,56.15314494074749,2.5079576757808266
2004-11-10 00:00:00+05:30,78.3,80.3,77.7,80.0,4429468,0,112.46200607902684,2.514093830728771
2004-11-11 00:00:00+05:30,80.4,83.7,80.1,80.75,11129856,0,195.4946439823555,2.5931542420135196
2004-11-12 00:00:00+05:30,81.3,81.65,80.65,80.85,891300,0,164.33202130122658,2.4869439592126183
2004-11-16 00:00:00+05:30,80.95,81.0,78.55,79.9,4529716,0,86.5784499054832,2.484481028598444
2004-11-17 00:00:00+05:30,80.9,80.9,78.55,79.15,3726246,0,57.565789473684646,2.4755156266918816
2004-11-18 00:00:00+05:30,79.65,80.25,78.7,79.15,3208460,0,38.864277084171384,2.413814584912423
2004-11-19 00:00:00+05:30,79.45,79.9,78.55,78.8,2590758,0,17.900898448135017,2.3428936125849287
2004-11-22 00:00:00+05:30,78.8,79.9,77.85,79.15,2654165,0,9.104600219057945,2.3233673717459338
2004-11-23 00:00:00+05:30,80.5,82.4,80.05,80.5,5627876,0,118.37920066380863,2.385142880296205
2004-11-24 00:00:00+05:30,80.5,81.9,79.75,80.9,4908370,0,95.83163056804325,2.3694666882764586
2004-11-25 00:00:00+05:30,81.2,82.7,79.7,82.25,7249080,0,116.87898089171972,2.4115022423913617
2004-11-29 00:00:00+05:30,82.35,83.3,81.5,82.75,5148864,0,140.3307303628843,2.3707354262319376
2004-11-30 00:00:00+05:30,83.3,85.65,83.0,85.25,8993325,0,197.59415287788067,2.406019731149809
2004-12-01 00:00:00+05:30,85.4,91.8,85.2,90.0,19776675,0,286.01202404809567,2.6856184157398215
2004-12-02 00:00:00+05:30,90.3,93.25,89.5,91.55,11026267,0,240.27550386721597,2.7565771880238334
2004-12-03 00:00:00+05:30,91.8,92.2,90.3,91.3,6222423,0,168.23622601654637,2.6994720421555782
