time,open,high,low,close,volume,open_interest,CCI_15,ATR_15
2004-08-09 00:00:00+05:30,16.35,17.65,16.35,17.6,3547896,0,,0.0
2004-08-10 00:00:00+05:30,17.6,17.85,17.2,17.7,5916768,0,,0.0
2004-08-11 00:00:00+05:30,17.8,17.95,16.4,16.7,6445116,0,,0.0
2004-08-12 00:00:00+05:30,17.15,17.15,15.9,16.2,8276580,0,,0.0
2004-08-13 00:00:00+05:30,16.2,16.35,15.6,15.7,6417336,0,,0.0
2004-08-16 00:00:00+05:30,16.2,16.35,15.6,15.7,6417336,0,,0.0
2004-08-17 00:00:00+05:30,16.2,16.2,15.4,15.4,9596028,0,,0.0
2004-08-18 00:00:00+05:30,15.8,16.2,15.25,16.0,7798572,0,,0.0
2004-08-19 00:00:00+05:30,16.25,17.5,16.0,17.4,14156448,0,,0.0
2004-08-20 00:00:00+05:30,17.0,17.8,16.35,17.2,6265368,0,,0.0
2004-08-23 00:00:00+05:30,17.2,17.4,16.85,17.1,4329084,0,,0.0
2004-08-24 00:00:00+05:30,17.15,17.6,17.1,17.4,3505656,0,,0.0
2004-08-25 00:00:00+05:30,16.35,17.95,16.35,17.3,1879536,0,,0.0
2004-08-26 00:00:00+05:30,17.4,18.6,17.4,18.4,10901544,0,,0.0
2004-08-27 00:00:00+05:30,18.55,19.0,18.4,18.5,5032596,0,170.00000000000006,1.033333333333333
2004-08-30 00:00:00+05:30,18.55,18.8,17.9,18.0,4497432,0,114.41553077240819,1.0244444444444443
2004-08-31 00:00:00+05:30,18.3,18.5,17.9,18.1,5601348,0,99.8226251478125,0.996148148148148
2004-09-01 00:00:00+05:30,18.3,18.5,18.2,18.4,3936192,0,99.92810927390354,0.9564049382716048
2004-09-02 00:00:00+05:30,18.35,18.6,17.7,17.8,5166480,0,63.44276841171254,0.952644609053498
2004-09-03 00:00:00+05:30,17.4,17.7,16.85,17.0,4891656,0,-12.576144625663282,0.9524683017832648
2004-09-06 00:00:00+05:30,17.1,17.3,16.9,17.0,3124128,0,-32.8577604842196,0.9156370816643806
2004-09-07 00:00:00+05:30,17.1,17.3,16.8,17.15,4657596,0,-45.43245869776501,0.8879279428867553
2004-09-08 00:00:00+05:30,17.3,17.85,17.3,17.5,6158664,0,-8.304696449026743,0.8753994133609718
2004-09-09 00:00:00+05:30,17.5,17.9,17.0,17.2,4448268,0,-36.88769414575917,0.8770394524702403
2004-09-10 00:00:00+05:30,17.2,17.35,16.4,17.2,2850216,0,-85.98351001177834,0.8819034889722244
2004-09-13 00:00:00+05:30,17.0,18.05,17.0,17.9,4015272,0,-2.4968789013731754,0.8931099230407429
2004-09-14 00:00:00+05:30,18.0,19.0,18.0,18.9,13218564,0,111.97401863880245,0.9069025948380267
2004-09-15 00:00:00+05:30,19.0,19.2,18.2,18.5,5313084,0,96.95556774547471,0.9131090885154917
2004-09-16 00:00:00+05:30,18.4,19.95,18.3,19.7,9154908,0,150.97755249818977,0.9622351492811255
2004-09-17 00:00:00+05:30,19.7,19.95,19.4,19.7,8033160,0,165.5759162303665,0.9347528059957172
2004-09-20 00:00:00+05:30,19.7,19.9,19.05,19.4,4808556,0,120.25316455696206,0.929102618929336
2004-09-21 00:00:00+05:30,19.35,19.6,19.1,19.5,7220076,0,97.43321110529084,0.9004957776673803
2004-09-22 00:00:00+05:30,19.4,19.75,18.95,19.2,5342688,0,78.54251012145757,0.8937960591562216
2004-09-23 00:00:00+05:30,18.05,18.95,17.8,18.0,10637676,0,0.9842519685038281,0.9275429885458067
2004-09-24 00:00:00+05:30,18.0,18.2,17.05,18.0,12913632,0,-40.3694834074581,0.9423734559760862
2004-09-27 00:00:00+05:30,18.0,18.4,17.4,18.15,8290272,0,-29.02398828053483,0.9462152255776805
2004-09-28 00:00:00+05:30,18.1,18.1,17.7,17.9,5096064,0,-43.083235638921614,0.9131342105391683
2004-09-29 00:00:00+05:30,18.45,18.6,17.8,18.2,4732284,0,-21.671826625386743,0.9055919298365571
2004-09-30 00:00:00+05:30,18.1,18.45,17.8,18.1,6227724,0,-36.42384105960269,0.8885524678474532
2004-10-01 00:00:00+05:30,18.3,19.7,17.65,18.9,10446156,0,17.083120856705577,0.9659823033242898
2004-10-04 00:00:00+05:30,19.1,19.35,18.3,18.4,9830628,0,1.7123287671230984,0.9715834831026705
2004-10-05 00:00:00+05:30,18.8,19.1,18.3,19.0,7680828,0,15.108726348488787,0.9601445842291592
2004-10-06 00:00:00+05:30,18.95,19.65,18.2,18.4,11846040,0,7.757404795486464,0.9928016119472152
2004-10-07 00:00:00+05:30,18.3,18.4,17.8,18.0,7814532,0,-67.8321678321682,0.9666148378174008
2004-10-08 00:00:00+05:30,17.6,18.2,17.45,17.6,9829764,0,-95.69798068481123,0.952173848629574
2004-10-11 00:00:00+05:30,17.9,18.2,17.6,17.8,3502752,0,-72.96689167470323,0.9286955920542689
2004-10-12 00:00:00+05:30,18.0,18.6,17.5,17.6,5558184,0,-63.37760910815904,0.9401158859173177
2004-10-14 00:00:00+05:30,17.95,18.3,17.3,18.2,4882584,0,-52.407932011331326,0.9441081601894965
2004-10-15 00:00:00+05:30,18.0,18.5,18.0,18.4,5550348,0,24.475524475524562,0.9145009495101968
2004-10-18 00:00:00+05:30,17.95,18.1,17.5,17.9,4597584,0,-75.65011820330949,0.9135342195428502
2004-10-19 00:00:00+05:30,18.2,18.9,18.05,18.7,5265276,0,65.36388140161735,0.9192986049066602
2004-10-20 00:00:00+05:30,18.9,19.1,18.0,18.1,3261972,0,29.005524861878587,0.9313453645795495
2004-10-21 00:00:00+05:30,17.8,18.1,17.8,17.9,3435132,0,-60.85814360770553,0.8892556736075796
2004-10-25 00:00:00+05:30,17.8,17.9,16.8,17.05,4448568,0,-158.7990936555891,0.9033052953670742
2004-10-26 00:00:00+05:30,17.15,17.2,16.8,17.1,4665504,0,-169.20565832426496,0.8697516090092691
2004-10-27 00:00:00+05:30,17.15,18.3,16.9,17.5,6394524,0,-74.116743471582,0.9051015017419847
