time,open,high,low,close,volume,open_interest,CCI_15,ATR_15
2004-08-09 00:00:00+05:30,49.82,50.55,48.91,50.38,2545047,0,,0.0
2004-08-10 00:00:00+05:30,50.11,50.55,49.74,50.04,1975720,0,,0.0
2004-08-11 00:00:00+05:30,50.0,51.4,49.73,50.44,7946729,0,,0.0
2004-08-12 00:00:00+05:30,50.03,50.73,49.29,50.36,4094353,0,,0.0
2004-08-13 00:00:00+05:30,50.18,50.18,49.53,50.03,3523964,0,,0.0
2004-08-16 00:00:00+05:30,50.18,50.18,49.53,50.03,3523964,0,,0.0
2004-08-17 00:00:00+05:30,50.73,50.85,49.67,50.38,3082628,0,,0.0
2004-08-18 00:00:00+05:30,50.02,50.23,49.47,49.57,1650285,0,,0.0
2004-08-19 00:00:00+05:30,49.68,50.09,49.33,49.78,1399540,0,,0.0
2004-08-20 00:00:00+05:30,49.78,49.89,48.35,48.7,1228908,0,,0.0
2004-08-23 00:00:00+05:30,48.91,49.09,47.84,48.62,1362030,0,,0.0
2004-08-24 00:00:00+05:30,48.57,48.82,47.69,48.18,1952350,0,,0.0
2004-08-25 00:00:00+05:30,48.0,49.0,48.0,48.51,2443847,0,,0.0
2004-08-26 00:00:00+05:30,48.91,50.04,48.73,49.81,5625146,0,,0.0
2004-08-27 00:00:00+05:30,50.18,50.21,48.78,48.86,2542627,0,-31.84680499638688,1.184666666666667
2004-08-30 00:00:00+05:30,49.44,49.64,49.11,49.42,1041611,0,-15.457944909674051,1.1576888888888892
2004-08-31 00:00:00+05:30,49.3,49.44,48.57,49.05,1987083,0,-50.79155672823222,1.1385096296296298
2004-09-01 00:00:00+05:30,49.64,49.64,48.75,49.25,2106224,0,-19.47746263387044,1.1219423209876545
2004-09-02 00:00:00+05:30,48.15,48.33,47.64,47.72,2392229,0,-159.4460609979519,1.1544794995884773
2004-09-03 00:00:00+05:30,47.95,48.36,47.35,47.81,2620402,0,-136.20748883545173,1.1448475329492454
2004-09-06 00:00:00+05:30,48.35,48.35,48.0,48.09,1432881,0,-87.921375446731,1.104524364085962
2004-09-07 00:00:00+05:30,48.35,48.35,47.65,47.82,1566866,0,-95.04945622754721,1.077556073146898
2004-09-08 00:00:00+05:30,47.85,48.36,47.64,48.25,2452795,0,-69.5589817138755,1.0537190016037714
2004-09-09 00:00:00+05:30,48.36,48.78,48.18,48.59,4037543,0,-11.791343213361234,1.0234710681635202
2004-09-10 00:00:00+05:30,48.73,49.01,48.03,48.9,2693607,0,8.81768504719343,1.0205729969526187
2004-09-13 00:00:00+05:30,48.91,49.18,48.03,48.23,2365340,0,-14.069264069264756,1.029201463822444
2004-09-14 00:00:00+05:30,48.36,49.09,48.0,48.69,3537340,0,-1.740139211136955,1.0332546995676146
2004-09-15 00:00:00+05:30,48.73,48.89,47.92,48.15,1946933,0,-38.777055594120014,1.0290377195964402
2004-09-16 00:00:00+05:30,47.99,48.49,47.64,48.37,1426088,0,-53.36205678768288,1.0171018716233442
2004-09-17 00:00:00+05:30,48.82,50.45,48.82,50.04,12780613,0,180.36085150571213,1.0879617468484548
2004-09-20 00:00:00+05:30,50.36,51.29,50.0,50.73,8710360,0,243.16925506712403,1.1014309637252244
2004-09-21 00:00:00+05:30,51.27,52.73,50.64,52.54,11397682,0,247.93792814203874,1.1673355661435425
2004-09-22 00:00:00+05:30,52.73,54.0,52.73,53.7,8423568,0,230.65298376326717,1.1868465284006398
2004-09-23 00:00:00+05:30,53.8,53.8,52.2,52.49,3375668,0,146.93622742988853,1.21439009317393
2004-09-24 00:00:00+05:30,51.04,53.36,51.04,53.14,3605381,0,108.41069503842037,1.2880974202956679
2004-09-27 00:00:00+05:30,53.24,54.13,52.98,53.69,5494191,0,121.07913336721025,1.2788909256092904
2004-09-28 00:00:00+05:30,53.13,53.73,52.38,53.02,2153221,0,86.6632070576023,1.2836315305686705
2004-09-29 00:00:00+05:30,53.14,53.14,51.82,52.53,2953675,0,59.54927540598348,1.286056095197426
2004-09-30 00:00:00+05:30,52.75,53.07,51.73,52.05,3239724,0,45.23394723743144,1.289652355517598
2004-10-01 00:00:00+05:30,52.55,53.45,52.27,52.6,4238469,0,55.44656432390011,1.2970088651497587
2004-10-04 00:00:00+05:30,52.95,53.41,52.65,52.99,4162448,0,58.7805538017496,1.264541607473108
2004-10-05 00:00:00+05:30,53.09,54.36,53.09,54.18,7493083,0,90.95418190836341,1.2715721669749007
2004-10-06 00:00:00+05:30,54.53,55.07,53.48,53.79,5751310,0,104.16453100973828,1.2928006891765742
2004-10-07 00:00:00+05:30,53.45,54.07,53.13,53.57,2467145,0,73.09292160180536,1.2692806432314692
2004-10-08 00:00:00+05:30,53.09,54.09,53.09,53.88,4790334,0,76.2158292693836,1.2513286003493713
2004-10-11 00:00:00+05:30,53.27,53.73,51.65,52.04,2907002,0,-71.20887570714717,1.3165733603260803
2004-10-12 00:00:00+05:30,52.18,53.18,51.51,52.6,4580635,0,-84.18205880660634,1.3401351363043417
2004-10-14 00:00:00+05:30,53.0,53.22,52.02,52.6,1265015,0,-54.23070128952455,1.3307927938840518
