time,open,high,low,close,volume,open_interest,CCI_15,ATR_15
2005-03-23 00:00:00+05:30,45.5,45.85,38.36,39.02,20877099,0,,0.0
2005-03-24 00:00:00+05:30,39.28,39.85,35.75,36.92,12264789,0,,0.0
2005-03-28 00:00:00+05:30,37.67,39.41,37.5,37.88,12357939,0,,0.0
2005-03-29 00:00:00+05:30,38.29,38.38,36.33,36.8,6240719,0,,0.0
2005-03-30 00:00:00+05:30,36.7,37.19,36.01,36.22,4663489,0,,0.0
2005-03-31 00:00:00+05:30,36.6,37.5,35.66,36.25,12030149,0,,0.0
2005-04-01 00:00:00+05:30,36.6,39.65,36.14,39.16,10562899,0,,0.0
2005-04-04 00:00:00+05:30,39.3,39.4,37.21,37.37,3596429,0,,0.0
2005-04-05 00:00:00+05:30,37.59,37.79,36.4,36.58,2798149,0,,0.0
2005-04-06 00:00:00+05:30,36.7,37.59,36.7,37.19,2926249,0,,0.0
2005-04-07 00:00:00+05:30,37.74,37.9,36.62,36.78,1894759,0,,0.0
2005-04-08 00:00:00+05:30,37.25,37.25,36.02,36.21,1761329,0,,0.0
2005-04-11 00:00:00+05:30,36.15,36.5,35.7,36.17,2436629,0,,0.0
2005-04-12 00:00:00+05:30,36.17,37.0,36.02,36.89,1988079,0,,0.0
2005-04-13 00:00:00+05:30,37.3,37.45,36.21,36.63,2307849,0,-47.473684210527054,2.1853333333333333
2005-04-15 00:00:00+05:30,36.3,36.5,35.1,35.42,1662219,0,-148.59836268915845,2.1416444444444447
2005-04-18 00:00:00+05:30,34.5,36.17,34.5,35.84,7291929,0,-141.55587247550196,2.110201481481482
2005-04-19 00:00:00+05:30,36.1,36.85,34.2,34.67,3898009,0,-150.73115860517436,2.146188049382716
2005-04-20 00:00:00+05:30,35.0,35.68,34.6,35.57,3159939,0,-123.83177570093495,2.075108846090535
2005-04-21 00:00:00+05:30,35.69,36.38,35.1,36.11,2540419,0,-59.51445469208742,2.0221015896844996
2005-04-22 00:00:00+05:30,36.5,36.6,35.55,35.82,1446849,0,-42.787092692186306,1.9572948170388667
2005-04-25 00:00:00+05:30,35.9,36.0,34.95,35.09,1250419,0,-89.75408070976351,1.896808495902942
2005-04-26 00:00:00+05:30,35.29,35.34,34.25,34.48,1768609,0,-141.0238719470136,1.8430212628427463
2005-04-27 00:00:00+05:30,34.5,34.7,33.02,33.31,1543539,0,-198.48045422981085,1.8321531786532297
2005-04-28 00:00:00+05:30,33.5,33.67,32.44,32.77,2523129,0,-209.5906138997527,1.7920096334096813
2005-04-29 00:00:00+05:30,32.77,32.8,31.25,31.57,2178069,0,-218.47699475829984,1.7758756578490358
2005-05-02 00:00:00+05:30,31.8,32.0,30.34,31.09,3395039,0,-187.03060195045398,1.7681506139924335
2005-05-03 00:00:00+05:30,31.05,31.75,31.0,31.25,3020789,0,-137.01094716801518,1.7002739063929377
2005-05-04 00:00:00+05:30,31.45,31.9,31.3,31.66,2146129,0,-102.459450863988,1.6302556459667419
2005-05-05 00:00:00+05:30,31.9,34.19,31.85,32.77,4882199,0,-41.71660366921718,1.6902386029022922
2005-05-06 00:00:00+05:30,32.85,32.95,31.86,32.7,3046279,0,-52.01310685096601,1.6502226960421396
2005-05-09 00:00:00+05:30,32.65,33.44,32.6,33.24,1779789,0,-21.484492321246442,1.5962078496393302
2005-05-10 00:00:00+05:30,33.44,34.1,32.91,33.76,2830729,0,6.350172889980961,1.5691273263300416
2005-05-11 00:00:00+05:30,33.76,33.76,32.71,32.91,2475999,0,-10.249393917572784,1.5345188379080386
2005-05-12 00:00:00+05:30,30.29,33.67,30.29,33.38,1226889,0,-40.67066475209077,1.657550915380836
2005-05-13 00:00:00+05:30,33.4,34.2,32.85,33.75,1326829,0,50.38060897435916,1.6370475210221138
2005-05-16 00:00:00+05:30,34.14,34.9,33.6,33.91,1296169,0,104.34219053791297,1.614577686287306
2005-05-17 00:00:00+05:30,34.37,34.4,33.8,33.95,1083619,0,105.13860716700414,1.5469391738681524
2005-05-18 00:00:00+05:30,34.0,34.0,33.4,33.78,1242779,0,77.26864330637915,1.4838098956102757
2005-05-19 00:00:00+05:30,34.1,34.4,33.03,33.26,926089,0,57.77394057126433,1.4762225692362572
2005-05-20 00:00:00+05:30,33.2,33.52,32.41,32.62,709739,0,-5.782759031835072,1.451807731287174
2005-05-23 00:00:00+05:30,32.51,32.79,31.65,31.78,1590069,0,-89.02759526938276,1.4310205492013626
2005-05-24 00:00:00+05:30,32.13,32.13,30.77,31.0,2412879,0,-164.44783937145365,1.426285845921272
2005-05-25 00:00:00+05:30,31.11,31.38,30.5,30.61,2095699,0,-189.22124391910964,1.3898667895265204
2005-05-26 00:00:00+05:30,30.8,30.99,29.5,29.66,2521969,0,-186.7738637419841,1.396542336891419
2005-05-27 00:00:00+05:30,29.8,31.47,29.7,30.7,4761379,0,-119.30768612962801,1.4241061810986577
2005-05-30 00:00:00+05:30,31.39,31.4,30.75,31.13,2479779,0,-77.57002327851619,1.3758324356920804
2005-05-31 00:00:00+05:30,31.25,31.64,31.0,31.48,1907749,0,-53.2447789463191,1.326776939979275
2005-06-01 00:00:00+05:30,31.7,31.7,30.86,30.97,2832949,0,-56.3121859915279,1.2943251439806567
2005-06-02 00:00:00+05:30,30.8,30.8,30.19,30.4,2975799,0,-83.40875861588817,1.2600368010486127
2005-06-03 00:00:00+05:30,30.5,30.59,29.93,30.41,2642399,0,-81.87197034502445,1.2200343476453717
2005-06-06 00:00:00+05:30,30.25,30.57,30.25,30.42,1269689,0,-71.08998393144054,1.1600320578023469
2005-06-07 00:00:00+05:30,30.48,30.5,29.7,29.82,933809,0,-94.48341836734649,1.1360299206155238
2005-06-08 00:00:00+05:30,29.85,30.19,28.7,28.87,2623749,0,-141.69954152894763,1.1596279259078224
2005-06-09 00:00:00+05:30,29.0,29.7,29.0,29.12,2047079,0,-132.7577879739193,1.1376527308473008
2005-06-10 00:00:00+05:30,29.3,29.57,28.61,28.72,1480219,0,-148.20939036595453,1.1258092154574806
2005-06-13 00:00:00+05:30,29.09,29.2,28.01,28.1,1313319,0,-165.52315608919375,1.1300886010936486
2005-06-14 00:00:00+05:30,28.41,28.5,27.75,27.89,1737379,0,-160.69813709531556,1.1047493610207388
2005-06-15 00:00:00+05:30,27.99,28.89,27.98,28.55,2454479,0,-103.25710325710335,1.097766070286023
2005-06-16 00:00:00+05:30,28.55,28.95,28.0,28.09,1880309,0,-94.13184717172311,1.0879149989336212
2005-06-17 00:00:00+05:30,28.21,28.21,27.27,27.34,1331509,0,-121.54834403937578,1.078053999004713
2005-06-20 00:00:00+05:30,27.7,27.8,27.01,27.43,2121199,0,-119.37031736678163,1.0588503990710654
2005-06-21 00:00:00+05:30,28.0,28.39,27.25,27.65,2569119,0,-87.20930232558163,1.0642603724663278
2005-06-22 00:00:00+05:30,27.65,28.23,27.61,27.77,3397039,0,-71.67883689708235,1.0346430143019059
2005-06-23 00:00:00+05:30,27.91,28.34,27.3,27.58,1934679,0,-73.64382393690725,1.0350001466817786
2005-06-24 00:00:00+05:30,27.46,27.57,27.03,27.14,1220269,0,-107.23285298054923,1.0026668035696598
2005-06-27 00:00:00+05:30,27.35,27.35,26.17,26.25,1314079,0,-150.9257333055959,1.0144890166650158
