time,open,high,low,close,volume,open_interest,CCI_15,ATR_15
2004-08-09 00:00:00+05:30,18.75,18.75,18.0,18.07,393960,0,,0.0
2004-08-10 00:00:00+05:30,18.49,18.5,17.91,18.03,347300,0,,0.0
2004-08-11 00:00:00+05:30,18.3,18.3,17.85,17.95,217940,0,,0.0
2004-08-12 00:00:00+05:30,18.2,18.2,17.55,17.64,262240,0,,0.0
2004-08-13 00:00:00+05:30,17.65,17.75,17.45,17.5,538360,0,,0.0
2004-08-16 00:00:00+05:30,17.65,17.75,17.45,17.5,538360,0,,0.0
2004-08-17 00:00:00+05:30,17.82,17.82,17.5,17.6,263240,0,,0.0
2004-08-18 00:00:00+05:30,17.95,17.95,17.6,17.6,136420,0,,0.0
2004-08-19 00:00:00+05:30,17.7,17.8,17.5,17.59,309980,0,,0.0
2004-08-20 00:00:00+05:30,17.65,17.65,17.41,17.51,346160,0,,0.0
2004-08-23 00:00:00+05:30,17.75,17.85,17.5,17.67,600360,0,,0.0
2004-08-24 00:00:00+05:30,17.85,18.3,17.6,17.79,839620,0,,0.0
2004-08-25 00:00:00+05:30,17.0,17.79,17.0,17.48,256440,0,,0.0
2004-08-26 00:00:00+05:30,17.5,17.89,17.2,17.42,180510,0,,0.0
2004-08-27 00:00:00+05:30,17.69,17.74,17.5,17.57,181230,0,-43.703148425787795,0.47333333333333294
2004-08-30 00:00:00+05:30,16.8,17.7,16.8,17.49,66750,0,-136.72922252010815,0.5017777777777773
2004-08-31 00:00:00+05:30,17.2,17.8,17.2,17.39,70110,0,-79.32166301969362,0.5083259259259256
2004-09-01 00:00:00+05:30,17.8,17.8,17.3,17.36,97660,0,-60.269627279936344,0.5077708641975306
2004-09-02 00:00:00+05:30,17.48,17.48,17.2,17.34,118970,0,-130.60298826040656,0.4925861399176953
2004-09-03 00:00:00+05:30,17.49,17.79,17.25,17.59,113000,0,-7.587859424920901,0.4957470639231822
2004-09-06 00:00:00+05:30,17.62,17.85,17.3,17.41,204710,0,-19.514767932490784,0.49936392632830345
2004-09-07 00:00:00+05:30,17.4,17.62,16.1,17.48,206050,0,-226.4150943396208,0.5674063312397498
2004-09-08 00:00:00+05:30,17.5,17.68,17.4,17.51,237150,0,15.375153751539784,0.5482459091570999
2004-09-09 00:00:00+05:30,17.7,17.7,17.45,17.52,126170,0,33.9435545385211,0.5283628485466266
2004-09-10 00:00:00+05:30,17.62,17.62,17.11,17.26,76100,0,-81.00233100232818,0.5271386586435183
2004-09-13 00:00:00+05:30,17.3,17.62,17.3,17.41,263800,0,-14.529058116233488,0.515996081400617
