time,open,high,low,close,volume,open_interest,CCI_15,ATR_15
2004-08-09 00:00:00+05:30,54.76,55.85,54.76,55.75,6571880,0,,0.0
2004-08-10 00:00:00+05:30,55.92,57.79,55.85,57.47,18136688,0,,0.0
2004-08-11 00:00:00+05:30,57.6,57.95,55.6,55.92,15651704,0,,0.0
2004-08-12 00:00:00+05:30,56.23,56.4,55.05,55.44,9106184,0,,0.0
2004-08-13 00:00:00+05:30,55.64,55.96,53.81,54.09,13489840,0,,0.0
2004-08-16 00:00:00+05:30,55.64,55.96,53.81,54.09,13489840,0,,0.0
2004-08-17 00:00:00+05:30,53.75,54.16,52.87,53.13,11327648,0,,0.0
2004-08-18 00:00:00+05:30,52.81,53.11,51.93,52.13,8627728,0,,0.0
2004-08-19 00:00:00+05:30,52.12,53.56,51.9,53.28,10193080,0,,0.0
2004-08-20 00:00:00+05:30,53.77,53.77,51.73,52.16,10156048,0,,0.0
2004-08-23 00:00:00+05:30,52.48,52.79,50.68,51.44,15375520,0,,0.0
2004-08-24 00:00:00+05:30,51.36,53.29,51.36,52.47,16282016,0,,0.0
2004-08-25 00:00:00+05:30,52.73,53.32,52.21,53.11,9965632,0,,0.0
2004-08-26 00:00:00+05:30,52.98,53.66,51.87,52.2,17414344,0,,0.0
2004-08-27 00:00:00+05:30,52.61,52.61,50.83,51.31,21346128,0,-94.77831743616709,1.7360000000000009
2004-08-30 00:00:00+05:30,51.98,53.16,51.93,53.04,9846344,0,-40.106951871657294,1.7436000000000005
2004-08-31 00:00:00+05:30,53.36,53.84,52.42,53.53,10542368,0,-2.7491874322856225,1.7220266666666673
2004-09-01 00:00:00+05:30,53.86,54.21,53.4,53.7,10678408,0,49.24590610424538,1.6612248888888894
2004-09-02 00:00:00+05:30,53.73,54.29,53.25,53.91,15861696,0,74.49850880418235,1.6198098962962968
2004-09-03 00:00:00+05:30,54.22,54.79,53.81,54.59,14457736,0,132.44533802462885,1.577155903209877
2004-09-06 00:00:00+05:30,54.91,55.88,54.73,55.57,9912352,0,203.70156382405108,1.5580121763292183
2004-09-07 00:00:00+05:30,55.48,55.6,55.01,55.25,4486952,0,153.20661263347444,1.493478031240604
2004-09-08 00:00:00+05:30,55.35,55.95,55.25,55.74,6069096,0,141.42678347934938,1.440579495824564
2004-09-09 00:00:00+05:30,55.79,55.85,54.36,54.9,6988336,0,87.20228154466737,1.4438741961029264
2004-09-10 00:00:00+05:30,54.99,55.09,54.02,54.81,6453976,0,56.23650940487252,1.4189492496960647
2004-09-13 00:00:00+05:30,54.92,55.33,54.53,54.96,6908136,0,64.7489882970576,1.3776859663829937
2004-09-14 00:00:00+05:30,55.23,55.23,53.98,54.67,3059056,0,38.41693244418621,1.3691735686241273
2004-09-15 00:00:00+05:30,54.96,55.67,54.36,54.69,8628440,0,50.139698736637264,1.3652286640491857
2004-09-16 00:00:00+05:30,54.96,55.42,54.61,55.21,4712496,0,56.45762711864453,1.3282134197792401
2004-09-17 00:00:00+05:30,55.42,56.77,55.27,56.43,9847808,0,142.92916561633427,1.3436658584606243
2004-09-20 00:00:00+05:30,56.74,57.1,55.94,56.13,8106200,0,155.38674033149118,1.3314214678965828
2004-09-21 00:00:00+05:30,56.08,56.73,55.85,56.34,4528792,0,131.28545332179652,1.3013267033701437
2004-09-22 00:00:00+05:30,56.6,57.32,56.12,56.86,10417696,0,150.28548123980346,1.2945715898121342
2004-09-23 00:00:00+05:30,56.98,57.19,55.81,55.92,9089296,0,87.94247787610712,1.3002668171579914
2004-09-24 00:00:00+05:30,55.94,56.43,55.24,55.49,8386608,0,19.384860399143278,1.292915696014125
2004-09-27 00:00:00+05:30,55.35,55.82,54.26,54.52,6801312,0,-68.47021085900307,1.3107213162798501
2004-09-28 00:00:00+05:30,54.41,54.41,53.51,53.69,5387944,0,-144.01836684040717,1.2906732285278606
2004-09-29 00:00:00+05:30,53.98,54.28,52.99,54.14,6973552,0,-126.79516250944738,1.2906283466260031
2004-09-30 00:00:00+05:30,54.23,54.84,53.29,53.46,12417704,0,-106.53786924261473,1.3079197901842698
2004-10-01 00:00:00+05:30,53.48,55.34,53.37,55.15,4718512,0,-46.78761185682324,1.3520584708386523
2004-10-04 00:00:00+05:30,55.5,57.23,55.42,56.48,7922104,0,77.82536746812059,1.4005879061160753
2004-10-05 00:00:00+05:30,56.98,57.71,56.37,56.6,6559360,0,99.1046429340641,1.3965487123750038
2004-10-06 00:00:00+05:30,56.9,58.04,56.6,56.98,13056168,0,104.88240634976448,1.3994454648833365
2004-10-07 00:00:00+05:30,57.1,57.4,56.3,56.67,4278616,0,69.50875047319533,1.379482433891114
2004-10-08 00:00:00+05:30,56.25,56.97,55.99,56.19,5031000,0,41.3824858269299,1.3528502716317061
2004-10-11 00:00:00+05:30,56.22,56.69,55.37,55.49,2107744,0,9.429500443393312,1.3506602535229257
2004-10-12 00:00:00+05:30,55.97,56.23,53.11,53.74,6227480,0,-75.33042068529625,1.4686162366213973
2004-10-14 00:00:00+05:30,53.87,54.59,53.49,54.16,3873696,0,-79.1726676268199,1.4440418208466377
