time,open,high,low,close,volume,open_interest,CCI_15,ATR_15
2004-08-09 00:00:00+05:30,40.77,40.95,40.3,40.84,2405569,0,,0.0
2004-08-10 00:00:00+05:30,40.85,41.85,40.85,41.2,2933179,0,,0.0
2004-08-11 00:00:00+05:30,41.09,41.5,39.76,40.01,4315859,0,,0.0
2004-08-12 00:00:00+05:30,40.1,40.96,40.0,40.43,4344289,0,,0.0
2004-08-13 00:00:00+05:30,40.5,40.66,39.8,40.05,3210389,0,,0.0
2004-08-16 00:00:00+05:30,40.5,40.66,39.8,40.05,3210389,0,,0.0
2004-08-17 00:00:00+05:30,40.1,40.1,39.16,39.42,2012959,0,,0.0
2004-08-18 00:00:00+05:30,39.5,39.58,38.91,39.13,1489939,0,,0.0
2004-08-19 00:00:00+05:30,39.1,39.45,39.1,39.28,937519,0,,0.0
2004-08-20 00:00:00+05:30,39.4,39.4,38.24,38.37,2181679,0,,0.0
2004-08-23 00:00:00+05:30,38.7,38.9,38.06,38.38,932549,0,,0.0
2004-08-24 00:00:00+05:30,38.63,39.29,38.53,39.12,1376779,0,,0.0
2004-08-25 00:00:00+05:30,39.3,40.2,39.16,39.98,2354079,0,,0.0
2004-08-26 00:00:00+05:30,40.3,40.6,39.2,39.41,6182779,0,,0.0
2004-08-27 00:00:00+05:30,39.61,40.5,39.61,40.3,4221839,0,35.305120411502976,0.9680000000000006
2004-08-30 00:00:00+05:30,40.6,41.87,40.6,41.67,5542869,0,149.8371335504892,1.008133333333334
2004-08-31 00:00:00+05:30,41.7,41.7,41.1,41.37,2345789,0,148.83180586033416,0.9809244444444452
2004-09-01 00:00:00+05:30,41.54,42.23,41.52,41.68,3404159,0,157.9284128119232,0.9728628148148154
2004-09-02 00:00:00+05:30,41.7,42.52,41.44,42.02,4429049,0,144.80341258556277,0.9800052938271614
2004-09-03 00:00:00+05:30,42.02,43.2,42.02,42.93,4550039,0,152.32227488151645,0.993338274238684
2004-09-06 00:00:00+05:30,43.2,43.67,43.16,43.35,4007709,0,146.71818922429915,0.9764490559561053
2004-09-07 00:00:00+05:30,43.5,43.5,42.8,43.05,2939439,0,110.08394963022155,0.9580191188923651
2004-09-08 00:00:00+05:30,43.0,43.29,42.82,42.97,2055599,0,91.93347839602076,0.9254845109662073
2004-09-09 00:00:00+05:30,43.1,43.3,42.25,42.68,2629639,0,71.06220552275268,0.93378554356846
2004-09-10 00:00:00+05:30,42.79,43.19,42.34,42.88,2863309,0,67.56402125658782,0.9281998406638956
2004-09-13 00:00:00+05:30,42.7,42.99,42.31,42.43,1851079,0,49.32678998364207,0.911653184619636
2004-09-14 00:00:00+05:30,42.51,42.51,41.92,42.38,1398459,0,23.586051880202007,0.8902096389783266
2004-09-15 00:00:00+05:30,42.59,43.6,42.0,43.2,3609389,0,62.71387666736498,0.9375289963797716
2004-09-16 00:00:00+05:30,43.42,44.17,43.23,43.72,6150929,0,120.59137139107642,0.9396937299544533
2004-09-17 00:00:00+05:30,44.0,44.4,43.5,43.8,4305589,0,139.3101397561706,0.937047481290823
2004-09-20 00:00:00+05:30,43.98,44.29,43.27,43.47,2561859,0,105.75628668353896,0.9425776492047679
2004-09-21 00:00:00+05:30,43.39,43.81,43.2,43.53,1784979,0,76.42626480086193,0.92040580592445
2004-09-22 00:00:00+05:30,43.7,44.4,43.41,44.12,2789679,0,121.32911777223848,0.9250454188628202
2004-09-23 00:00:00+05:30,44.0,45.0,43.81,43.92,4275289,0,134.4687946641259,0.9427090576052988
2004-09-24 00:00:00+05:30,43.5,44.17,43.5,43.7,1731519,0,64.52192667145862,0.9245284537649456
2004-09-27 00:00:00+05:30,43.38,43.6,42.51,42.74,2511739,0,-43.265329778602386,0.9422265568472828
2004-09-28 00:00:00+05:30,42.7,42.7,41.51,41.63,1946269,0,-143.4985541068432,0.9614114530574642
2004-09-29 00:00:00+05:30,41.9,42.4,41.05,42.28,4943899,0,-124.38792165397207,0.9873173561869667
2004-09-30 00:00:00+05:30,42.7,42.92,42.05,42.24,5445109,0,-69.49934123847152,0.9794961991078358
2004-10-01 00:00:00+05:30,42.4,42.98,41.94,42.72,2071709,0,-52.404650564160434,0.98352978583398
2004-10-04 00:00:00+05:30,42.9,43.2,42.52,42.67,1498229,0,-30.288440495470173,0.9632944667783813
2004-10-05 00:00:00+05:30,42.8,43.4,42.35,43.05,3273889,0,-22.559895590565326,0.9690748356598223
2004-10-06 00:00:00+05:30,43.5,43.59,41.91,42.18,2830819,0,-57.01951614353693,1.0164698466158346
2004-10-07 00:00:00+05:30,42.3,42.67,41.81,42.16,2233849,0,-81.78638687113283,1.0060385235081124
2004-10-08 00:00:00+05:30,42.45,42.78,42.1,42.46,3033109,0,-52.29548643026514,0.9843026219409049
2004-10-11 00:00:00+05:30,43.1,43.3,42.3,42.54,1591489,0,-17.68074821353447,0.9853491138115112
2004-10-12 00:00:00+05:30,42.7,42.8,41.8,41.95,1135519,0,-73.04543706389777,0.9863258395574105
2004-10-14 00:00:00+05:30,42.0,42.8,41.0,42.52,1487179,0,-76.910968391891,1.0405707835869162
2004-10-15 00:00:00+05:30,42.8,43.49,41.9,42.05,2239539,0,-10.132501948557994,1.0771993980144552
2004-10-18 00:00:00+05:30,42.48,42.6,41.7,41.8,1075029,0,-90.52087726697488,1.0653861048134914
2004-10-19 00:00:00+05:30,42.79,42.79,41.9,42.55,1407159,0,9.095204346799934,1.060360364492592
2004-10-20 00:00:00+05:30,42.78,42.78,41.9,41.97,857909,0,-52.47511955538394,1.048336340193086
2004-10-21 00:00:00+05:30,42.1,42.48,41.73,41.85,1156709,0,-116.1853593015443,1.0284472508468803
2004-10-25 00:00:00+05:30,41.9,41.9,40.52,40.81,736839,0,-262.34829240756585,1.0518841007904214
2004-10-26 00:00:00+05:30,40.9,41.62,40.6,41.27,1180409,0,-190.9411011523688,1.0497584940710596
2004-10-27 00:00:00+05:30,41.5,41.76,41.11,41.53,552829,0,-113.52657004831,1.0231079277996555
2004-10-28 00:00:00+05:30,41.98,41.98,40.6,40.82,3275929,0,-136.9031189621861,1.0469007326130115
2004-10-29 00:00:00+05:30,41.2,41.44,40.75,40.99,2013839,0,-116.3240628778713,1.0231073504388106
2004-11-01 00:00:00+05:30,41.4,42.49,41.02,42.38,3005299,0,9.031858954532213,1.05490019374289
2004-11-02 00:00:00+05:30,42.5,42.99,42.25,42.39,2082339,0,88.07480073574577,1.033906847493364
2004-11-03 00:00:00+05:30,42.6,42.8,41.73,42.15,1527289,0,51.15532734274652,1.0363130576604729
2004-11-04 00:00:00+05:30,42.2,42.4,41.75,41.88,1315339,0,21.89947780678845,1.0105588538164414
2004-11-05 00:00:00+05:30,42.5,42.5,41.71,41.8,948839,0,22.15628090999078,0.9958549302286787
2004-11-08 00:00:00+05:30,42.1,42.75,42.0,42.34,1477549,0,77.61841227485006,0.9927979348801003
2004-11-09 00:00:00+05:30,42.4,42.75,42.15,42.26,1304889,0,74.93556701030909,0.9666114058880937
2004-11-10 00:00:00+05:30,42.5,42.85,42.3,42.74,1422839,0,105.90091511517859,0.9415039788288877
2004-11-11 00:00:00+05:30,42.88,42.88,42.1,42.23,854599,0,70.69767441860441,0.930737046906962
2004-11-12 00:00:00+05:30,42.67,42.7,42.15,42.43,289939,0,67.61278757095886,0.9053545771131648
2004-11-16 00:00:00+05:30,42.5,43.11,42.3,42.95,1167969,0,108.08210391276504,0.8989976053056206
2004-11-17 00:00:00+05:30,43.27,43.4,42.81,42.99,1965099,0,134.57330415754942,0.8783977649519124
2004-11-18 00:00:00+05:30,42.91,43.17,42.53,42.72,827179,0,88.36069068429059,0.8625045806217849
2004-11-19 00:00:00+05:30,42.99,42.99,41.65,41.74,847929,0,-38.23193749451317,0.8943376085803328
2004-11-22 00:00:00+05:30,41.8,42.69,41.5,42.27,1695249,0,-62.71797256452073,0.9140484346749772
2004-11-23 00:00:00+05:30,42.68,43.15,42.42,42.83,1493299,0,90.49255441007796,0.9117785390299784
2004-11-24 00:00:00+05:30,43.1,44.15,42.85,44.02,4009539,0,219.46354299295623,0.9389933030946466
2004-11-25 00:00:00+05:30,44.3,45.15,44.21,44.36,5865419,0,261.2256164887749,0.9517270828883365
2004-11-29 00:00:00+05:30,44.5,45.45,44.4,45.09,1875599,0,219.86607142857102,0.9609452773624477
2004-11-30 00:00:00+05:30,45.45,45.67,44.12,44.38,2873749,0,145.48104956268054,1.0002155922049516
2004-12-01 00:00:00+05:30,44.4,45.0,43.64,44.56,1668499,0,94.50645273805262,1.0242012193912882
2004-12-02 00:00:00+05:30,45.09,45.33,44.6,45.16,1997549,0,115.97649692221638,1.0072544714318687
2004-12-03 00:00:00+05:30,45.23,47.0,45.23,45.44,3236939,0,141.23761971023947,1.0627708400030778
2004-12-06 00:00:00+05:30,45.79,46.2,45.2,45.62,2119089,0,108.25340346534753,1.058586117336206
2004-12-07 00:00:00+05:30,45.66,46.59,45.5,46.32,1966119,0,116.06213765422899,1.060680376180459
2004-12-08 00:00:00+05:30,46.6,47.0,45.62,45.84,3247139,0,103.57107770900865,1.081968351101762
2004-12-09 00:00:00+05:30,45.8,46.2,45.3,46.07,1208369,0,78.79108158437728,1.069837127694978
